evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.002943623254562651,1.3409798540032535e-05,1,9,0.0,0.0,1,,-0.01055567879415386,-0.00013456272415262956,-1.3957671167467203e-05,-8.284372446212633e-11
1,0,1,-2.0,-0.02789442154196056,-0.02358426717223449,9.288715345435112e-06,1,10,0.0,0.0,1,,-0.04316187963020213,-0.0032653544615908357,-0.00011414506534280228,-4.020639846446207e-09
1,0,2,-3.0,-0.061296974539645534,-0.06679056744120189,1.5089781484015572e-05,1,9,0.0,0.0,1,,0.0689976052942376,0.016668486872211605,0.0002737045825720941,3.0785929959528454e-08
1,0,3,-4.0,-0.10806108394883196,-0.10681194486629406,7.801742237618522e-07,1,9,0.0,0.0,1,,-0.01180767335070835,-0.006507322616120915,-6.245268545811744e-05,-1.6024968138564534e-08
1,0,4,-5.0,-0.13548126398906657,-0.13487735280007696,1.8235436209325717e-07,1,9,0.0,0.0,1,,-0.0037572895702236314,-0.003969050751868473,-2.4841136853833e-05,-1.2217757515485057e-08
1,0,5,-6.5,-0.15931503094253247,-0.15905272211054267,3.4402961669766194e-08,1,9,0.0,0.0,1,,-0.0007763937938961985,-0.0019373727464904013,-6.673016642457667e-06,-7.752850111418153e-09
1,0,6,-8.0,-0.1716718651389106,-0.1706385439209181,5.338763697750482e-07,1,7,3.915611449547178e-08,6.681542624731307e-09,1,,-0.0014901037410914174,-0.0065920125298320744,-1.576279720454202e-05,-3.2467051963238405e-08
1,0,7,-10.0,-0.17359786690865228,-0.1772074241947362,6.514451900755747e-06,1,8,0.0,0.0,1,,0.001949894411967634,0.014677393174540561,2.578326372397588e-05,9.036157105401261e-08
1,0,8,-13.0,-0.18080749195004384,-0.18057289116517494,2.7518764130687182e-08,1,8,0.0,0.0,1,,-4.094763766198333e-05,-0.00038724143302119814,-7.038806073308104e-07,-3.099274305972069e-09
1,0,9,-17.0,-0.1820896560953913,-0.18242482815096728,5.617015341970096e-08,1,7,0.0,0.0,1,,2.9330080587764234e-05,0.0005404641695591623,6.593089538271166e-07,5.656537540032508e-09
1,0,10,-22.0,-0.18910360027324252,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,11,-28.0,-0.18325624077139477,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,12,-35.0,-0.18851263219399492,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,13,-41.0,-0.1859119715816313,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,14,-46.5,-0.18860935668510956,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
2,0,0,-1.0,-0.008122387304030951,-0.0029434702298570927,1.3410591030584644e-05,1,9,0.0,0.0,1,,-0.01055551992506578,-0.00013453547845579053,-1.3957521092499603e-05,-8.282694815327278e-11
2,0,1,-2.0,-0.02789442154196056,-0.02358267981213862,9.295558372344696e-06,1,10,0.0,0.0,1,,-0.04317634736253416,-0.0032665547885548135,-0.00011418381724212505,-4.022117692923096e-09
2,0,2,-3.0,-0.061296974539645534,-0.06678756226378378,1.507327677822919e-05,1,9,0.0,0.0,1,,0.06896007370864912,0.016660899916346696,0.0002735568755007014,3.077191628700939e-08
2,0,3,-4.0,-0.10806108394883196,-0.10680889095359637,7.839936486585708e-07,1,8,0.0,0.0,1,,-0.01186748929387013,-0.0065050511301498574,-6.276933142473238e-05,-1.6019373889345117e-08
2,0,4,-5.0,-0.13548126398906657,-0.1348748348790546,1.838781327347827e-07,1,9,0.0,0.0,1,,-0.003773117575125953,-0.0039864884062803104,-2.4945890166075016e-05,-1.2271434729728384e-08
2,0,5,-6.5,-0.15931503094253247,-0.1590511192103588,3.482470118928983e-08,1,9,0.0,0.0,1,,-0.0007811872634959919,-0.0019498197848438566,-6.714244831279617e-06,-7.80265961460582e-09
