phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002892470483818832,-0.001447234776127733,1,19,1.9,4.649200770888589e-05,1.3448301241668e-07,0.01576672434664755;1.135135111933646e-05,
-2,-0.02631155712716277,-0.03163454127451987,1,25,2.5,4.337831960719329e-05,1.141400646467033e-06,0.1426222203787451;0.0009041327511886463,
-3,-0.08411277892749619,-0.0817470411871353,1,24,2.4,3.724391503290635e-05,3.132805869512922e-06,0.4469560111164393;0.01186899694911956,
-4,-0.141714417187128,-0.1382607680856614,1,21,2.1,2.351468736166294e-05,3.33244857628201e-06,0.7212999475901704;0.0517350114014708,
-5,-0.1849407854250212,-0.1819483550128129,1,18,1.8,2.574305547309463e-05,4.761063462754844e-06,0.8732440395586286;0.1355855157867029,
-6,-0.2161292973254078,-0.2154590719577399,1,16,1.6,3.570293412068229e-05,7.716725573703176e-06,0.9354640152610723;0.243495090037456,
-7,-0.2373755820541731,-0.2343651930425934,1,15,1.5,2.354098012383323e-05,5.588185410382307e-06,0.9597546487558298;0.3351003630427297,
-8,-0.2507889823673615,-0.2510690390698878,1,13,1.3,1.816152035916791e-05,4.554791931066227e-06,0.9705736789236306;0.3974498048402915,
-9,-0.2588272805938442,-0.2586288027776615,1,12,1.2,1.096403842964596e-05,2.837823365076098e-06,0.9762268822017326;0.4356445435232848,
-10,-0.2635407513842077,-0.2704422047873679,1,11,1.1,7.508669369795979e-06,1.978855226181242e-06,0.9796494976426146;0.4579333396060843,
-12,-0.2680686624495928,-0.2699923217734418,1,10,1,8.802210879314643e-06,2.359617666869429e-06,0.9837979673591513;0.4784840756176835,
-14,-0.2701033444891096,-0.2780846291963593,1,9,0.9,7.250924467028067e-06,1.958513150213115e-06,0.9864654153280419;0.4869155714132931,
-17,-0.2719484282065896,-0.2679289856845608,1,9,0.9,5.969298427465671e-06,1.623351015112018e-06,0.9892065828588045;0.4942391117943228,
-20,-0.2733466674382688,-0.2770829703627939,1,9,0.9,4.439082343535114e-06,1.213413751532944e-06,0.9910141911723034;0.5000587289147356,
-24,-0.2749072465115625,-0.2723447832017635,1,9,0.9,4.773777555237965e-06,1.31235230804716e-06,0.9925214806095656;0.5070642090592291,
-28,-0.2762457596270153,-0.2723395989419795,1,9,0.9,4.095049153856618e-06,1.131244596719316e-06,0.9933857796281736;0.5135013367539488,
-32,-0.2774250568609796,-0.2739307089256509,1,9,0.9,3.571725408625748e-06,9.908896637655928e-07,0.993875885577256;0.5194441541939724,
-38,-0.2790025892489932,-0.276693426262965,1,9,0.9,4.576711473182697e-06,1.276920195358855e-06,0.9942345066030809;0.5276907810256453,
-46.5,-0.2810313196733208,-0.2802451335099613,1,9,0.9,5.721172163989858e-06,1.607837762040987e-06,0.9943853283517562;0.5386064377024101,
