evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,5.6070842218604506e-05,0.0010237339060418006,0.0013738357948243367,4.864817666221925e-05,0.5971692752369652,0.4682473171861886
2,5.51380117959576e-05,0.0007995606398208877,0.001373346833467477,4.866439341983144e-05,0.5964348531021375,0.4689283482433637
3,5.368329085989201e-05,5.650749961092883e-05,0.0013723161951633073,4.8715820158576873e-05,0.5938281810601875,0.47145207145798945
4,5.367040363415666e-05,5.154006189289671e-05,0.0013730059809280112,4.8708382037395576e-05,0.5938789749293436,0.4714926689978305
5,5.3633016003517365e-05,6.95343068834255e-05,0.001375768592893067,4.867864090774966e-05,0.5940821504059679,0.47165505915719463
6,5.3545778887600165e-05,9.044958349518385e-05,0.0013840467492380664,4.859392774021787e-05,0.5941917392165684,0.47255365259391946
7,5.3461411061991434e-05,5.6282349828537246e-05,0.001394543716941152,4.84423382634894e-05,0.5933918619676183,0.4732585358552177
8,5.338315471584474e-05,4.284858367040841e-05,0.0014059012328118583,4.8219695582268034e-05,0.59161976185009,0.4731922043281181
9,5.326701268474522e-05,9.266650751849294e-05,0.0014237960268216696,4.78016265648791e-05,0.5878219209953108,0.4720154313200736
10,5.3118729354811425e-05,0.00013240785930046284,0.0014472517571779875,4.718534670118912e-05,0.5818456149603052,0.46917109250824135
11,5.2979372766944545e-05,9.310847766917386e-05,0.0014700391515239033,4.6526864125176824e-05,0.5750763715609816,0.46490812705113554
12,5.2939808739894785e-05,1.9231943730234455e-05,0.0014738260525654658,4.6384315531957945e-05,0.5731377939640723,0.462924808120128
13,5.293656922888923e-05,3.564425099185941e-06,0.0014711030814662958,4.643460881986913e-05,0.5733814347136091,0.46271345413103643
