phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.008122387304030951,-0.003103417465236534,0.001789441391470563,-0.003098987348989605
-2,-0.02789442154196056,-0.02373709285753458,-0.02120650451550158,-0.0234971034115986
-3,-0.06129697453964553,-0.06644677413749564,-0.06630909850490435,-0.06430141560068707
-4,-0.108061083948832,-0.106515064668481,-0.09962922230957211,-0.0997590475295511
-5,-0.1354812639890666,-0.135079760231278,-0.1239665943372014,-0.1219070207107388
-6.5,-0.1593150309425325,-0.1599319630304802,-0.138086524355128,-0.1375493471369489
-8,-0.1716718651389106,-0.1715815855435117,-0.143013443521855,-0.1439742679366813
-10,-0.1735978669086523,-0.1777684631239439,-0.1496549086463166,-0.1488450745824222
-13,-0.1808074919500438,-0.1807983991240754,-0.1504691013926993,-0.154450167878309
-17,-0.1820896560953913,-0.1826257302360517,-0.1615512155975993,-0.1605709484096069
-22,-0.1891036002732425,-0.1842336869190168,-0.1699537719650254,-0.1664840325026198
-28,-0.1832562407713948,-0.1857596542879778,-0.1665185112849642,-0.1714357183054916
-35,-0.1885126321939949,-0.1872488506799672,-0.1751931610876536,-0.1747559956385316
-41,-0.1859119715816313,-0.1884017639373093,-0.1802174676274317,-0.1758683659400725
-46.5,-0.1886093566851096,-0.1893992603492322,-0.1791820335287433,-0.1758957852480607
