evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.003126237034759886,1.2480758756568556e-05,1,9,0.0,0.0,1,,-0.009499429997363789,-0.00018847703300244335,-1.4225832432178337e-05,-9.003504422723867e-09
1,0,1,-2.0,-0.02789442154196056,-0.02372722469888798,8.682764764457756e-06,1,10,0.0,0.0,1,,-0.03691697417135947,-0.005928482820685732,-0.00011056972652265621,-5.664045156673754e-07
1,0,2,-3.0,-0.061296974539645534,-0.06626935826518823,1.2362299957021291e-05,1,9,0.0,0.0,1,,0.05466639731105226,0.03789921536849636,0.00024559631726337106,5.431310347244231e-06
1,0,3,-4.0,-0.10806108394883196,-0.10623893770945948,1.6601084588296804e-06,1,9,0.0,0.0,1,,-0.014778929010112228,-0.02996192294660118,-8.852849810283811e-05,-5.72509661184105e-06
1,0,4,-5.0,-0.13548126398906657,-0.13480530964083504,2.284571404463709e-07,1,8,0.0,0.0,1,,-0.0034379998851467477,-0.015555479163569945,-2.5742813138008704e-05,-3.715408270592187e-06
1,0,5,-6.5,-0.15931503094253247,-0.1597546285994077,9.66230499653667e-08,1,8,0.0,0.0,1,,0.0009345853384869917,0.009566688850639568,9.097298863905067e-06,2.970490388326819e-06
1,0,6,-8.0,-0.1716718651389106,-0.1714966275192741,1.5354111667642114e-08,1,8,0.0,0.0,1,,-0.0001538165524269853,-0.002253320093389218,-1.8427787778668168e-06,-8.611246517820283e-07
1,0,7,-10.0,-0.17359786690865228,-0.17773881326116522,8.573718347189372e-06,1,8,0.0,0.0,1,,0.0012556002743594758,0.019338180415140682,1.8803190412257613e-05,9.23780420996404e-06
1,0,8,-13.0,-0.18080749195004384,-0.18078580547387355,2.351516243549319e-10,1,7,0.0,0.0,1,,-2.449952608698633e-06,-1.4000254197052887e-05,-4.7695914253924375e-08,-8.694255907297755e-09
1,0,9,-17.0,-0.1820896560953913,-0.182615688316921,1.3835494904402406e-07,1,7,0.0,0.0,1,,3.708882869357604e-05,0.00015150772750864168,9.442177960365969e-07,1.2303731675153745e-07
1,0,10,-22.0,-0.18910360027324252,-0.18422497887835892,1.190047335730596e-05,1,6,2.6147254307546517e-08,4.816977372534836e-09,1,,-0.00020748382429090935,-0.0005600611263172474,-6.835764102324981e-06,-5.885878000322366e-07
1,0,11,-28.0,-0.18325624077139477,-0.18575177928141395,3.1138562274946644e-06,1,6,6.342814443484937e-08,1.1781890685291785e-08,1,,5.4858393717033404e-05,-0.00036752596407978394,2.3002829505094467e-06,-4.915856565101503e-07
1,0,12,-35.0,-0.18851263219399492,-0.18724170662639836,8.076258991846478e-07,1,6,0.0,0.0,1,,-1.3924466870175396e-05,0.00030728414984251633,-7.29838488834686e-07,5.137612553231631e-07
1,0,13,-41.0,-0.1859119715816313,-0.1883963561478878,3.086083336529488e-06,1,5,1.9666861437153126e-07,3.705165760314877e-08,1,,1.5792555035517506e-05,-0.0004404645237976771,9.696531169314652e-07,-8.626764397791659e-07
1,0,14,-46.5,-0.18860935668510956,-0.1893957094459046,3.091753322038465e-07,1,5,2.2852654451905682e-07,4.328194702640786e-08,1,,2.9705609273428677e-06,-8.90030690160339e-05,2.068576370062073e-07,-1.9770200826693463e-07
2,0,0,-1.0,-0.008122387304030951,-0.0031263375639259713,1.2480256502801405e-05,1,9,0.0,0.0,1,,-0.009498984935049193,-0.00018843974848475688,-1.4226074461162832e-05,-9.00169621005209e-09
