phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.005196482205090677
-2,-0.02789442154196056,-0.02651688022392438
-3,-0.06129697453964553,-0.06569859111980336
-4,-0.108061083948832,-0.1055044982715392
-5,-0.1354812639890666,-0.1346759183028019
-6.5,-0.1593150309425325,-0.1592060052282483
-8,-0.1716718651389106,-0.170416188748345
-10,-0.1735978669086523,-0.1766100385240907
-13,-0.1808074919500438,-0.1798208266941433
-17,-0.1820896560953913,-0.1816539047919904
-22,-0.1891036002732425,-0.183229220623454
-28,-0.1832562407713948,-0.18478880691166
-35,-0.1885126321939949,-0.1863789611381857
-41,-0.1859119715816313,-0.1873713858835233
-46.5,-0.1886093566851096,-0.1881779353735366
