phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002651599702916986,-0.005438344763153727,1,20,2,3.619610554953113e-05,9.598105686235356e-08,0.01445454269888678;9.61210125631446e-06,
-2,-0.01725528347674842,-0.01980134302872424,1,23,2.3,4.00317771740903e-05,6.907873166608902e-07,0.09375507398853883;0.0003704047002232467,
-3,-0.04135926024950633,-0.03863225155499185,1,21,2.1,3.56290639115802e-05,1.47364423132984e-06,0.223466464325612;0.002143284389536922,
-4,-0.06116168810635744,-0.06157339586183769,1,18,1.8,2.447390568451995e-05,1.496902021259905e-06,0.3289213249099263;0.004708266176251751,
-5,-0.07389251424821594,-0.0735594275785643,1,15,1.5,1.802555424188477e-05,1.331977533283735e-06,0.3963956304709349;0.00667907325686079,
-6,-0.08131871290585331,-0.08052004873917624,1,13,1.3,1.158180459670664e-05,9.418283510032044e-07,0.4359664811694254;0.00761723560529342,
-7,-0.08546917280963126,-0.08521464882065036,1,12,1.2,5.770617179068172e-06,4.932127230378169e-07,0.458480446363725;0.007743525828879852,
-8,-0.08776913005607859,-0.08543547695975977,1,11,1.1,4.249660875090233e-06,3.729906231236813e-07,0.4713698633423384;0.007400096696670462,
-9,-0.08907743812804647,-0.08901969737690942,1,10,1,4.478061313695923e-06,3.98896015885164e-07,0.4790620486959912;0.006844573207326552,
-10,-0.08987273151117343,-0.08954538824385114,1,10,1,2.192523437359424e-06,1.970485022512181e-07,0.4840193750083515;0.006225475848764738,
-12,-0.09080629610946052,-0.09333519680657258,1,10,1,2.05769982450612e-06,1.868524840548114e-07,0.4903099363127618;0.005027396207669938,
-14,-0.091412052705771,-0.09008305843415393,1,9,0.9,3.530188658093851e-06,3.227029308772167e-07,0.4946301706232156;0.004011490665470351,
-17,-0.09210370321746679,-0.09276697687664634,1,9,0.9,3.743031539885837e-06,3.447483564872345e-07,0.4995848931855267;0.00282963776284449,
-20,-0.09266481616475641,-0.09135582890836028,1,9,0.9,2.85547959496864e-06,2.646032472991555e-07,0.5034921550790279;0.001983178946456884,
-24,-0.09330171260042452,-0.09288676296390039,1,9,0.9,3.14963359967852e-06,2.938671344876465e-07,0.5077237814897531;0.001225745351121033,
-28,-0.09387127548737385,-0.09523906836093968,1,9,0.9,2.723675717605412e-06,2.556756100030588e-07,0.5113020304162224;0.0007543928978218582,
-32,-0.09440361673651561,-0.09269245923207434,1,9,0.9,2.489619391296296e-06,2.350296599701318e-07,0.5144972642367567;0.0004630160303627698,
-38,-0.09515668670271239,-0.09419013636705804,1,9,0.9,3.412998363544178e-06,3.247707244385944e-07,0.5188463758837146;0.0002218097185978899,
-46.5,-0.09615736914213441,-0.0965225709296061,1,9,0.9,4.23944500368165e-06,4.076556064103176e-07,0.5244488851879172;7.790176122078648e-05,
