evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.0026546358830393975,0.013843592876117286,0.004999999999999999,0.0004999999999999999,0.629228816968772,0.13401266553977376
2,0.0024625617079284956,0.013897818905654717,0.004931784502460078,0.0005018924937793091,0.6180783237786042,0.13940038919382128
3,0.002269206526217476,0.013917107008918194,0.00486581457558018,0.0005038443535337647,0.6069237209231378,0.1450286443964883
4,0.0015075498491124218,0.013271894795106312,0.004610642070688537,0.0005117279961514163,0.5623053095012726,0.16754166520715638
5,0.002020611112223989,0.04232270148263661,0.0037169337794145324,0.000544515571460771,0.3838316638138114,0.25759374844982874
6,0.0004518266838343456,0.0035032286442536207,0.004149201887272674,0.0005275200605275218,0.4749594274459069,0.21161359869322757
7,0.0005344109620853997,0.010985115871921946,0.003823625315919163,0.0005228479008231986,0.423163409930509,0.21817887614676396
8,0.0004065776045217677,0.0024135354597707146,0.004022378819709689,0.0005257403101726254,0.45528323556425215,0.21410760624687167
9,0.0003713411029765699,0.0022552354736420795,0.003916514378141316,0.000518160220749365,0.44680932146938895,0.20275578022311572
10,0.00020953085371990123,0.0007037366157480493,0.0031786068263935908,0.00041492796768386137,0.36569611533613167,0.10212509337753972
11,0.00019809417928584087,0.000386391922453626,0.003212175617779322,0.00038815619941708366,0.36383029297104397,0.10579917281602674
12,0.0001423492579398263,0.0013079224474444268,0.003446976191320758,0.00022636252074809192,0.33902199260382304,0.13924664799466316
13,0.0001193041894727947,0.0008030001954163661,0.0035963518710384204,0.00014725834415618848,0.31592335278606587,0.16961308882725262
14,0.00011139025102706673,0.00024125907810712877,0.00359099825084341,0.00011193944645743893,0.30958387698745815,0.19582276128346357
15,0.00010807614528459763,0.00040268598572981777,0.003519648482624207,9.73583616689143e-05,0.3115375642776866,0.2123258475369296
16,0.00010174941098971598,0.0008322526509604278,0.003312138233925341,8.04552136897667e-05,0.3250687328899759,0.2418187751158041
17,8.791053191458976e-05,0.0013405618584425502,0.002792729723142444,5.899315973387775e-05,0.3699611570698088,0.30401569355956215
18,6.888395539362741e-05,0.0012683892474088512,0.0020917201438605524,4.3708571488847336e-05,0.4542436373070952,0.3900341948533446
19,0.00014072962119023917,0.005851357035537465,0.0013663785112442853,9.291715834053219e-05,0.5761284709536496,0.4166867930756
20,6.623171960590668e-05,0.0018191835989704124,0.001949819193119299,4.949949194338861e-05,0.4743515807501894,0.39443120571704837
21,5.4698976920932113e-05,0.0007194982950801034,0.001557375988737759,4.406233873319702e-05,0.549809173373487,0.4540219755510218
22,5.300757014716511e-05,0.00015057643547926607,0.0014714345818494189,4.5894737139711546e-05,0.5719932637717283,0.4633970310869622
23,5.291585167789786e-05,1.368780540891474e-05,0.0014804228678003566,4.721328256813995e-05,0.5714736979686581,0.4598167672435898
24,5.2909394144427956e-05,4.232827235000295e-06,0.0014898325525060099,4.7703585379130843e-05,0.5697863049928142,0.4576062911109342
25,5.290888739288735e-05,2.2248319450356796e-06,0.0014921184456343165,4.777187258495403e-05,0.5693796109818701,0.45722268544247135
26,5.290874401993609e-05,3.984499373463023e-07,0.0014923550291375547,4.777888332831797e-05,0.569446599396879,0.4573134939686295
