evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.00014289646284453735,0.003696523668078565,0.0014923550291375547,4.777888332831797e-05,0.569446599396879,0.4573134939686295
2,0.0001328689071558002,0.0017746457741526563,0.001493235680369378,4.7751176181673184e-05,0.5720515987842709,0.45471557949522284
3,0.00012945693381818897,0.0002957787400453609,0.0014930221931806116,4.774582703099629e-05,0.5743923331376148,0.4521914573326213
4,0.00012928934673875385,0.0002051999547454187,0.0014917386883219095,4.7769698883736734e-05,0.5746944731504474,0.45162730230422116
5,0.0001290807784068868,0.0002711194241214842,0.0014884541346380463,4.783446323224431e-05,0.574831428397532,0.45086836269062147
6,0.00012857945061721447,0.0004589652738801686,0.0014778097707659331,4.8052271613547964e-05,0.5747398069532886,0.44901656314432475
7,0.00012787119146767198,0.0005209682251679414,0.0014589889515055495,4.8463030752476385e-05,0.5740986407049489,0.44641327412033416
8,0.00012703186684271262,0.00028026758133041507,0.0014376818995304108,4.918773979351513e-05,0.5742511367181379,0.44532063619346235
9,0.00012660248718019616,0.00013532893797441717,0.0014237227693238148,4.988407060718792e-05,0.5752691290503585,0.44595338305191473
10,0.00012642853124189012,0.000262461285242835,0.0014205193131473124,5.0227466052380084e-05,0.5764177441044424,0.44713317423726356
11,0.00012612494671473783,0.0004304383190520822,0.0014162445419047445,5.090399725324185e-05,0.5792586018853374,0.44963886116189095
12,0.00012572103814174017,0.00046231733192233826,0.0014117984798249637,5.1875377401715924e-05,0.583905491009277,0.4531550501273558
13,0.00012531357780052249,0.0001494359304375678,0.0014029471241216742,5.3129263014475324e-05,0.5891667831664976,0.4553837187975297
14,0.0001252759722489056,1.7811465725204257e-05,0.0014050613318025579,5.3164131297641075e-05,0.5897336314866766,0.4555675909106625
15,0.0001252744112695156,9.523016363228953e-06,0.0014056800852841674,5.312917143240161e-05,0.589628977948509,0.4554655027692982
16,0.00012527393914455872,1.1938689692716524e-05,0.0014059181815767817,5.3117951729890725e-05,0.5895633023935234,0.4554090808963557
17,0.00012527142723185383,2.4016228839699633e-05,0.0014071883382614644,5.308754825243357e-05,0.5892496929572756,0.45513927402395893
18,0.0001252665075016926,4.1251917465867596e-05,0.0014095786141055952,5.308042150056957e-05,0.5886844291173942,0.4546253115484663
19,0.00012525393609130904,6.924532493199718e-05,0.0014156464872493893,5.315461289022096e-05,0.5873203846986444,0.45333964170566726
20,0.00012522861791202213,9.832640283428521e-05,0.0014275291718907424,5.344844197901454e-05,0.5847722086831378,0.4508558168437208
21,0.00012518281317408874,0.00011681895650733432,0.0014515599120280373,5.4273706058435785e-05,0.5798418365794441,0.4459167957404805
22,0.00012514425742132513,0.00010049955312472005,0.0014720472031912722,5.5330521698898525e-05,0.5761380193948815,0.441908541690346
23,0.00012541483209155803,0.0002129672735597287,0.0014962743686731464,5.590918067659045e-05,0.5656259124575488,0.43258852439074413
24,0.0001251413421380637,6.91328073009129e-05,0.001474579200205422,5.539115850772116e-05,0.5750313276033152,0.44092735050724496
25,0.00012512740904907944,1.9106597545566372e-05,0.001478625049932755,5.58973690190788e-05,0.5745957722749608,0.4402455654573256
26,0.00012512559681838545,2.426163679201594e-06,0.0014746026738180755,5.585801144092309e-05,0.5756108063735274,0.44120154955456553
27,0.00012512559622237835,3.386795077624374e-07,0.0014735216895119822,5.581609555808173e-05,0.575806378761628,0.44140907610453267
