phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.003885265095354819
-2,-0.02789442154196056,-0.02564617432533235
-3,-0.06129697453964553,-0.06695276569760818
-4,-0.108061083948832,-0.1055273858055701
-5,-0.1354812639890666,-0.1335918025149799
-6.5,-0.1593150309425325,-0.1587392361356132
-8,-0.1716718651389106,-0.1708757410932056
-10,-0.1735978669086523,-0.1774312448924989
-13,-0.1808074919500438,-0.1806136485314401
-17,-0.1820896560953913,-0.182459535780736
-22,-0.1891036002732425,-0.1840733442505361
-28,-0.1832562407713948,-0.1856210665491285
-35,-0.1885126321939949,-0.187128747710277
-41,-0.1859119715816313,-0.1882873863500367
-46.5,-0.1886093566851096,-0.1892890475623313
