phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.007483460916365476,-0.003122850106598098,0.001060649073003794,-0.00311896893735018
-2,-0.02731067792811635,-0.02373043746516964,-0.02145874608431169,-0.02351790925952571
-3,-0.06192220497036547,-0.06629718094474894,-0.0659568448718815,-0.064357613693623
-4,-0.1079666903307231,-0.1062778712185163,-0.09962180675297472,-0.1000141480231824
-5,-0.1355576318871053,-0.1348415159597005,-0.123516153031586,-0.1223187127948589
-6.5,-0.1594981433550219,-0.159778098098153,-0.1377145193184194,-0.1378159015127995
-8,-0.1717302207076256,-0.1715094319242992,-0.1427989098651135,-0.1438015251216738
-10,-0.1741329113819234,-0.1777444848947378,-0.1491318453205951,-0.1480464065242209
-11.5,-0.1797507782306107,-0.1796711163458774,-0.1480183949925786,-0.1505742508142863
-13,-0.180369925053021,-0.1807885900406843,-0.1547720844454233,-0.1528890912711176
