phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.008122387304030951,-0.003104756246814429,0.001789441391470563,-0.003100319748020788
-2,-0.02789442154196056,-0.02373944702446285,-0.02120650451550158,-0.02349928348358891
-3,-0.06129697453964553,-0.06644481175007969,-0.06630909850490435,-0.06429876021165705
-4,-0.108061083948832,-0.1065098898335426,-0.09962922230957211,-0.09975279865076384
-5,-0.1354812639890666,-0.1350738414450377,-0.1239665943372014,-0.1219004584345236
-6.5,-0.1593150309425325,-0.1599271395878249,-0.138086524355128,-0.137545328279277
-8,-0.1716718651389106,-0.1715784892397386,-0.143013443521855,-0.1439729199718078
-10,-0.1735978669086523,-0.1777669561806111,-0.1496549086463166,-0.1488463279952777
-13,-0.1808074919500438,-0.1807976951207017,-0.1504691013926993,-0.1544540711689467
-17,-0.1820896560953913,-0.1826251988264439,-0.1615512155975993,-0.1605770233861434
-22,-0.1891036002732425,-0.1842332763390591,-0.1699537719650254,-0.1664914003404255
-28,-0.1832562407713948,-0.1857594572386821,-0.1665185112849642,-0.1714430354114589
-35,-0.1885126321939949,-0.1872488089919785,-0.1751931610876536,-0.1747617906789114
-41,-0.1859119715816313,-0.1884017560950332,-0.1802174676274317,-0.1758722220220385
-46.5,-0.1886093566851096,-0.1893992593652969,-0.1791820335287433,-0.1758979968199203
