evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
1,0,1,3.0,-0.0009641367069719142,0.005544288142114226,2.1179797008101005e-05,1,5,8.866556782149711e-08,4.91587499873436e-10,1,,-0.00010825074168763943,2.170820983646326e-21
1,0,2,1.0,0.005300100699136993,0.0015827826133325703,6.9092268755244955e-06,1,7,1.200814463390715e-07,1.900628482723321e-10,1,,5.865612192708521e-06,-3.54365391251767e-20
1,0,3,-0.5,-0.003043699973370108,-0.0021919879907331577,3.6270665068368685e-07,1,9,0.0,0.0,1,,-8.553745802660152e-07,-1.553262603079357e-09
1,0,4,-1.0,-0.008740273241698985,-0.007709281910436134,5.31471562569577e-07,1,9,0.0,0.0,1,,-6.245260149930976e-06,-3.267529754446134e-08
1,0,5,-2.0,-0.043322701962768204,-0.03696647095511883,2.0200836311301935e-05,1,9,0.0,0.0,1,,-0.00020072122107948852,-5.570091069890309e-06
1,0,6,-3.0,-0.08934867941224929,-0.07888880263111753,5.47045111382262e-05,1,8,0.0,0.0,1,,-0.000478589084427605,-4.043328747139285e-05
1,0,7,-5.0,-0.1446163132712558,-0.1397557382376955,1.1812594828437955e-05,1,9,0.0,0.0,1,,-0.0001557398567427487,-4.596947028126064e-05
1,0,8,-8.0,-0.1746575923734992,-0.172021598677516,3.4742313826298057e-06,1,8,0.0,0.0,1,,-2.6116594350919987e-05,-1.3249423066651562e-05
1,0,9,-10.0,-0.1784231242969886,-0.1776918384687542,2.67389481288903e-07,1,8,0.0,0.0,1,,-3.4703271242714543e-06,-1.474968538877928e-06
1,0,10,-15.0,-0.18585321420393588,-0.18162707215201507,8.930138321507567e-06,1,7,0.0,0.0,1,,-9.949614189895097e-06,-3.921876662500535e-07
1,0,11,-20.0,-0.18182516904847973,-0.18342885799060096,1.2859091115422078e-06,1,7,0.0,0.0,1,,3.5684695036534163e-06,-2.7451359350398254e-07
2,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
2,0,1,3.0,-0.0009641367069719142,0.005528003904021282,2.1073944856453585e-05,1,5,9.200350519178495e-08,5.085957826764242e-10,1,,-0.00010766275558488345,2.163928302568737e-21
2,0,2,1.0,0.005300100699136993,0.0015812351640135363,6.914980434164702e-06,1,7,1.39127500665517e-07,2.199933269407539e-10,1,,5.86233499422241e-06,-3.544635343997112e-20
2,0,3,-0.5,-0.003043699973370108,-0.002192983567210357,3.618592018546855e-07,1,8,0.0,0.0,1,,-8.562829174761883e-07,-1.5528109851920807e-09
2,0,4,-1.0,-0.008740273241698985,-0.007715383891753286,5.251990898160626e-07,1,9,0.0,0.0,1,,-6.212146799887152e-06,-3.249911133050046e-08
2,0,5,-2.0,-0.043322701962768204,-0.03699758722870289,2.0003538199545336e-05,1,9,0.0,0.0,1,,-0.00019978574832804765,-5.541835449127164e-06
