phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002823517842217851,-0.007483460916365476,1,10,5,4.165391994694513e-06,1.176110760647484e-08,0.0153908854124661;1.106198776846551e-05,
-2,-0.02305320466840268,-0.02731067792811635,1,11,5.5,5.309380993444959e-06,1.223988965667888e-07,0.1250667756833507;0.0006856599487471122,
-3,-0.06648225800875268,-0.06192220497036547,1,11,5.5,2.956898632327348e-06,1.96581879052804e-07,0.3561055733098121;0.00654708132874421,
-4,-0.1072782403066796,-0.1079666903307231,1,10,5,2.324908583146672e-06,2.494126815355546e-07,0.5642019515156406;0.02098783892511635,
-5,-0.1361146131989165,-0.1355576318871053,1,9,4.5,1.804641744879684e-06,2.456385563565089e-07,0.7015895470665808;0.04089916029935396,
-6.5,-0.1608336546671907,-0.1594981433550219,1,9,4.5,6.144128695070908e-07,9.881832799263357e-08,0.8088715543059309;0.06845652640694962,
-8,-0.1721558309712194,-0.1717302207076256,1,8,4,4.346930936994293e-07,7.483498329352578e-08,0.855906002221394;0.08318317710521285,
-10,-0.1780352025311289,-0.1741329113819234,1,8,4,6.378869551610174e-08,1.135663404983056e-08,0.8847340672092505;0.08642637094143139,
-11.5,-0.1798473312369106,-0.1797507782306107,1,7,3.5,9.96953623879006e-08,1.79299448621606e-08,0.8976481066570587;0.08339727381330068,
-13,-0.1809173023546597,-0.180369925053021,1,7,3.5,1.587958356988452e-07,2.872891421978885e-08,0.9078911566879708;0.07899078646633381,
