evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1,J_cond_0,J_cond_1,J_cond_2
1,0.0010863123968375614,0.006615024233931133,0.004999999999999999,0.0004999999999999999,0.4,0.3,7.08198272244303e-05,0.0003478514327238558,0.0006676411368892752
2,0.0010432434027672194,0.00642164074019561,0.004953968892285491,0.0004990884950925772,0.39501422298537947,0.29853764235125113,6.742000149159918e-05,0.00033707177230093375,0.0006387516289746866
3,0.00041071761391221735,0.0011526744733180172,0.0035928332576434293,0.0004714231741431339,0.231433839025221,0.2573081533217551,2.6067065804305604e-05,0.00026381190707136965,0.00012083864103654211
4,0.00039199961130011955,0.00040354146362745527,0.003659077958141595,0.0004754431438672302,0.2597313358247071,0.2675908985852661,2.2369717282053203e-05,0.00023408085296551846,0.0001355490410525479
5,0.0003871784084455605,0.0003856174869999445,0.0035742689521644643,0.0004757599019237239,0.26592134753612096,0.2722992026159245,2.2023954379100308e-05,0.00022951351598263594,0.00013564093808382424
6,0.0003714477310396304,0.0003686217310009201,0.0032542393605933004,0.0004770290459171585,0.2906813943817764,0.29113241873855816,2.0839034034868567e-05,0.00021225583557853345,0.00013835286142622842
7,0.00034114626698387,0.0002531043861412173,0.0023613540430141096,0.0004598930982402504,0.3735896476376459,0.31212818071291554,1.962161559836976e-05,0.00017575846582115282,0.0001457661855643474
8,0.00031727839967763717,0.0002114268799607508,0.0018072243054921987,0.000412841044991913,0.47057090844456767,0.26571467927106046,1.915770998938451e-05,0.00015257372134844122,0.00014554696833981147
9,0.0003311286792041314,0.0006697424342288865,0.0011413549474623746,0.0002744557264133796,0.6722018048717101,0.14033150205276584,2.468277157048254e-05,0.00011938456993521097,0.0001870613376984379
10,0.0003038829537848077,0.00010089344742774343,0.0014830168405149727,0.00034633969902049506,0.5573143229116388,0.2117737153544775,2.0005686703113036e-05,0.00013660269387031387,0.00014727457321138079
11,0.0003017452026429946,7.673610156229317e-05,0.0013745574601383868,0.0003163509014611271,0.5818034377871141,0.21487936474168354,2.0829721536639393e-05,0.0001321833250887461,0.00014873215601760907
12,0.00029727896891021616,0.00012280187163125696,0.00120426320990227,0.0002458880828297939,0.6215011453366371,0.24709658905283016,2.256522261680414e-05,0.0001252747647487264,0.0001494389815446856
13,0.0002913596759820913,0.00016633953202556804,0.0010656636714566022,0.00016156695315764114,0.6643847990020588,0.3009929310571761,2.457862945056014e-05,0.00011806704200739896,0.00014871400452413222
14,0.0002766489353305551,0.00014484601311445341,0.0009088439431725787,5.256802049308161e-05,0.7284692616151185,0.46051791360958005,2.8083769721486607e-05,0.00010764250234250751,0.00014092266326656098
15,0.00025813097873804013,0.00011075684244725179,0.0008796697370720873,9.570564654694212e-06,0.7535878920641008,0.7251550374680344,2.9631474728864124e-05,0.00010261135157875528,0.0001258881524304207
16,1000000000.0002412,6.0265140014830994e-05,0.0010107925406067336,3.792829826343148e-06,0.7161354321731956,0.8741293497433547,2.7028636081375854e-05,1000000000.0001006,0.00011347261767236567
17,0.0002527622193973529,8.720606393237408e-05,0.0009429547223647344,6.024908553436274e-06,0.7348616621186482,0.7996421936056947,2.831696107159041e-05,0.00010493889527138643,0.00011950636305437605
18,0.00025014285901133653,0.0004657521949337578,0.0011576240582250325,2.3429052775462236e-06,0.6602088330614843,0.9483465718661659,2.3542760492112076e-05,0.00011976419139696779,0.00010683590712225668
19,0.0002481138542009612,0.0002960388974773173,0.0011816406189225134,2.226150678785798e-06,0.684709657105453,0.95,2.5681297156975188e-05,0.00011294155254428001,0.00010949100449970601
