evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,used_replay_mode,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.005790401896988931,-0.0002606910881210346,0.0026841654665560764,0.0026967951526354257,0,0,1,5.0,5.0,0
2,0,5.000260691088121,4.997315834533444,0.0057831417887658325,-0.0002547639643483418,0.002675353720796885,0.0026874564571193,0,0,1,5.000260691088121,4.997315834533444,0
3,1,4.76826348189702,4.018782956633855,0.004525322244640429,0.0017031886545653193,-0.0007656647941989144,0.0018673762797346677,0,0,1,4.76826348189702,4.018782956633855,0
4,2,4.544594306185266,3.9944179356376126,0.0041800175665155604,0.001497746872172889,-0.00031140241657721935,0.0015297768327941837,0,0,1,4.544594306185266,3.9944179356376126,0
5,2,3.649917603338247,3.8969578516526444,0.003245656294011648,0.0003307816240751296,0.0018001076834061657,0.0018302470201269807,0,0,1,3.649917603338247,3.8969578516526444,0
6,3,0.6392346785785099,2.5162213015716546,0.004980463737013813,-0.011767507343271678,0.010766771119516832,0.015949846062392407,0,0,1,0.6392346785785099,2.5162213015716546,0
7,3,2.300520317302389,3.27810751105808,0.002016849093939797,-0.0012175867428494789,0.0036825876803618465,0.0038786556304879205,0,0,1,2.300520317302389,3.27810751105808,0
8,4,1e-06,1.3188372632725487,0.0029982419366133568,-0.010610105810624406,0.0016711051736394073,0.010740900232941844,0,0,1,1e-06,1.3188372632725487,0
9,4,1.1496344099395719,2.2979390334746204,0.0003267085495272377,-0.0017585537181005384,0.002886287670067122,0.0033798177012712865,0,0,1,1.1496344099395719,2.2979390334746204,0
10,5,0.9735501898176265,1.4064436889955299,0.0036351644251269486,0.007263201463448644,-0.014466703088476385,0.01618763706501893,0,0,1,0.9735501898176265,1.4064436889955299,0
11,5,1.1068230792457965,2.0811899007128996,1.3247015192017354e-05,5.843431071853706e-05,0.00023857276615264262,0.00024562478176860336,0,0,1,1.1068230792457965,2.0811899007128996,0
12,6,0.8581922784856764,1.8900925591550997,3.4343648627031886e-05,-0.0003338807112567722,-0.00016638032330768514,0.0003730398656086209,0,0,1,0.8581922784856764,1.8900925591550997,0
13,6,1.0117208239327165,2.008094418934619,1.0955646265863051e-06,-6.05641658845625e-05,8.858975996569458e-05,0.0001073133904043302,0,0,1,1.0117208239327165,2.008094418934619,0
14,7,1.0127189591289063,2.0025304620068076,8.741399413791396e-07,1.328338395213541e-05,-1.758622916570218e-05,2.203914121485777e-05,0,0,1,1.0127189591289063,2.0025304620068076,0
15,8,1.0120961310685181,2.003143720323977,8.646414860695278e-07,-7.928064170846026e-08,1.9505740677831816e-08,8.164492678112996e-08,0,0,1,1.0120961310685181,2.003143720323977,0
16,9,1.0121247496892594,2.003161957606647,8.646406064668279e-07,3.3868858687557513e-09,3.1265095887712693e-09,4.609344649367857e-09,0,0,1,1.0121247496892594,2.003161957606647,0
