evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,reason
1,0,0,0.0,-0.03298406327095788,1.0354130747236567e-16,0.0005439742149312798,0.00045657070414635245,-0.00045657070414635256,1,5,replay
1,0,1,0.002857142857142857,-0.04535464829707598,-0.018756939619315675,0.00035371905345350286,0.00034101391909114703,-0.00036653127834493566,1,18,replay
1,0,2,0.005714285714285714,-0.05770494981500504,-0.03753696794485219,0.0002033737463574071,0.0002479416133688366,-0.00028659867228628995,1,18,replay
1,0,3,0.008571428571428572,-0.07008878315244449,-0.05636397691554961,9.418515312015427e-05,0.00016107372723255835,-0.00020046379223951082,1,18,replay
1,0,4,0.011428571428571429,-0.08254741857777903,-0.07526350359341366,2.652770874973118e-05,8.12048928970258e-05,-0.00010900558773185838,1,18,replay
1,0,5,0.014285714285714285,-0.0951311089464362,-0.09426365296652132,3.762399385450376e-07,9.136489513848088e-06,-1.3260546542861124e-05,1,18,replay
1,0,6,0.017142857142857144,-0.10789661727814162,-0.11339615170081557,1.5122439433087857e-05,-5.4384731325407804e-05,8.561702197617948e-05,1,18,replay
1,0,7,0.02,-0.12091001586311541,-0.13269759597403324,6.947352243565288e-05,-0.00010867006847122432,0.0001863174874885294,1,18,replay
1,0,8,0.022857142857142857,-0.13425048093633943,-0.15221097723427204,0.0001612897136340256,-0.00015309386199512096,0.0002873188070873629,1,18,replay
1,0,9,0.025714285714285714,-0.14800582310821403,-0.17198760156674864,0.0002875628490171173,-0.00018717733042954678,0.0003869588700993613,1,18,replay
1,0,10,0.02857142857142857,-0.1623191851265599,-0.1920895678874776,0.00044313784486577296,-0.0002102884621047003,0.00048267944796113023,1,18,replay
1,0,11,0.03142857142857143,-0.17734451806504492,-0.2125930474521042,0.0006212294119751907,-0.0002221236140598291,0.0005717372465457273,1,18,replay
1,0,12,0.03428571428571429,-0.19329535005699452,-0.23359273184009618,0.0008119394892865268,-0.00022246890190491517,0.0006504259030866097,1,18,replay
1,0,13,0.037142857142857144,-0.21050577927637848,-0.2552080220127608,0.0009991452528312242,-0.00021112186378050886,0.0007131360290544014,1,18,replay
1,0,14,0.04,-0.2294390996047444,-0.27759188263874385,0.0011593452569597124,-0.0001883036002995497,0.0007524052345485835,1,18,replay
2,0,0,0.0,-0.03298406327095788,4.077145925843125e-05,0.0005453198544790508,0.00045711509506772975,-0.0004573408271959456,1,5,replay
2,0,1,0.002857142857142857,-0.04535464829707598,-0.01871659976267346,0.00035479281486059213,0.00034151611113984634,-0.0003672512450391583,1,18,replay
2,0,2,0.005714285714285714,-0.05770494981500504,-0.03749561099660067,0.00020420868773853292,0.0002484388642986637,-0.000287315721598362,1,18,replay
2,0,3,0.008571428571428572,-0.07008878315244449,-0.05632170385876636,9.476623613921058e-05,0.0001615623647765333,-0.0002011724354646281,1,18,replay
2,0,4,0.011428571428571429,-0.08254741857777903,-0.07522041897570254,2.6842461584414498e-05,8.168131527347896e-05,-0.00010970041444275267,1,18,replay
2,0,5,0.014285714285714285,-0.0951311089464362,-0.09421986583062245,4.1518200805897887e-07,9.597200027450703e-06,-1.3936303281177644e-05,1,18,replay
2,0,6,0.017142857142857144,-0.10789661727814162,-0.11335177694243358,1.4879383481458962e-05,-5.3943088305870105e-05,8.496538180460189e-05,1,18,replay
2,0,7,0.02,-0.12091001586311541,-0.13265275629128903,6.894597638173162e-05,-0.00010825067316817294,0.00018569475030713863,1,18,replay
2,0,8,0.022857142857142857,-0.13425048093633943,-0.1521658059055924,0.0001604794343769694,-0.00015269968680007206,0.00028672943576348167,1,18,replay
2,0,9,0.025714285714285714,-0.14800582310821403,-0.17194224640540712,0.00028647618013120403,-0.00018681110455357361,0.00038640699275311176,1,18,replay
2,0,10,0.02857142857142857,-0.1623191851265599,-0.1920441968957242,0.0004417881623384776,-0.0002099526581935559,0.00048216851374994053,1,18,replay
2,0,11,0.03142857142857143,-0.17734451806504492,-0.2125478569791507,0.0006196375353506976,-0.00022182040830814027,0.0005712700297914153,1,18,replay
2,0,12,0.03428571428571429,-0.19329535005699452,-0.23354795851335447,0.0008101362437705101,-0.00022220015189438935,0.0006500041563353711,1,18,replay
2,0,13,0.037142857142857144,-0.21050577927637848,-0.2551639605066882,0.0009971765753995943,-0.00021088910676811656,0.0007127597004633222,1,18,replay
2,0,14,0.04,-0.2294390996047444,-0.27754891275602006,0.0011572770607253282,-0.0001881080369401536,0.0007520717068505267,1,18,replay
3,1,0,0.0,-0.03298406327095788,0.011569833682461405,0.000992524866867952,0.000641604034011443,-0.0007384978763870474,1,5,replay
3,1,1,0.002857142857142857,-0.04535464829707598,-0.007016757131369719,0.0007348969495167691,0.0005105724069905209,-0.000632064540217221,1,18,replay
3,1,2,0.005714285714285714,-0.05770494981500504,-0.025197750829154313,0.0005283589929528473,0.00041468485450028283,-0.0005535653752754403,1,18,replay
3,1,3,0.008571428571428572,-0.07008878315244449,-0.04345578400567426,0.00035465832177593195,0.00032395654709241,-0.0004668635505812025,1,18,replay
3,1,4,0.011428571428571429,-0.08254741857777903,-0.061818285340035986,0.00021484848239405172,0.00023920612060303177,-0.00037283670139406417,1,18,replay
3,1,5,0.014285714285714285,-0.0951311089464362,-0.08031565221690676,0.00010974887905227961,0.00016127010340244606,-0.0002725495381297164,1,18,replay
3,1,6,0.017142857142857144,-0.10789661727814162,-0.09898249840551462,3.97307576376624e-05,9.093876925908951e-05,-0.00016720058778954013,1,18,replay
3,1,7,0.02,-0.12091001586311541,-0.11785916966307572,4.653831268148305e-06,2.895213192913941e-05,-5.815978053311707e-05,1,18,replay
3,1,8,0.022857142857142857,-0.13425048093633943,-0.13699364672076803,3.7624792604298808e-06,-2.4005694598029513e-05,5.297216303334304e-05,1,18,replay
3,1,9,0.025714285714285714,-0.14800582310821403,-0.15644400692146593,3.5601473033113175e-05,-6.739279671817201e-05,0.00016446261556117006,1,18,replay
3,1,10,0.02857142857142857,-0.1623191851265599,-0.1762816985041941,9.747588991030677e-05,-0.0001005025043587508,0.00027354705538698494,1,18,replay
3,1,11,0.03142857142857143,-0.17734451806504492,-0.1965960165932303,0.00018531009779036212,-0.0001229575363850885,0.0003773016618593109,1,18,replay
3,1,12,0.03428571428571429,-0.19329535005699452,-0.21750039699527193,0.00029294214864210625,-0.0001344648551705722,0.0004717168713076632,1,18,replay
3,1,13,0.037142857142857144,-0.21050577927637848,-0.2391415405696513,0.0004100034124226513,-0.00013474056032918282,0.0005505715227921923,1,18,replay
3,1,14,0.04,-0.2294390996047444,-0.2617131034504347,0.0005208056621158159,-0.00012393236566324926,0.000605501266167771,1,18,replay
4,2,0,0.0,-0.03298406327095788,0.008689021216402712,0.0008683229853453471,0.0006245574880551261,-0.0006941907661317039,1,5,replay
4,2,1,0.002857142857142857,-0.04535464829707598,-0.009651121623657853,0.0006373709084597398,0.0004943609797129331,-0.0005916334063717388,1,18,replay
4,2,2,0.005714285714285714,-0.05770494981500504,-0.027690281501039016,0.00045044015699869804,0.0003979150668237606,-0.0005138115828748294,1,18,replay
4,2,3,0.008571428571428572,-0.07008878315244449,-0.045800227768407975,0.00029496696132170455,0.0003068950159829044,-0.00042807919243168706,1,18,replay
4,2,4,0.011428571428571429,-0.08254741857777903,-0.06400864308382222,0.00017184309840766684,0.00022211888313254023,-0.00033530749409925117,1,18,replay
4,2,5,0.014285714285714285,-0.0951311089464362,-0.082346201204254,8.172693298805522e-05,0.0001444207423997203,-0.00023655216463959152,1,18,replay
4,2,6,0.017142857142857144,-0.10789661727814162,-0.10084782613434687,2.484272829441967e-05,7.458399433366849e-05,-0.00013299966706248917,1,18,replay
4,2,7,0.02,-0.12091001586311541,-0.11955422055305615,9.190904613893465e-07,1.3337310210202894e-05,-2.600490736187225e-05,1,18,replay
4,2,8,0.022857142857142857,-0.13425048093633943,-0.13851378466889394,9.087879358006621e-06,-3.86510166266026e-05,8.284924406754479e-05,1,18,replay
4,2,9,0.025714285714285714,-0.14800582310821403,-0.1577850992517644,4.781712094590669e-05,-8.086212835011539e-05,0.000191851868405649,1,18,replay
4,2,10,0.02857142857142857,-0.1623191851265599,-0.17744023074062373,0.00011432301023129945,-0.00011260835180295063,0.00029825871985887404,1,18,replay
4,2,11,0.03142857142857143,-0.17734451806504492,-0.19756925398825165,0.00020451997158172432,-0.00013354443711377671,0.0003991712158615858,1,18,replay
4,2,12,0.03428571428571429,-0.19329535005699452,-0.2182866202208249,0.0003122817922007792,-0.00014341279363119132,0.0004906052318754599,1,18,replay
4,2,13,0.037142857142857144,-0.21050577927637848,-0.2397404034375553,0.0004273316249226314,-0.0001419652823949896,0.0005663585951492982,1,18,replay
4,2,14,0.04,-0.2294390996047444,-0.2621262011892591,0.0005342233049981921,-0.00012939859855834067,0.0006180818891775322,1,18,replay
5,2,0,0.0,-0.03298406327095788,-0.004309809668722457,0.00041110640982265563,0.0005136325266352333,-0.0004873181813565778,1,5,replay
5,2,1,0.002857142857142857,-0.04535464829707598,-0.021513942422602628,0.00028418962829657407,0.0003927999633160703,-0.0004032671713260366,1,18,replay
5,2,2,0.005714285714285714,-0.05770494981500504,-0.03891152218376775,0.0001765964610652767,0.0002958578416096286,-0.00032865745607338034,1,18,replay
5,2,3,0.008571428571428572,-0.07008878315244449,-0.05635231081840461,9.43453360919215e-05,0.00020565261466463922,-0.00024751008381971516,1,18,replay
