phi_applied,target_current_density_A_per_m2,simulated_current_density_A_per_m2
0.000000000000000000e+00,-1.011395709388538080e+02,-1.206591903564448671e+02
2.857142857142857140e-03,-1.955527873327431791e+02,-2.011312300123480838e+02
5.714285714285714281e-03,-2.611762518937614459e+02,-2.802524981177266454e+02
8.571428571428571855e-03,-3.534149496859508304e+02,-3.582138621232048763e+02
1.142857142857142856e-02,-3.718739724963315894e+02,-4.353930476682930362e+02
1.428571428571428527e-02,-5.519666699275337578e+02,-5.121167831475509047e+02
1.714285714285714371e-02,-7.046576022698052384e+02,-5.887313215213977173e+02
2.000000000000000042e-02,-6.711721350089597991e+02,-6.655015092114106210e+02
2.285714285714285712e-02,-7.495922982230439402e+02,-7.430745503701499501e+02
2.571428571428571383e-02,-8.395341944714061810e+02,-8.218423420114079363e+02
2.857142857142857054e-02,-8.917439004311977442e+02,-9.024025741866763610e+02
3.142857142857143071e-02,-9.720796140933516654e+02,-9.853830606034192670e+02
3.428571428571428742e-02,-1.069824736118782766e+03,-1.071959627211901761e+03
3.714285714285714413e-02,-1.132112946631910290e+03,-1.163197535372574976e+03
4.000000000000000083e-02,-1.241319192592783338e+03,-1.261064257580701678e+03
