evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,used_replay_mode,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.67046185973383,0.3103622974674312,-0.1760010108165885,0.35679281312510086,0,0,0,5.0,5.0,0
2,0,4.689637702532568,5.176001010816589,0.5648474053994358,0.22856672354077462,-0.07231111451399888,0.23973244334553795,0,0,0,4.689637702532568,5.176001010816589,0
3,1,3.7861100229955187,5.270135135086698,0.448561361075025,0.019796333576139365,0.13597180795784988,0.13740533971569005,0,0,0,3.7861100229955187,5.270135135086698,0
4,2,3.5287550098869316,5.036601067113589,0.41190624514162555,0.002427719287433884,0.15184497837746608,0.1518643844994333,0,0,0,3.5287550098869316,5.036601067113589,0
5,2,2.499334957452583,4.102464795221151,0.2803868376008434,-0.11267089648961055,0.242634824238053,0.26751895044800733,0,0,0,2.499334957452583,4.102464795221151,0
6,3,1e-06,1e-06,2000000006.3260777,2.516033531080353,-105.08899858926783,105.1191136246147,2,0,0,1e-06,1e-06,0
7,3,2.4993349573039145,4.102464794977123,0.2803868375583842,-0.11267089647472114,0.24263482422624383,0.2675189504310257,0,0,0,2.4993349573039145,4.102464794977123,0
8,3,1.2496679786519573,2.0512328974885614,0.04613802995643692,0.20986333983186722,-0.1764636794219743,0.27419345645096477,0,0,0,1.2496679786519573,2.0512328974885614,0
9,4,1e-06,0.6119013944205518,0.8708840271994357,0.4947903338991137,-2.609578881747217,2.656072177969012,0,0,0,1e-06,0.6119013944205518,0
10,4,1.0605646861607652,1.8334290098399768,0.05160111442733672,0.23293172574097168,-0.26214404463530677,0.3506803230784769,0,0,0,1.0605646861607652,1.8334290098399768,0
11,4,1.2309654763727371,2.0296918780197415,0.0460725876932028,0.2119595644138524,-0.18373138708827233,0.2805068262055143,0,0,0,1.2309654763727371,2.0296918780197415,0
12,5,0.02344416174333508,1.6805241858441549,0.6513687768857988,-2.133273128431795,1.0105427437803265,2.360519196595581,0,0,0,0.02344416174333508,1.6805241858441549,0
13,5,0.9839222450874715,1.9582566876919008,0.02442448032596047,0.01416469222981661,-0.02522376576294566,0.028928824124553987,0,0,0,0.9839222450874715,1.9582566876919008,0
14,6,1.0145264054733507,2.007155111361202,0.024020866981706152,0.0019177020223836911,-0.0015744648443498776,0.0024812336836235686,0,0,0,1.0145264054733507,2.007155111361202,0
15,7,1.0123321186001986,2.006792554297413,0.024019425553056292,-0.00038285206727274026,0.00023035366061090363,0.0004468092594965487,0,0,0,1.0123321186001986,2.006792554297413,0
16,8,1.0129120291923865,2.00711255587328,0.0240193513678454,8.529645305955548e-07,-1.8211518049895264e-06,2.0110053175640054e-06,0,0,0,1.0129120291923865,2.00711255587328,0
17,9,1.0129147715195292,2.007116708418649,0.024019351365187947,1.870409314800106e-08,-3.4414442524888234e-08,3.916882631363794e-08,0,0,0,1.0129147715195292,2.007116708418649,0
18,10,1.012914815377059,2.0071167801714407,0.02401935136518716,2.4641933459024212e-12,-1.707061575428881e-12,2.9977171428097586e-12,0,0,0,1.012914815377059,2.0071167801714407,0
