epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.08640885e+00,9.91384983e-01,2.80021949e-02,6.44619736e-02,9.999901e-04,0.1
2,9.37251389e-01,8.96453500e-01,2.72904213e-02,6.04588635e-02,9.999606e-04,0.2
3,8.46754014e-01,8.28066528e-01,2.72863783e-02,5.72916462e-02,9.999113e-04,0.2
4,7.82042027e-01,7.74521410e-01,2.77268035e-02,5.49080234e-02,9.998423e-04,0.2
5,7.31196404e-01,7.29648709e-01,2.80160817e-02,5.30574448e-02,9.997535e-04,0.3
6,6.88528478e-01,6.90044582e-01,2.77730233e-02,5.14106352e-02,9.996451e-04,0.3
7,6.50723338e-01,6.54851615e-01,2.72719565e-02,4.98432202e-02,9.995170e-04,0.3
8,6.16912127e-01,6.23072088e-01,2.68123696e-02,4.83119748e-02,9.993691e-04,0.4
9,5.86351871e-01,5.93069792e-01,2.64861878e-02,4.68016823e-02,9.992016e-04,0.4
10,5.57753861e-01,5.64745843e-01,2.62582526e-02,4.54083225e-02,9.990144e-04,0.5
11,5.31013548e-01,5.38575649e-01,2.60007679e-02,4.42177297e-02,9.988074e-04,0.5
12,5.06391943e-01,5.13966560e-01,2.56080967e-02,4.31801966e-02,9.985809e-04,0.5
13,4.83196765e-01,4.90582168e-01,2.51267972e-02,4.22072344e-02,9.983346e-04,0.6
14,4.61111307e-01,4.68536139e-01,2.46786255e-02,4.12380722e-02,9.980687e-04,0.6
15,4.40236568e-01,4.47921425e-01,2.42975709e-02,4.02938335e-02,9.977832e-04,0.7
16,4.20804858e-01,4.27872092e-01,2.39221401e-02,3.93684372e-02,9.974780e-04,0.7
17,4.02019590e-01,4.08032775e-01,2.35273657e-02,3.84506007e-02,9.971532e-04,0.7
18,3.83513451e-01,3.89263123e-01,2.31590687e-02,3.75767203e-02,9.968088e-04,0.8
19,3.66143852e-01,3.71667743e-01,2.28338070e-02,3.67087415e-02,9.964449e-04,0.8
20,3.49877656e-01,3.55102628e-01,2.25218210e-02,3.58258384e-02,9.960613e-04,0.9
21,3.34478348e-01,3.39748293e-01,2.22346474e-02,3.49747770e-02,9.956582e-04,0.9
22,3.20085973e-01,3.25253129e-01,2.20019325e-02,3.41927513e-02,9.952355e-04,0.9
23,3.06532145e-01,3.11153173e-01,2.18035298e-02,3.34570084e-02,9.947933e-04,1.0
24,2.93457210e-01,2.97948599e-01,2.16066711e-02,3.27360501e-02,9.943315e-04,1.0
25,2.81268239e-01,2.85481960e-01,2.14012113e-02,3.19976751e-02,9.938503e-04,1.1
26,2.69816875e-01,2.73682743e-01,2.11966283e-02,3.13106297e-02,9.933496e-04,1.1
27,2.59022683e-01,2.62637943e-01,2.09597668e-02,3.07586563e-02,9.928295e-04,1.1
28,2.48913288e-01,2.52047926e-01,2.06685141e-02,3.02962523e-02,9.922899e-04,1.2
29,2.39152536e-01,2.42112383e-01,2.03773649e-02,2.98386031e-02,9.917309e-04,1.2
30,2.30019197e-01,2.32633740e-01,2.00984666e-02,2.92593962e-02,9.911525e-04,1.3
31,2.21295431e-01,2.23811209e-01,1.98330545e-02,2.86203095e-02,9.905547e-04,1.3
32,2.13165715e-01,2.15567857e-01,1.96019379e-02,2.80960552e-02,9.899376e-04,1.3
33,2.05565512e-01,2.07701921e-01,1.93893585e-02,2.77077373e-02,9.893012e-04,1.4
34,1.98316932e-01,2.00223997e-01,1.91833872e-02,2.73106549e-02,9.886454e-04,1.4
35,1.91444695e-01,1.93174601e-01,1.89955076e-02,2.68698360e-02,9.879704e-04,1.5
36,1.84871584e-01,1.86520889e-01,1.87943359e-02,2.64596041e-02,9.872762e-04,1.5
37,1.78727463e-01,1.80036575e-01,1.85660475e-02,2.61153952e-02,9.865627e-04,1.6
38,1.72866598e-01,1.73993826e-01,1.83530917e-02,2.57945871e-02,9.858301e-04,1.6
39,1.67359889e-01,1.68119907e-01,1.81435030e-02,2.53969595e-02,9.850782e-04,1.6
40,1.62039027e-01,1.62645593e-01,1.79395205e-02,2.50571406e-02,9.843073e-04,1.7
41,1.56977519e-01,1.57236621e-01,1.76832498e-02,2.47329279e-02,9.835172e-04,1.7
42,1.52156189e-01,1.52335986e-01,1.74468700e-02,2.44404444e-02,9.827081e-04,1.8
43,1.47615179e-01,1.47592381e-01,1.72240579e-02,2.40925945e-02,9.818800e-04,1.8
44,1.43366173e-01,1.43474445e-01,1.70305848e-02,2.39013542e-02,9.810328e-04,1.8
45,1.39434978e-01,1.39350593e-01,1.68160670e-02,2.36346483e-02,9.801667e-04,1.9
46,1.36115238e-01,1.37149274e-01,1.66851053e-02,2.36380446e-02,9.792816e-04,1.9
47,1.33808821e-01,1.33482918e-01,1.64858292e-02,2.32925851e-02,9.783777e-04,2.0
48,1.31363437e-01,1.28949523e-01,1.63207266e-02,2.30794132e-02,9.774548e-04,2.0
49,1.26397729e-01,1.23487547e-01,1.61474086e-02,2.25681206e-02,9.765132e-04,2.1
50,1.21441215e-01,1.21423073e-01,1.60060014e-02,2.24080225e-02,9.755527e-04,2.1
51,1.20170377e-01,1.18874371e-01,1.58161118e-02,2.23655489e-02,9.745735e-04,2.2
52,1.17332600e-01,1.13683015e-01,1.56191400e-02,2.18432381e-02,9.735756e-04,2.2
53,1.12670667e-01,1.11675046e-01,1.54995288e-02,2.16531666e-02,9.725590e-04,2.2
54,1.11261725e-01,1.09464280e-01,1.53269875e-02,2.15842621e-02,9.715238e-04,2.3
55,1.08810358e-01,1.05048060e-01,1.51277365e-02,2.11859099e-02,9.704699e-04,2.3
56,1.04882441e-01,1.03229754e-01,1.49846253e-02,2.10318716e-02,9.693976e-04,2.4
57,1.03645816e-01,1.00975059e-01,1.48166138e-02,2.09521438e-02,9.683067e-04,2.4
58,1.01166621e-01,9.74321738e-02,1.46562330e-02,2.06383502e-02,9.671973e-04,2.4
59,9.79897827e-02,9.57723781e-02,1.45028879e-02,2.05256284e-02,9.660695e-04,2.5
60,9.68651772e-02,9.34522822e-02,1.43241055e-02,2.04169853e-02,9.649234e-04,2.5
61,9.43935141e-02,9.06046033e-02,1.41887859e-02,2.01234909e-02,9.637589e-04,2.6
62,9.18321908e-02,8.89768600e-02,1.40554611e-02,1.99918174e-02,9.625761e-04,2.6
63,9.06925499e-02,8.68070051e-02,1.38904092e-02,1.98633766e-02,9.613750e-04,2.7
64,8.84090215e-02,8.44514221e-02,1.37759625e-02,1.96346519e-02,9.601558e-04,2.7
65,8.62763524e-02,8.28016400e-02,1.36096789e-02,1.94814050e-02,9.589184e-04,2.7
66,8.50479677e-02,8.09446573e-02,1.34294177e-02,1.93500116e-02,9.576630e-04,2.8
67,8.31279457e-02,7.88298324e-02,1.33156319e-02,1.91165286e-02,9.563894e-04,2.8
68,8.12230855e-02,7.72013515e-02,1.31184529e-02,1.89883145e-02,9.550979e-04,2.9
69,7.99367204e-02,7.56725222e-02,1.29661834e-02,1.88819289e-02,9.537885e-04,2.9
70,7.83597529e-02,7.37902224e-02,1.28853130e-02,1.86440575e-02,9.524611e-04,2.9
