epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.14128947e+00,8.19569707e-01,2.73041439e-02,6.06360072e-02,9.999901e-04,0.1
2,8.71988356e-01,6.47605240e-01,2.60914900e-02,5.28205272e-02,9.999606e-04,0.2
3,7.00747252e-01,5.18013418e-01,2.52189578e-02,4.59683614e-02,9.999113e-04,0.4
4,5.70286274e-01,4.40999597e-01,2.42386121e-02,4.14189341e-02,9.998423e-04,0.5
5,4.90636647e-01,3.91824543e-01,2.31425576e-02,3.84770332e-02,9.997535e-04,0.6
6,4.38142538e-01,3.52538645e-01,2.21586349e-02,3.63522349e-02,9.996451e-04,0.7
7,3.95434022e-01,3.18367839e-01,2.14033589e-02,3.46319796e-02,9.995170e-04,0.8
8,3.59624475e-01,2.90441006e-01,2.08122623e-02,3.32185578e-02,9.993691e-04,0.9
9,3.30511898e-01,2.65622914e-01,2.03028891e-02,3.16471543e-02,9.992016e-04,1.0
10,3.04572999e-01,2.43222982e-01,1.98898940e-02,3.00176826e-02,9.990144e-04,1.1
11,2.81092376e-01,2.22863361e-01,1.95540016e-02,2.84857619e-02,9.988074e-04,1.2
12,2.59503126e-01,2.06235811e-01,1.92309738e-02,2.73497640e-02,9.985809e-04,1.3
13,2.41528526e-01,1.91869780e-01,1.88424737e-02,2.65551487e-02,9.983346e-04,1.4
14,2.25370869e-01,1.78174704e-01,1.83446295e-02,2.58886777e-02,9.980687e-04,1.5
15,2.09988624e-01,1.65649191e-01,1.78309903e-02,2.52993669e-02,9.977832e-04,1.6
16,1.95919082e-01,1.54325217e-01,1.73872215e-02,2.47639781e-02,9.974780e-04,1.7
17,1.82954594e-01,1.43948674e-01,1.69708725e-02,2.40729385e-02,9.971532e-04,1.7
18,1.71420395e-01,1.34140611e-01,1.64643526e-02,2.31341918e-02,9.968088e-04,1.8
19,1.60557821e-01,1.25337243e-01,1.59930162e-02,2.22437542e-02,9.964449e-04,1.9
20,1.50572494e-01,1.17213458e-01,1.55458614e-02,2.16067828e-02,9.960613e-04,2.0
21,1.41286895e-01,1.10280253e-01,1.50725241e-02,2.10444989e-02,9.956582e-04,2.1
22,1.33078203e-01,1.04294479e-01,1.46248447e-02,2.05691959e-02,9.952355e-04,2.2
23,1.25731602e-01,9.89612192e-02,1.41730174e-02,2.01281327e-02,9.947933e-04,2.3
24,1.19244613e-01,9.39984620e-02,1.37560416e-02,1.97844105e-02,9.943315e-04,2.4
25,1.13521367e-01,8.93593282e-02,1.33502635e-02,1.92990572e-02,9.938503e-04,2.4
26,1.08031966e-01,8.49767849e-02,1.29679309e-02,1.87515322e-02,9.933496e-04,2.5
27,1.02590069e-01,8.06042552e-02,1.26711904e-02,1.84626256e-02,9.928295e-04,2.6
28,9.79534537e-02,7.72680268e-02,1.24103788e-02,1.79347429e-02,9.922899e-04,2.7
29,9.36914757e-02,7.32163861e-02,1.20812242e-02,1.79086138e-02,9.917309e-04,2.8
30,8.98740664e-02,7.10592568e-02,1.19017770e-02,1.72857255e-02,9.911525e-04,2.9
31,8.65003988e-02,6.70615137e-02,1.14994536e-02,1.72562503e-02,9.905547e-04,3.0
32,8.32248852e-02,6.46323860e-02,1.12215802e-02,1.67338335e-02,9.899376e-04,3.1
33,7.94169977e-02,6.03471994e-02,1.09266584e-02,1.63597284e-02,9.893012e-04,3.2
34,7.53590465e-02,5.75158671e-02,1.06479149e-02,1.60365503e-02,9.886454e-04,3.3
35,7.20473528e-02,5.58157265e-02,1.04562188e-02,1.58172944e-02,9.879704e-04,3.4
36,6.99168742e-02,5.35452217e-02,1.02273372e-02,1.57937725e-02,9.872762e-04,3.4
37,6.80037886e-02,5.18209599e-02,1.00929212e-02,1.53273827e-02,9.865627e-04,3.5
38,6.54127374e-02,4.87744398e-02,9.76301953e-03,1.51309040e-02,9.858301e-04,3.6
39,6.25424609e-02,4.68325466e-02,9.65816693e-03,1.47031235e-02,9.850782e-04,3.7
40,6.01857305e-02,4.50719073e-02,9.27307674e-03,1.45811299e-02,9.843073e-04,3.8
41,5.80833852e-02,4.33401875e-02,9.06431783e-03,1.44102493e-02,9.835172e-04,3.9
42,5.63108958e-02,4.21277322e-02,8.96760091e-03,1.39567958e-02,9.827081e-04,4.0
43,5.47428541e-02,4.10944372e-02,8.75955338e-03,1.41106650e-02,9.818800e-04,4.1
44,5.36686741e-02,4.03300114e-02,8.98218211e-03,1.36016452e-02,9.810328e-04,4.2
45,5.27330153e-02,3.87150198e-02,8.41242983e-03,1.37035261e-02,9.801667e-04,4.2
46,5.09568490e-02,3.67562808e-02,8.14975454e-03,1.31078189e-02,9.792816e-04,4.3
47,4.85985018e-02,3.52078378e-02,7.77390122e-03,1.29327898e-02,9.783777e-04,4.4
48,4.69177216e-02,3.42208035e-02,7.55569633e-03,1.28636921e-02,9.774548e-04,4.5
49,4.58130166e-02,3.31950411e-02,7.57384473e-03,1.25092820e-02,9.765132e-04,4.6
50,4.47089672e-02,3.22678983e-02,7.33127909e-03,1.25150148e-02,9.755527e-04,4.7
51,4.36152853e-02,3.17338146e-02,7.30590745e-03,1.21988534e-02,9.745735e-04,4.8
52,4.29084338e-02,3.17332558e-02,7.01697771e-03,1.22859126e-02,9.735756e-04,4.8
53,4.25353311e-02,3.09066866e-02,6.88972319e-03,1.20616740e-02,9.725590e-04,4.9
54,4.18133549e-02,2.98501253e-02,6.66958373e-03,1.18446259e-02,9.715238e-04,5.0
55,4.02963683e-02,2.80742403e-02,6.69163986e-03,1.14863426e-02,9.704699e-04,5.1
