epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.16145599e+00,1.09217310e+00,3.22728487e-02,6.64741360e-02,9.999901e-04,0.1
2,9.88210917e-01,9.96940076e-01,2.99123483e-02,6.37530872e-02,9.999606e-04,0.1
3,8.97748947e-01,9.24277604e-01,2.85072384e-02,6.14902424e-02,9.999113e-04,0.2
4,8.31495225e-01,8.62576723e-01,2.78349530e-02,5.93633353e-02,9.998423e-04,0.2
5,7.75810063e-01,8.10098648e-01,2.76907198e-02,5.74119641e-02,9.997535e-04,0.3
6,7.29184747e-01,7.66909182e-01,2.77544726e-02,5.56527615e-02,9.996451e-04,0.3
7,6.91359580e-01,7.29238093e-01,2.76666529e-02,5.41064210e-02,9.995170e-04,0.4
8,6.56787157e-01,6.94144666e-01,2.73549563e-02,5.27109960e-02,9.993691e-04,0.4
9,6.23179972e-01,6.62002683e-01,2.69539566e-02,5.14543416e-02,9.992016e-04,0.5
10,5.92617691e-01,6.31746590e-01,2.65591760e-02,5.02385251e-02,9.990144e-04,0.6
11,5.64341307e-01,6.04709566e-01,2.61720954e-02,4.91444687e-02,9.988074e-04,0.6
12,5.39317191e-01,5.79335272e-01,2.57826070e-02,4.80772960e-02,9.985809e-04,0.7
13,5.15315354e-01,5.55347621e-01,2.54324535e-02,4.70160724e-02,9.983346e-04,0.7
14,4.92278785e-01,5.32417834e-01,2.51586949e-02,4.59431789e-02,9.980687e-04,0.8
15,4.70457703e-01,5.10363162e-01,2.49357481e-02,4.48442405e-02,9.977832e-04,0.8
16,4.49752569e-01,4.89636689e-01,2.46969687e-02,4.37683829e-02,9.974780e-04,0.9
17,4.30363804e-01,4.69452590e-01,2.44083399e-02,4.26960495e-02,9.971532e-04,0.9
18,4.11402643e-01,4.49894488e-01,2.40924604e-02,4.16943491e-02,9.968088e-04,1.0
19,3.93355787e-01,4.30828810e-01,2.37739018e-02,4.07553077e-02,9.964449e-04,1.0
20,3.75887841e-01,4.12884444e-01,2.34607555e-02,3.98097078e-02,9.960613e-04,1.1
21,3.59463096e-01,3.95817280e-01,2.31568650e-02,3.88068089e-02,9.956582e-04,1.2
22,3.43739271e-01,3.79885703e-01,2.28727728e-02,3.78410426e-02,9.952355e-04,1.2
23,3.28955978e-01,3.64902496e-01,2.25757259e-02,3.69789965e-02,9.947933e-04,1.3
24,3.15133631e-01,3.50549459e-01,2.22458351e-02,3.62077631e-02,9.943315e-04,1.3
25,3.01843166e-01,3.37087631e-01,2.19157271e-02,3.55053924e-02,9.938503e-04,1.4
26,2.89485514e-01,3.24098080e-01,2.16106866e-02,3.47893232e-02,9.933496e-04,1.4
27,2.77627021e-01,3.11776906e-01,2.13346737e-02,3.40309861e-02,9.928295e-04,1.5
28,2.66382337e-01,3.00145686e-01,2.10657305e-02,3.33089019e-02,9.922899e-04,1.6
29,2.55813748e-01,2.88975686e-01,2.07629500e-02,3.26876579e-02,9.917309e-04,1.6
30,2.45620415e-01,2.78432399e-01,2.04537637e-02,3.21075915e-02,9.911525e-04,1.7
31,2.36007512e-01,2.68587202e-01,2.01578067e-02,3.15140922e-02,9.905547e-04,1.7
32,2.27053925e-01,2.59162337e-01,1.98771219e-02,3.08937614e-02,9.899376e-04,1.8
33,2.18549997e-01,2.50165492e-01,1.96125240e-02,3.03138177e-02,9.893012e-04,1.8
34,2.10403711e-01,2.41508633e-01,1.93490191e-02,2.97901604e-02,9.886454e-04,1.9
35,2.02679411e-01,2.33380437e-01,1.91381455e-02,2.92648449e-02,9.879704e-04,1.9
36,1.95360020e-01,2.25511253e-01,1.89285915e-02,2.87458532e-02,9.872762e-04,2.0
37,1.88412473e-01,2.18357220e-01,1.87436075e-02,2.82648253e-02,9.865627e-04,2.0
38,1.81814015e-01,2.11060628e-01,1.85072056e-02,2.77895235e-02,9.858301e-04,2.1
39,1.75623372e-01,2.04840198e-01,1.83254054e-02,2.73473184e-02,9.850782e-04,2.2
40,1.69881836e-01,1.98290884e-01,1.81059080e-02,2.68895665e-02,9.843073e-04,2.2
41,1.64520249e-01,1.92812279e-01,1.79693912e-02,2.65119671e-02,9.835172e-04,2.3
42,1.59373075e-01,1.86492577e-01,1.77538471e-02,2.60936240e-02,9.827081e-04,2.3
43,1.54064775e-01,1.80799708e-01,1.76225826e-02,2.56861357e-02,9.818800e-04,2.4
44,1.48584768e-01,1.75028712e-01,1.74185097e-02,2.53131222e-02,9.810328e-04,2.4
45,1.43462375e-01,1.70114040e-01,1.72290538e-02,2.49984352e-02,9.801667e-04,2.5
46,1.39086187e-01,1.65847361e-01,1.70558480e-02,2.46999762e-02,9.792816e-04,2.5
47,1.35289133e-01,1.61474884e-01,1.68115131e-02,2.44533397e-02,9.783777e-04,2.6
48,1.31800219e-01,1.57605782e-01,1.66513191e-02,2.41841253e-02,9.774548e-04,2.7
