epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.12310946e+00,9.42115188e-01,2.82906186e-02,6.33362766e-02,9.999901e-04,0.0
2,9.45191503e-01,8.53311658e-01,2.75704131e-02,5.98715617e-02,9.999606e-04,0.0
3,8.57334495e-01,7.77562320e-01,2.70350310e-02,5.67499151e-02,9.999113e-04,0.0
4,7.81814337e-01,7.13487685e-01,2.67266279e-02,5.38910677e-02,9.998423e-04,0.1
5,7.16971874e-01,6.65429235e-01,2.66137951e-02,5.16816995e-02,9.997535e-04,0.1
6,6.68719769e-01,6.23480022e-01,2.63200963e-02,4.98771683e-02,9.996451e-04,0.1
7,6.26376152e-01,5.85384965e-01,2.59204238e-02,4.81929859e-02,9.995170e-04,0.1
8,5.87230146e-01,5.52000761e-01,2.55237807e-02,4.65551165e-02,9.993691e-04,0.1
9,5.53665638e-01,5.22387564e-01,2.51297551e-02,4.49570053e-02,9.992016e-04,0.1
10,5.24851620e-01,4.96690333e-01,2.47487079e-02,4.34718138e-02,9.990144e-04,0.1
11,4.99798208e-01,4.73916173e-01,2.43782156e-02,4.21301607e-02,9.988074e-04,0.1
12,4.77052748e-01,4.52375114e-01,2.40201946e-02,4.09621485e-02,9.985809e-04,0.2
13,4.55169022e-01,4.32066619e-01,2.37059972e-02,3.99981975e-02,9.983346e-04,0.2
14,4.34430212e-01,4.12863612e-01,2.34224846e-02,3.91380843e-02,9.980687e-04,0.2
15,4.14914161e-01,3.94670933e-01,2.31375224e-02,3.82810498e-02,9.977832e-04,0.2
16,3.96567523e-01,3.77735138e-01,2.28531747e-02,3.74138013e-02,9.974780e-04,0.2
17,3.79439086e-01,3.61688852e-01,2.25623217e-02,3.65582628e-02,9.971532e-04,0.2
18,3.63141418e-01,3.46363306e-01,2.22497518e-02,3.57711267e-02,9.968088e-04,0.2
19,3.47635239e-01,3.31968039e-01,2.19343014e-02,3.50678420e-02,9.964449e-04,0.3
20,3.33017051e-01,3.18439633e-01,2.16462546e-02,3.43951344e-02,9.960613e-04,0.3
21,3.19115341e-01,3.05573046e-01,2.14020840e-02,3.37048063e-02,9.956582e-04,0.3
22,3.05885881e-01,2.92924821e-01,2.11969765e-02,3.29607017e-02,9.952355e-04,0.3
23,2.92957276e-01,2.80939043e-01,2.10046099e-02,3.22320240e-02,9.947933e-04,0.3
24,2.80720860e-01,2.69847572e-01,2.07907101e-02,3.15817533e-02,9.943315e-04,0.3
25,2.69374281e-01,2.59299070e-01,2.05411490e-02,3.10040414e-02,9.938503e-04,0.3
26,2.58512676e-01,2.49428451e-01,2.02698824e-02,3.05189821e-02,9.933496e-04,0.3
27,2.48337716e-01,2.40050405e-01,2.00136215e-02,3.00570192e-02,9.928295e-04,0.4
28,2.38754645e-01,2.31029838e-01,1.98017416e-02,2.95201136e-02,9.922899e-04,0.4
29,2.29590505e-01,2.22615629e-01,1.96336060e-02,2.89474210e-02,9.917309e-04,0.4
30,2.20967233e-01,2.14862421e-01,1.94502737e-02,2.84847672e-02,9.911525e-04,0.4
31,2.12990656e-01,2.07377836e-01,1.91992181e-02,2.81531865e-02,9.905547e-04,0.4
32,2.05343992e-01,2.00408027e-01,1.89318698e-02,2.78328847e-02,9.899376e-04,0.4
33,1.98176026e-01,1.93762749e-01,1.86888180e-02,2.74192794e-02,9.893012e-04,0.4
34,1.91328511e-01,1.87375739e-01,1.84615153e-02,2.69977966e-02,9.886454e-04,0.5
35,1.84826538e-01,1.81201428e-01,1.82177569e-02,2.66635727e-02,9.879704e-04,0.5
36,1.78634122e-01,1.75360814e-01,1.79839633e-02,2.63645860e-02,9.872762e-04,0.5
37,1.72774270e-01,1.69773087e-01,1.77740594e-02,2.60097501e-02,9.865627e-04,0.5
38,1.67183012e-01,1.64429247e-01,1.75795209e-02,2.56375766e-02,9.858301e-04,0.5
39,1.61866546e-01,1.59395695e-01,1.73965196e-02,2.53165445e-02,9.850782e-04,0.5
40,1.56822085e-01,1.54636309e-01,1.72128431e-02,2.50237043e-02,9.843073e-04,0.5
41,1.52052298e-01,1.49978474e-01,1.70034814e-02,2.46938954e-02,9.835172e-04,0.6
42,1.47448018e-01,1.45503446e-01,1.67716581e-02,2.43589846e-02,9.827081e-04,0.6
43,1.43070787e-01,1.41279772e-01,1.65423403e-02,2.40739830e-02,9.818800e-04,0.6
44,1.38939738e-01,1.37293592e-01,1.63460171e-02,2.38093537e-02,9.810328e-04,0.6
45,1.34998187e-01,1.33486897e-01,1.62056258e-02,2.34894090e-02,9.801667e-04,0.6
46,1.31201878e-01,1.29830062e-01,1.60728989e-02,2.32225607e-02,9.792816e-04,0.6
47,1.27560690e-01,1.26268655e-01,1.58760289e-02,2.30629374e-02,9.783777e-04,0.6
48,1.24045394e-01,1.22854598e-01,1.56972008e-02,2.28489963e-02,9.774548e-04,0.7
49,1.20684206e-01,1.19586453e-01,1.55546759e-02,2.25701203e-02,9.765132e-04,0.7
50,1.17444970e-01,1.16483733e-01,1.53783323e-02,2.23822359e-02,9.755527e-04,0.7
51,1.14338055e-01,1.13504365e-01,1.52049151e-02,2.22153929e-02,9.745735e-04,0.7
52,1.11345798e-01,1.10629782e-01,1.50461298e-02,2.20188198e-02,9.735756e-04,0.7
53,1.08469002e-01,1.07872829e-01,1.49003084e-02,2.18427493e-02,9.725590e-04,0.7
54,1.05698563e-01,1.05206601e-01,1.47663469e-02,2.16360334e-02,9.715238e-04,0.7
55,1.03058212e-01,1.02567524e-01,1.46102190e-02,2.13973309e-02,9.704699e-04,0.7
56,1.00490801e-01,1.00043438e-01,1.44535124e-02,2.11947747e-02,9.693976e-04,0.8
57,9.80420336e-02,9.76564735e-02,1.42975810e-02,2.09919005e-02,9.683067e-04,0.8
58,9.56820399e-02,9.53525603e-02,1.41855743e-02,2.07546885e-02,9.671973e-04,0.8
59,9.34228972e-02,9.32209939e-02,1.39843875e-02,2.06348847e-02,9.660695e-04,0.8
60,9.12862867e-02,9.12573338e-02,1.39146057e-02,2.03868802e-02,9.649234e-04,0.8
61,8.93955305e-02,8.99469778e-02,1.36972309e-02,2.03239506e-02,9.637589e-04,0.8
62,8.80719349e-02,8.92669410e-02,1.37293199e-02,2.01741079e-02,9.625761e-04,0.8
63,8.74507055e-02,8.84073824e-02,1.33996013e-02,2.02367408e-02,9.613750e-04,0.9
64,8.66528824e-02,8.44586939e-02,1.34600655e-02,1.96618198e-02,9.601558e-04,0.9
65,8.26951712e-02,8.13109502e-02,1.32257374e-02,1.94684522e-02,9.589184e-04,0.9
