epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.14742756e+00,9.49166834e-01,2.83368773e-02,6.35927587e-02,9.999901e-04,0.0
2,9.62255597e-01,8.65025163e-01,2.76755189e-02,6.04180943e-02,9.999606e-04,0.1
3,8.76661479e-01,7.92643547e-01,2.71165326e-02,5.75809032e-02,9.999113e-04,0.1
4,8.05079818e-01,7.28374302e-01,2.66554169e-02,5.48103091e-02,9.998423e-04,0.2
5,7.42428601e-01,6.77772641e-01,2.64911228e-02,5.25049773e-02,9.997535e-04,0.2
6,6.93738043e-01,6.35059774e-01,2.62611945e-02,5.06337369e-02,9.996451e-04,0.2
7,6.51873410e-01,5.96615553e-01,2.58571238e-02,4.89306945e-02,9.995170e-04,0.3
8,6.12266183e-01,5.62906623e-01,2.54309131e-02,4.72779453e-02,9.993691e-04,0.3
9,5.77165902e-01,5.33140838e-01,2.50355303e-02,4.56633418e-02,9.992016e-04,0.3
10,5.47047675e-01,5.07286787e-01,2.46861252e-02,4.41577855e-02,9.990144e-04,0.4
11,5.21199763e-01,4.84553754e-01,2.43539987e-02,4.27883631e-02,9.988074e-04,0.4
12,4.98146683e-01,4.62924391e-01,2.39959421e-02,4.15480035e-02,9.985809e-04,0.5
13,4.75926816e-01,4.42137033e-01,2.36429607e-02,4.04942090e-02,9.983346e-04,0.5
14,4.54552323e-01,4.22462404e-01,2.33333060e-02,3.96014879e-02,9.980687e-04,0.5
15,4.34366882e-01,4.03832495e-01,2.30587117e-02,3.87683628e-02,9.977832e-04,0.6
16,4.15305793e-01,3.86568427e-01,2.28130924e-02,3.79495000e-02,9.974780e-04,0.6
17,3.97573680e-01,3.70580196e-01,2.25892389e-02,3.71388376e-02,9.971532e-04,0.6
18,3.81001264e-01,3.55360329e-01,2.23580683e-02,3.63530608e-02,9.968088e-04,0.7
19,3.65204543e-01,3.40895146e-01,2.21093996e-02,3.56228492e-02,9.964449e-04,0.7
20,3.50209177e-01,3.27240348e-01,2.18627956e-02,3.49317476e-02,9.960613e-04,0.8
21,3.35969627e-01,3.14408243e-01,2.16412627e-02,3.42470681e-02,9.956582e-04,0.8
22,3.22555661e-01,3.01981837e-01,2.14540402e-02,3.35202740e-02,9.952355e-04,0.8
23,3.09652030e-01,2.89750516e-01,2.12917903e-02,3.27518745e-02,9.947933e-04,0.9
24,2.96987563e-01,2.78323680e-01,2.11308928e-02,3.20403069e-02,9.943315e-04,0.9
25,2.85152256e-01,2.67555773e-01,2.09427487e-02,3.14151058e-02,9.938503e-04,0.9
26,2.74039447e-01,2.57277876e-01,2.07113562e-02,3.08761576e-02,9.933496e-04,1.0
27,2.63469338e-01,2.47586891e-01,2.04503011e-02,3.04144061e-02,9.928295e-04,1.0
28,2.53540576e-01,2.38431811e-01,2.02105374e-02,2.99431646e-02,9.922899e-04,1.0
29,2.44202197e-01,2.29717344e-01,2.00289787e-02,2.93891939e-02,9.917309e-04,1.1
30,2.35317186e-01,2.21675873e-01,1.98838815e-02,2.88346871e-02,9.911525e-04,1.1
31,2.27046713e-01,2.14106962e-01,1.96918856e-02,2.84022596e-02,9.905547e-04,1.2
32,2.19306871e-01,2.06847206e-01,1.94405074e-02,2.80653559e-02,9.899376e-04,1.2
33,2.11932465e-01,2.00062484e-01,1.92036794e-02,2.76931100e-02,9.893012e-04,1.2
34,2.04935744e-01,1.93697676e-01,1.90102985e-02,2.72495758e-02,9.886454e-04,1.3
35,1.98303521e-01,1.87539816e-01,1.88163313e-02,2.68326774e-02,9.879704e-04,1.3
36,1.91982463e-01,1.81593865e-01,1.85996392e-02,2.64925229e-02,9.872762e-04,1.3
37,1.85992733e-01,1.75913885e-01,1.84059596e-02,2.61650792e-02,9.865627e-04,1.4
38,1.80305183e-01,1.70411363e-01,1.82490410e-02,2.58010129e-02,9.858301e-04,1.4
39,1.74838975e-01,1.65179238e-01,1.81031171e-02,2.54572243e-02,9.850782e-04,1.5
40,1.69670105e-01,1.60228655e-01,1.79489343e-02,2.51544825e-02,9.843073e-04,1.5
41,1.64743558e-01,1.55587956e-01,1.77882212e-02,2.48655903e-02,9.835172e-04,1.5
42,1.60113692e-01,1.51085556e-01,1.76209986e-02,2.45360804e-02,9.827081e-04,1.6
43,1.55643344e-01,1.46742523e-01,1.74336703e-02,2.42096401e-02,9.818800e-04,1.6
44,1.51393056e-01,1.42580584e-01,1.72107006e-02,2.39404260e-02,9.810328e-04,1.6
45,1.47375837e-01,1.38656095e-01,1.70121064e-02,2.36852642e-02,9.801667e-04,1.7
46,1.43515483e-01,1.34983048e-01,1.69006699e-02,2.33712532e-02,9.792816e-04,1.7
47,1.39785260e-01,1.31487906e-01,1.67825119e-02,2.31228548e-02,9.783777e-04,1.8
48,1.36251569e-01,1.27998948e-01,1.65727565e-02,2.29678633e-02,9.774548e-04,1.8
49,1.32844001e-01,1.24646030e-01,1.63887185e-02,2.27536376e-02,9.765132e-04,1.8
50,1.29561216e-01,1.21457778e-01,1.62376881e-02,2.24920928e-02,9.755527e-04,1.9
51,1.26383349e-01,1.18394271e-01,1.60524055e-02,2.23095102e-02,9.745735e-04,1.9
52,1.23343758e-01,1.15448117e-01,1.58896547e-02,2.21472162e-02,9.735756e-04,2.0
53,1.20418735e-01,1.12614155e-01,1.57430589e-02,2.19757939e-02,9.725590e-04,2.0
54,1.17602549e-01,1.09890357e-01,1.55983191e-02,2.18106558e-02,9.715238e-04,2.0
55,1.14888616e-01,1.07293934e-01,1.54709433e-02,2.16018622e-02,9.704699e-04,2.1
56,1.12290010e-01,1.04756109e-01,1.53511899e-02,2.13484266e-02,9.693976e-04,2.1
57,1.09778732e-01,1.02235995e-01,1.51849397e-02,2.11485350e-02,9.683067e-04,2.1
58,1.07373513e-01,9.98439193e-02,1.50160562e-02,2.09593912e-02,9.671973e-04,2.2
59,1.05056882e-01,9.75874886e-02,1.49215143e-02,2.07277902e-02,9.660695e-04,2.2
60,1.02830790e-01,9.53320339e-02,1.47179006e-02,2.05859723e-02,9.649234e-04,2.3
61,1.00709856e-01,9.33131129e-02,1.46476539e-02,2.03632932e-02,9.637589e-04,2.3
62,9.87812653e-02,9.16825235e-02,1.44338316e-02,2.02546102e-02,9.625761e-04,2.3
63,9.72572714e-02,9.09797698e-02,1.44921052e-02,2.01051891e-02,9.613750e-04,2.4
64,9.65258628e-02,9.07812789e-02,1.41326002e-02,2.02065393e-02,9.601558e-04,2.4
65,9.66161713e-02,8.82093087e-02,1.43399155e-02,1.97484734e-02,9.589184e-04,2.5
66,9.38540995e-02,8.37186128e-02,1.39350095e-02,1.94811246e-02,9.576630e-04,2.5
67,8.96064192e-02,8.25486034e-02,1.38550103e-02,1.93065345e-02,9.563894e-04,2.5
68,8.84265006e-02,8.23535398e-02,1.39142005e-02,1.92281526e-02,9.550979e-04,2.6
69,8.82019997e-02,7.92319179e-02,1.34873845e-02,1.90762546e-02,9.537885e-04,2.6
70,8.53996500e-02,7.73123950e-02,1.35244696e-02,1.87031390e-02,9.524611e-04,2.7
71,8.32962915e-02,7.69795850e-02,1.34696502e-02,1.87036079e-02,9.511159e-04,2.7
72,8.29746127e-02,7.46873468e-02,1.31195769e-02,1.86209963e-02,9.497529e-04,2.7
73,8.10371116e-02,7.29787052e-02,1.32110208e-02,1.82726129e-02,9.483722e-04,2.8
74,7.91355819e-02,7.21710995e-02,1.30838157e-02,1.82833834e-02,9.469738e-04,2.8
75,7.84331635e-02,7.03674853e-02,1.28297181e-02,1.81330442e-02,9.455578e-04,2.9
76,7.68482834e-02,6.90568537e-02,1.29198256e-02,1.78406696e-02,9.441242e-04,2.9
77,7.54094124e-02,6.78182095e-02,1.26690966e-02,1.78564491e-02,9.426730e-04,2.9
78,7.44423047e-02,6.63465485e-02,1.25297433e-02,1.76584378e-02,9.412045e-04,3.0
79,7.30059668e-02,6.54074401e-02,1.26384257e-02,1.73924264e-02,9.397185e-04,3.0
80,7.19397068e-02,6.40539601e-02,1.23163848e-02,1.74590452e-02,9.382152e-04,3.0
81,7.09594041e-02,6.27285689e-02,1.22662588e-02,1.72010810e-02,9.366946e-04,3.1
82,6.95142150e-02,6.19778894e-02,1.23421914e-02,1.69826007e-02,9.351568e-04,3.1
83,6.86614364e-02,6.07537851e-02,1.20077371e-02,1.70870261e-02,9.336018e-04,3.2
84,6.78704306e-02,5.95702305e-02,1.20429547e-02,1.67495739e-02,9.320297e-04,3.2
85,6.64485693e-02,5.86940199e-02,1.20163254e-02,1.65946702e-02,9.304406e-04,3.2
86,6.55584931e-02,5.77450730e-02,1.17371947e-02,1.67017250e-02,9.288346e-04,3.3
87,6.49801418e-02,5.68388775e-02,1.18359582e-02,1.63417335e-02,9.272116e-04,3.3
88,6.38097748e-02,5.56662083e-02,1.16546637e-02,1.62578998e-02,9.255717e-04,3.3
89,6.27594665e-02,5.48556484e-02,1.14950198e-02,1.62526035e-02,9.239151e-04,3.4
90,6.21628761e-02,5.42560034e-02,1.15867172e-02,1.59658689e-02,9.222418e-04,3.4
91,6.13528937e-02,5.30444160e-02,1.13271015e-02,1.59636309e-02,9.205518e-04,3.4
92,6.03627637e-02,5.23220040e-02,1.12945405e-02,1.58000806e-02,9.188453e-04,3.5
93,5.96330389e-02,5.16789183e-02,1.12351606e-02,1.56382578e-02,9.171222e-04,3.5
94,5.89674488e-02,5.06432205e-02,1.10610982e-02,1.56108896e-02,9.153827e-04,3.6
95,5.81153780e-02,4.99497429e-02,1.10643598e-02,1.54113579e-02,9.136267e-04,3.6
96,5.73391318e-02,4.92728762e-02,1.09145274e-02,1.53456062e-02,9.118545e-04,3.6
97,5.67693785e-02,4.86275293e-02,1.08742646e-02,1.52317592e-02,9.100661e-04,3.7
98,5.61651438e-02,4.78611141e-02,1.07496352e-02,1.51109285e-02,9.082615e-04,3.7
99,5.54152876e-02,4.71092016e-02,1.07241514e-02,1.49618259e-02,9.064407e-04,3.7
100,5.46779856e-02,4.63687442e-02,1.05506165e-02,1.49430450e-02,9.046040e-04,3.8
101,5.40765636e-02,4.59819622e-02,1.06142010e-02,1.47164890e-02,9.027513e-04,3.8
102,5.35414629e-02,4.51194718e-02,1.03762009e-02,1.47542819e-02,9.008827e-04,3.9
103,5.29565997e-02,4.46734130e-02,1.04495829e-02,1.45129701e-02,8.989983e-04,3.9
104,5.23174927e-02,4.38847542e-02,1.02429160e-02,1.45201163e-02,8.970982e-04,3.9
105,5.17196693e-02,4.34685498e-02,1.02906655e-02,1.43328837e-02,8.951824e-04,4.0
106,5.12300804e-02,4.29927781e-02,1.00966696e-02,1.43366628e-02,8.932511e-04,4.0
107,5.08661978e-02,4.29116040e-02,1.02509005e-02,1.41388685e-02,8.913042e-04,4.1
108,5.06832078e-02,4.28615175e-02,9.90544258e-03,1.43661322e-02,8.893419e-04,4.1
109,5.09321131e-02,4.43574041e-02,1.05817389e-02,1.40461879e-02,8.873643e-04,4.1
110,5.19291759e-02,4.51353826e-02,9.91818258e-03,1.47678168e-02,8.853714e-04,4.2
111,5.35024144e-02,4.47918512e-02,1.06884124e-02,1.39550619e-02,8.833633e-04,4.2
112,5.23253195e-02,4.05696891e-02,9.65554702e-03,1.39119975e-02,8.813400e-04,4.3
113,4.87053394e-02,3.94995734e-02,9.57415302e-03,1.38310834e-02,8.793018e-04,4.3
114,4.77681644e-02,4.15847600e-02,1.02926824e-02,1.35911896e-02,8.772486e-04,4.3
115,4.93084565e-02,3.98346893e-02,9.47830079e-03,1.38157543e-02,8.751805e-04,4.4
116,4.81315590e-02,3.81249748e-02,9.46168974e-03,1.34446103e-02,8.730976e-04,4.4
117,4.64439839e-02,3.94510068e-02,9.95028346e-03,1.32895613e-02,8.710000e-04,4.5
118,4.73374575e-02,3.80040891e-02,9.27879385e-03,1.35906936e-02,8.688878e-04,4.5
119,4.65075001e-02,3.66582647e-02,9.31293993e-03,1.31521916e-02,8.667610e-04,4.5
120,4.50388566e-02,3.77883799e-02,9.68685894e-03,1.30251983e-02,8.646198e-04,4.6
121,4.58674468e-02,3.65875252e-02,9.09643657e-03,1.33095497e-02,8.624642e-04,4.6
122,4.52213921e-02,3.55764814e-02,9.12541163e-03,1.29117409e-02,8.602944e-04,4.6
123,4.39843163e-02,3.62657420e-02,9.46657681e-03,1.27626603e-02,8.581103e-04,4.7
124,4.44550216e-02,3.51593532e-02,8.93112052e-03,1.29791663e-02,8.559121e-04,4.7
125,4.38173339e-02,3.45727131e-02,8.95194945e-03,1.27116169e-02,8.536998e-04,4.8
126,4.30878066e-02,3.50792706e-02,9.28413630e-03,1.25446849e-02,8.514737e-04,4.8
127,4.33960184e-02,3.40138860e-02,8.79014893e-03,1.26656465e-02,8.492336e-04,4.8
128,4.26327400e-02,3.34765539e-02,8.75458841e-03,1.25197264e-02,8.469798e-04,4.9
