evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,5.6070842218604506e-05,0.0010237339060418006,0.0013738357948243367,4.864817666221925e-05,0.5971692752369652,0.4682473171861886
2,5.5138003665732526e-05,0.000977892514233058,0.001373346833467477,4.866439341983144e-05,0.5964348531021375,0.4689283482433637
3,9.955089331191541e-05,0.006171140420026659,0.0013761092560313922,4.8879584978274666e-05,0.5792455679902084,0.48442717063617224
4,5.374901202520816e-05,0.0002509598611217557,0.0013738955880656018,4.8707100019823505e-05,0.5930174552792585,0.472009665561535
5,5.364768100696783e-05,5.513721003638084e-05,0.0013744909785020096,4.869266766413857e-05,0.5936660629662214,0.4715083447506163
6,5.3635384058560315e-05,5.260484273588225e-05,0.001375223450737623,4.868549180300753e-05,0.5936881151830298,0.4715705094946562
7,5.3593252272085925e-05,5.7445529035079595e-05,0.0013781572451372391,4.865679893202504e-05,0.5937763240502634,0.4718191684708156
8,5.348022237230122e-05,5.948101978362636e-05,0.0013917040729125507,4.85197516107833e-05,0.5936235162267047,0.4731573090794683
9,5.338721556987942e-05,6.587731832021072e-05,0.001401101198174011,4.8316698208251614e-05,0.5919039696682239,0.4725298234513166
10,5.2981999729241326e-05,5.303473199550304e-05,0.0014610339878950794,4.6906261604731755e-05,0.5779112769432403,0.4655823041583312
11,5.292629629529978e-05,2.545875225475247e-05,0.0014741143964374214,4.688624299479186e-05,0.57330553465302,0.46177600020537796
12,5.292129838395356e-05,6.435111976053712e-06,0.0014750632865736812,4.7006772040420706e-05,0.5725704265027667,0.46093774933039533
