eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.071852794599248274e-03,-2.078757890163741850e-03,2.000000000000000000e+01,1.000000000000000000e+00,3.396161686480964753e-02,5.649968830782044427e-05,9.660461355954212959e-01,4.727015602432200758e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.092841080615245680e-02,-1.111832144883093121e-02,2.300000000000000000e+01,1.000000000000000000e+00,1.803933760189656565e-01,1.553909285896921825e-03,8.196154070096012267e-01,8.552662377440918284e-01
-2.790689981608464709e+00,6.232999999999999652e-01,-2.394270379196210621e-02,-2.505929404085879830e-02,2.300000000000000000e+01,1.000000000000000000e+00,4.009499330105264492e-01,9.136296585758263422e-03,5.990416287000902562e-01,1.110664956401911541e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-3.421770717696558800e-02,-3.719060539706976060e-02,2.100000000000000000e+01,1.000000000000000000e+00,5.842855273092034674e-01,2.432519886769807932e-02,4.156518989317669055e-01,1.201875446878895248e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-4.048939707666795312e-02,-4.583520753626599969e-02,1.800000000000000000e+01,1.000000000000000000e+00,7.063353734025408226e-01,4.374112159621348916e-02,2.935524873677309299e-01,1.174513207433440121e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-4.389238120938765420e-02,-5.150514294224246836e-02,1.500000000000000000e+01,1.000000000000000000e+00,7.805728870170078881e-01,6.229003799450850976e-02,2.193032150446684314e-01,1.066919606982599023e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-4.573092074708093313e-02,-5.503756791466875298e-02,1.400000000000000000e+01,1.000000000000000000e+00,8.245198270556847175e-01,7.614994741903430286e-02,1.753653032649266641e-01,9.157681082359097058e-01
-7.441839950955905891e+00,5.038000000000000256e-01,-4.685517043074109711e-02,-5.715549872273593957e-02,1.200000000000000000e+01,1.000000000000000000e+00,8.510483791241357787e-01,8.428056245281494163e-02,1.488757849052583793e-01,7.540777297218504982e-01
-8.372069944825394572e+00,4.798999999999999932e-01,-4.768239495243955378e-02,-5.839354341813132038e-02,1.000000000000000000e+01,1.000000000000000000e+00,8.679470687871080337e-01,8.764202378925096959e-02,1.320275069971897919e-01,6.039144194625239992e-01
-9.302299938694883252e+00,4.559999999999999609e-01,-4.838289201627223035e-02,-5.911042344347428035e-02,1.000000000000000000e+01,1.000000000000000000e+00,8.795444989754540588e-01,8.777607439148306379e-02,1.204489349300820744e-01,4.753721859555261053e-01
-1.023252993256437016e+01,4.320999999999999841e-01,-4.902143319569526869e-02,-5.953007783960818228e-02,1.100000000000000000e+01,1.000000000000000000e+00,8.882029917695460908e-01,8.598507310626839206e-02,1.117948536104092783e-01,3.703708778975470794e-01
-1.116275992643385884e+01,4.082000000000000073e-01,-4.962203967237352464e-02,-5.978518870169687027e-02,1.200000000000000000e+01,1.000000000000000000e+00,8.952047432251724057e-01,8.315811809113357600e-02,1.047967841941345457e-01,2.868774890820771084e-01
-1.209298992030334752e+01,3.842999999999999750e-01,-5.019344511528157221e-02,-5.995113986836618503e-02,1.200000000000000000e+01,1.000000000000000000e+00,9.012380295459373469e-01,7.984056223450552991e-02,9.876713160325552299e-02,2.214930980697377427e-01
-1.302321991417283442e+01,3.603999999999999981e-01,-5.073896975202578374e-02,-6.006905546591668338e-02,1.200000000000000000e+01,1.000000000000000000e+00,9.066665085725370554e-01,7.634172906030828321e-02,9.333978022802713603e-02,1.707196963036969606e-01
-1.395344990804232310e+01,3.365000000000000213e-01,-5.126042080379215188e-02,-6.016055947796817432e-02,1.200000000000000000e+01,1.000000000000000000e+00,9.116819018757795767e-01,7.282376562216673344e-02,8.832444891570236101e-02,1.314692424785567915e-01
-1.488367990191181178e+01,3.125999999999999890e-01,-5.175916580537337497e-02,-6.023678328966898532e-02,1.100000000000000000e+01,1.000000000000000000e+00,9.163864795943265085e-01,6.936656284941347672e-02,8.362284867725350290e-02,1.011975962787606542e-01
-1.581390989578130046e+01,2.887000000000000122e-01,-5.223556220134797229e-02,-6.030348094513506702e-02,1.100000000000000000e+01,1.000000000000000000e+00,9.208302478726415607e-01,6.601427743603460740e-02,7.917850432173513531e-02,7.788067220494877818e-02
-1.674413988965078914e+01,2.647999999999999798e-01,-5.269061153003313375e-02,-6.036371982719227619e-02,1.100000000000000000e+01,1.000000000000000000e+00,9.250464999177753223e-01,6.278381277891184609e-02,7.496168438427139313e-02,5.993155300182811257e-02
-1.767436988352027782e+01,2.409000000000000030e-01,-5.312501900429762031e-02,-6.041922233229008593e-02,1.100000000000000000e+01,1.000000000000000000e+00,9.290550992013525411e-01,5.968349179765215784e-02,7.095255329962088520e-02,4.611897816384399884e-02
-1.860459987738976650e+01,2.169999999999999707e-01,-5.353947206328838609e-02,-6.047101842604861444e-02,1.100000000000000000e+01,1.000000000000000000e+00,9.328700980754562888e-01,5.671611715281121846e-02,6.713706710246021558e-02,3.549127601683983030e-02
-1.953482987125925163e+01,1.931000000000000494e-01,-5.393465120046792016e-02,-6.051976621677124246e-02,1.100000000000000000e+01,1.000000000000000000e+00,9.365024494055222970e-01,5.388150568189660483e-02,6.350427275644282554e-02,2.731456048500401426e-02
-2.046505986512874031e+01,1.692000000000000171e-01,-5.431154801070874061e-02,-6.056591445746569574e-02,1.000000000000000000e+01,1.000000000000000000e+00,9.399639385760582000e-01,5.117521568010160310e-02,6.004710753408736695e-02,2.102323813293765359e-02
-2.139528985899822899e+01,1.452999999999999847e-01,-5.467018994314530589e-02,-6.060979035164891504e-02,1.000000000000000000e+01,1.000000000000000000e+00,9.432574674678669835e-01,4.859969983313068564e-02,5.675299510515349061e-02,1.618301592920777521e-02
