eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.390167908086641372e-03,-2.392082177185674355e-03,1.600000000000000000e+01,1.000000000000000000e+00,8.478143126710142863e-03,3.393684377699952222e-06,9.915326795924435110e-01,4.983948826524093323e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-2.068476384175524374e-02,-2.081379939511566329e-02,2.200000000000000000e+01,1.000000000000000000e+00,7.357012962549594470e-02,2.287588207051185238e-04,9.264368399325658698e-01,1.100820693927807126e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-7.316603318287837054e-02,-7.497759500650141851e-02,2.400000000000000000e+01,1.000000000000000000e+00,2.626342957194330308e-01,3.211601265032081477e-03,7.373732284593483843e-01,1.738027537878394480e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-1.309343522714149499e-01,-1.383165292310294392e-01,2.300000000000000000e+01,1.000000000000000000e+00,4.773375439734264258e-01,1.308738600749060656e-02,5.226472742296258689e-01,2.078977016049363691e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.716875948687269227e-01,-1.882970571709066676e-01,2.000000000000000000e+01,1.000000000000000000e+00,6.381936011272342224e-01,2.944584581413794630e-02,3.617564367557750127e-01,2.158694280143182098e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-1.954240077640309603e-01,-2.227081127211748834e-01,1.700000000000000000e+01,1.000000000000000000e+00,7.412795023551185247e-01,4.837023216816478677e-02,2.586517612304770064e-01,2.055407143883227761e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-2.081496341682577689e-01,-2.449399804965012861e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.032533919929943922e-01,6.522323514879964368e-02,1.966873089794042573e-01,1.832742171436236411e+00
-7.441839950955905891e+00,5.038000000000000256e-01,-2.152010476875206857e-01,-2.587227805461030927e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.401890271897520801e-01,7.715687672500594341e-02,1.597531669380604369e-01,1.553470236099722568e+00
-8.372069944825394572e+00,4.798999999999999932e-01,-2.197428061360542084e-01,-2.670575654436326274e-01,1.200000000000000000e+01,1.000000000000000000e+00,8.630170214432131282e-01,8.388128898797408972e-02,1.369505089791517027e-01,1.270109842757529695e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-2.232435810653493058e-01,-2.720882062852036376e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.781418189107541572e-01,8.659348971726973931e-02,1.218574631442419370e-01,1.014511610966283284e+00
