eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-1.846698564554634714e-05,-1.846712372895385171e-05,6.000000000000000000e+00,1.000000000000000000e+00,6.547810339298656762e-05,2.447991785067834220e-10,9.999393073226695572e-01,5.070688113161996302e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.665570297786218271e-04,-1.665707602614378965e-04,9.000000000000000000e+00,1.000000000000000000e+00,5.905808004776161042e-04,2.434188853318321688e-08,9.994210805516212659e-01,1.286009230908120582e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-1.399318101275091267e-03,-1.400521465288658571e-03,1.500000000000000000e+01,1.000000000000000000e+00,4.963655215409312760e-03,2.133366544751994959e-06,9.950457363334924699e-01,3.243615604238673455e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-1.021236925011240193e-02,-1.029269029884873066e-02,2.000000000000000000e+01,1.000000000000000000e+00,3.635209923738393772e-02,1.423960134103446494e-04,9.636717577989830641e-01,7.754243720245761473e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-4.321637635525184956e-02,-4.523806911114659768e-02,2.300000000000000000e+01,1.000000000000000000e+00,1.568151885589228745e-01,3.584128859236087022e-03,8.432788825604177196e-01,1.497916328494030047e+01
-5.581379963216929418e+00,5.515999999999999792e-01,-8.878861148375412349e-02,-1.026099196609537856e-01,2.100000000000000000e+01,1.000000000000000000e+00,3.393181268968540332e-01,2.450290696539252078e-02,6.607533618286884902e-01,2.168720159423757821e+01
-6.511609957086417211e+00,5.276999999999999469e-01,-1.172585986556482357e-01,-1.580572094864572397e-01,1.800000000000000000e+01,1.000000000000000000e+00,4.880896617395795722e-01,7.232922909234452968e-02,5.117810733908899623e-01,2.574898853140719623e+01
-7.441839950955905891e+00,5.038000000000000256e-01,-1.253517899865074781e-01,-2.008516746463631653e-01,1.800000000000000000e+01,1.000000000000000000e+00,5.783051099948333107e-01,1.338488821752857050e-01,4.213603449473892204e-01,2.688731765712744348e+01
-8.372069944825394572e+00,4.798999999999999932e-01,-1.223741878664507815e-01,-2.302871973078184087e-01,1.800000000000000000e+01,1.000000000000000000e+00,6.252106530311356547e-01,1.913120232033704848e-01,3.743763808420595418e-01,2.579325313363708005e+01
-9.302299938694883252e+00,4.559999999999999609e-01,-1.152609466386192855e-01,-2.492062602564285856e-01,1.700000000000000000e+01,1.000000000000000000e+00,6.461404338858492968e-01,2.374630184023927837e-01,3.534831162425462470e-01,2.345473584313630155e+01
-1.023252993256437016e+01,4.320999999999999841e-01,-1.070291921915096783e-01,-2.609255706415776754e-01,1.600000000000000000e+01,1.000000000000000000e+00,6.523232971568785343e-01,2.728329760922008074e-01,3.473897341893718571e-01,2.065816946194362913e+01
-1.116275992643385884e+01,4.082000000000000073e-01,-9.870519308144497239e-02,-2.680942655194956670e-01,1.500000000000000000e+01,1.000000000000000000e+00,6.502751327028282180e-01,3.002989752989235206e-01,3.495326651710710109e-01,1.786975992666225466e+01
-1.209298992030334752e+01,3.842999999999999750e-01,-9.058512966005811962e-02,-2.725267230150448805e-01,1.400000000000000000e+01,1.000000000000000000e+00,6.437376136946862948e-01,3.225525310597462392e-01,3.561472732758943494e-01,1.531016787591764050e+01
-1.302321991417283442e+01,3.603999999999999981e-01,-8.274529226513849256e-02,-2.753684655847450369e-01,1.300000000000000000e+01,1.000000000000000000e+00,6.348768133322002516e-01,3.414892161231936063e-01,3.650633852517520817e-01,1.305616300665585072e+01
-1.395344990804232310e+01,3.365000000000000213e-01,-7.521261250536957765e-02,-2.773050840934584982e-01,1.300000000000000000e+01,1.000000000000000000e+00,6.249559168114606766e-01,3.582767250568947848e-01,3.750155452804705414e-01,1.111326167487156802e+01
-1.488367990191181178e+01,3.125999999999999890e-01,-6.800597650461484567e-02,-2.787296602014037172e-01,1.200000000000000000e+01,1.000000000000000000e+00,6.147052752798900510e-01,3.735784450233830545e-01,3.852914626724887048e-01,9.456186530357896913e+00
-1.581390989578130046e+01,2.887000000000000122e-01,-6.115352899068850906e-02,-2.798599778529094473e-01,1.200000000000000000e+01,1.000000000000000000e+00,6.045608798387926974e-01,3.877305751739741901e-01,3.954468409599254941e-01,8.050430678965799558e+00
-1.674413988965078914e+01,2.647999999999999798e-01,-5.467883177140741430e-02,-2.808144856469113604e-01,1.100000000000000000e+01,1.000000000000000000e+00,5.947744915906749696e-01,4.009013341884933856e-01,4.052471850645934515e-01,6.860288854066838304e+00
-1.767436988352027782e+01,2.409000000000000030e-01,-4.861102721881616767e-02,-2.816577532070359546e-01,1.100000000000000000e+01,1.000000000000000000e+00,5.855122464961879380e-01,4.131535287592179029e-01,4.145127623715928467e-01,5.853530162965290273e+00
-1.860459987738976650e+01,2.169999999999999707e-01,-4.296571934953041100e-02,-2.824258766808211418e-01,1.000000000000000000e+01,1.000000000000000000e+00,5.768658004460841537e-01,4.245234880650554099e-01,4.231701846978478954e-01,5.001456146206519904e+00
-1.953482987125925163e+01,1.931000000000000494e-01,-3.776253026841244059e-02,-2.831399045705226825e-01,1.000000000000000000e+01,1.000000000000000000e+00,5.689072557399191821e-01,4.350137408740633038e-01,4.311290764149694477e-01,4.279906652772234921e+00
-2.046505986512874031e+01,1.692000000000000171e-01,-3.300482088709712214e-02,-2.838128012831076519e-01,1.000000000000000000e+01,1.000000000000000000e+00,5.616655544834440184e-01,4.446413126045051234e-01,4.383698399476984031e-01,3.668072767262989586e+00
-2.139528985899822899e+01,1.452999999999999847e-01,-2.868828493729329299e-02,-2.844530183438656601e-01,9.000000000000000000e+00,1.000000000000000000e+00,5.551480455357739041e-01,4.534288207268248327e-01,4.448972950380889468e-01,3.148450628673585161e+00
-2.232551985286771767e+01,1.214000000000000634e-01,-2.481087227896539016e-02,-2.850663620534265030e-01,9.000000000000000000e+00,1.000000000000000000e+00,5.493613879520725662e-01,4.613901934186040443e-01,4.506822058590864710e-01,2.706572126581717974e+00
-2.325574984673720635e+01,9.750000000000003109e-02,-2.134892383923871900e-02,-2.856570374597867668e-01,8.000000000000000000e+00,1.000000000000000000e+00,5.442710929447680535e-01,4.685748291848633174e-01,4.557827685591364641e-01,2.330010979897433998e+00
-2.418597984060669503e+01,7.359999999999999876e-02,-1.829082866137318394e-02,-2.862281747226488315e-01,8.000000000000000000e+00,1.000000000000000000e+00,5.398621254550840520e-01,4.750088616013917742e-01,4.601894684811824177e-01,2.008657677879517323e+00
-2.511620983447618372e+01,4.969999999999996643e-02,-1.560536332469168903e-02,-2.867822215494253424e-01,8.000000000000000000e+00,1.000000000000000000e+00,5.360834708745666477e-01,4.807519840422482260e-01,4.639645831537557163e-01,1.733844371307756704e+00
-2.604643982834566884e+01,2.580000000000004512e-02,-1.325806423544857032e-02,-2.873211481433370351e-01,7.000000000000000000e+00,1.000000000000000000e+00,5.328775237642217055e-01,4.858687876391851734e-01,4.671802837581636170e-01,1.498342621618480308e+00
-2.697666982221515752e+01,1.900000000000123812e-03,-1.123001730665652322e-02,-2.878464661895085985e-01,7.000000000000000000e+00,1.000000000000000000e+00,5.302134325267655601e-01,4.903954839278501510e-01,4.698420083622069088e-01,1.296260687859604133e+00
