eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.492078695933140110e-04,-2.492280055622504687e-04,1.000000000000000000e+01,1.000000000000000000e+00,8.836448562299045219e-04,3.569776226556420154e-08,9.991293055110649357e-01,5.062206972379617032e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-2.910092041185368458e-03,-2.912468613740451778e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.032244272386296374e-02,4.213272395574180646e-06,9.896859245963683938e-01,1.260547870782049440e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-2.303093108873894776e-02,-2.317367004810608547e-02,2.200000000000000000e+01,1.000000000000000000e+00,8.191316107811207059e-02,2.530527065071668728e-04,9.181014935177640446e-01,2.749282661503479552e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-7.718266018577267518e-02,-7.900738064079294853e-02,2.400000000000000000e+01,1.000000000000000000e+00,2.768992623728334102e-01,3.234929355020679190e-03,7.231223155329165042e-01,4.255995894412390790e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.347296547825242441e-01,-1.418404821002491323e-01,2.300000000000000000e+01,1.000000000000000000e+00,4.903133803661061663e-01,1.260632770641876080e-02,5.096517935851900827e-01,5.042356173777879924e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-1.750119482738561605e-01,-1.907474572197760954e-01,2.000000000000000000e+01,1.000000000000000000e+00,6.484312895440825786e-01,2.789647020468199665e-02,3.514569350726978181e-01,5.218075567529229630e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-1.985230102456286005e-01,-2.242498834547904385e-01,1.700000000000000000e+01,1.000000000000000000e+00,7.495068302521580295e-01,4.560951631152061064e-02,2.503434111222377911e-01,4.965696462839888525e+00
-7.441839950955905891e+00,5.038000000000000256e-01,-2.111691361168911152e-01,-2.458626320506250573e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.102421820035304867e-01,6.150586415335568963e-02,1.896213153368276616e-01,4.430787945144663453e+00
-8.372069944825394572e+00,4.798999999999999932e-01,-2.181665968354820073e-01,-2.592676456508242189e-01,1.300000000000000000e+01,1.000000000000000000e+00,8.464124144943895311e-01,7.286540191352820772e-02,1.534760520894444813e-01,3.759300001613912201e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-2.226369335028456908e-01,-2.673872011292956485e-01,1.200000000000000000e+01,1.000000000000000000e+00,8.687322232996531612e-01,7.933486687867813414e-02,1.311928961089177115e-01,3.076414768186181092e+00
-1.023252993256437016e+01,4.320999999999999841e-01,-2.260503742786542369e-01,-2.723014453416238712e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.834958395858472091e-01,8.199554461677006911e-02,1.164762189474069787e-01,2.459158042138767986e+00
-1.116275992643385884e+01,4.082000000000000073e-01,-2.289942100567747274e-01,-2.753677270506673658e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.941507897360793100e-01,8.221262112032755309e-02,1.058383104570466832e-01,1.938496856452845529e+00
