eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.225012098798447909e-06,-2.225013685320462491e-06,5.000000000000000000e+00,1.000000000000000000e+00,7.889164063481282822e-06,2.812642683424364351e-12,9.999929721489104750e-01,5.071298110159242478e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-2.422705467530259204e-05,-2.422722279878219745e-05,4.000000000000000000e+00,1.000000000000000000e+00,8.590146734311276608e-05,2.980552872973885193e-10,9.999270050395017151e-01,1.287341704945900611e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-2.497703759890397774e-04,-2.497917946249348839e-04,1.000000000000000000e+01,1.000000000000000000e+00,8.856415928976025956e-04,3.797171989325397735e-08,9.991264863907395322e-01,3.270883931621763718e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-2.492467712864844791e-03,-2.494665664217437205e-03,1.600000000000000000e+01,1.000000000000000000e+00,8.841367517167235401e-03,3.896606371592871838e-06,9.911735588111930673e-01,8.217543787904686425e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.903903104463292029e-02,-1.917638900484407508e-02,2.100000000000000000e+01,1.000000000000000000e+00,6.774965655280344723e-02,2.435130797215094751e-04,9.323238829085006563e-01,1.857755630518257561e+01
-5.581379963216929418e+00,5.515999999999999792e-01,-6.719850677851384180e-02,-6.933187220217930380e-02,2.300000000000000000e+01,1.000000000000000000e+00,2.420459142668156260e-01,3.782106138512528193e-03,7.581314533981495796e-01,3.090995151282356801e+01
-6.511609957086417211e+00,5.276999999999999469e-01,-1.212350016506015538e-01,-1.309821795560184576e-01,2.200000000000000000e+01,1.000000000000000000e+00,4.471395939477199044e-01,1.728014384235733100e-02,5.528526437232174073e-01,3.909205925261738912e+01
-7.441839950955905891e+00,5.038000000000000256e-01,-1.579587149148812542e-01,-1.817095851195695555e-01,1.900000000000000000e+01,1.000000000000000000e+00,6.021760493385857060e-01,4.210638786946601514e-02,3.974944586420005033e-01,4.246483313313226660e+01
-8.372069944825394572e+00,4.798999999999999932e-01,-1.768842860661010985e-01,-2.177793179004827440e-01,1.600000000000000000e+01,1.000000000000000000e+00,6.996736811478178053e-01,7.250016767860276157e-02,2.998090946199243323e-01,4.177786564027991290e+01
-9.302299938694883252e+00,4.559999999999999609e-01,-1.848242441490321186e-01,-2.415935643733470861e-01,1.600000000000000000e+01,1.000000000000000000e+00,7.559686649521903945e-01,1.006426710200740426e-01,2.434852863768847409e-01,3.816446255061368475e+01
-1.023252993256437016e+01,4.320999999999999841e-01,-1.876494654829163611e-01,-2.565506827038616655e-01,1.600000000000000000e+01,1.000000000000000000e+00,7.874938294907076752e-01,1.221505297271497092e-01,2.120467172490679841e-01,3.304618120253277169e+01
-1.116275992643385884e+01,4.082000000000000073e-01,-1.885072234624664833e-01,-2.656694346775527737e-01,1.500000000000000000e+01,1.000000000000000000e+00,8.051805413481890605e-01,1.367959138460004276e-01,1.944849792889983553e-01,2.762389786860454777e+01
