# binned target, 30 bins on v_phys in [0.1317, 0.5591] V_RHE; mean of cycles 2+3; sigma=max(|c2-c3|/sqrt2, floor, 0.02*|j|); conservative single-obs scale
v_phys,j_disk,sigma_j_disk,j_ring,sigma_j_ring,pc_equiv,sigma_pc_equiv,ne_canon,sigma_ne
0.13169659,-3.5002938,0.078721714,0.28979448,0.017051219,-0.7244862,0.042628048,3.3140602,0.033438881
0.14643302,-3.4308251,0.077018852,0.2966711,0.005933422,-0.74167775,0.014833555,3.2889853,0.011692585
0.16116944,-3.3361152,0.074866766,0.29482417,0.0076409374,-0.73706041,0.019102344,3.2761811,0.015364605
0.17590586,-3.2443624,0.072767461,0.32075313,0.0064150626,-0.80188283,0.016037657,3.207282,0.012712351
0.19064228,-3.1640196,0.070871943,0.3282622,0.011538801,-0.82065549,0.028847003,3.1761883,0.022993973
0.2053787,-3.0880255,0.069054724,0.32624912,0.015558392,-0.81562281,0.038895979,3.1642456,0.031528565
0.22011513,-3.0073965,0.067155282,0.33737659,0.010515678,-0.84344149,0.026289195,3.1238879,0.021326396
0.23485155,-2.9555599,0.065773478,0.33396134,0.0066792268,-0.83490335,0.016698067,3.1189432,0.01373983
0.24958797,-2.9012639,0.064350617,0.33304106,0.0066608212,-0.83260265,0.016652053,3.1080531,0.013861091
0.26432439,-2.8631889,0.063224645,0.3361619,0.006723238,-0.84040475,0.016808095,3.0923359,0.014034011
0.27906081,-2.8451069,0.062468466,0.32846066,0.016552215,-0.82115165,0.041380538,3.1040985,0.035035517
0.29379724,-2.8513757,0.062168544,0.33227072,0.012371,-0.83067679,0.030927501,3.0975937,0.026018324
0.30853366,-2.8960923,0.062595204,0.35542341,0.0071084681,-0.88855852,0.01777117,3.0608819,0.014372648
0.32327008,-2.9333634,0.062909386,0.35633189,0.017836854,-0.89082971,0.044592135,3.0682168,0.035777047
0.3380065,-2.89181,0.061768807,0.38003133,0.0076006267,-0.95007834,0.019001567,3.0108215,0.014891199
0.35274292,-2.6824075,0.057490822,0.35710232,0.0097669441,-0.89275581,0.02441736,3.001158,0.020497066
0.36747935,-2.3259544,0.05049655,0.30575262,0.0088288804,-0.76438154,0.022072201,3.0106169,0.021502821
0.38221577,-1.8794521,0.041948914,0.26284349,0.010375658,-0.65710872,0.025939144,2.9637801,0.030307934
0.39695219,-1.4277462,0.033543294,0.20342736,0.013435729,-0.50856841,0.033589322,2.9494095,0.051163518
0.41168861,-1.029248,0.026430988,0.16326795,0.003265359,-0.40816987,0.0081633975,2.8641581,0.016266154
0.42642503,-0.71498924,0.021131072,0.10756504,0.0029968197,-0.26891259,0.0074920492,2.9067503,0.02213383
0.44116146,-0.49502443,0.017587892,0.060838144,0.00451633,-0.15209536,0.011290825,3.0598627,0.053387911
0.45589788,-0.34374935,0.019629783,0.037915127,0.0016803683,-0.094787818,0.0042009206,3.1354182,0.030035408
0.4706343,-0.22144407,0.015391276,0.021490912,0.0017444645,-0.053727279,0.0043611613,3.2189989,0.051017571
0.48537072,-0.13300004,0.014031642,0.011825481,0.00083952931,-0.029563703,0.0020988233,3.2725634,0.042251318
0.50010714,-0.081737124,0.011323535,0.0059314839,0.00020155506,-0.01482871,0.00050388766,3.3857575,0.017667133
0.51484357,-0.052955833,0.010310107,0.0030800396,0.00022151307,-0.0077000991,0.00055378267,3.4922113,0.031883544
0.52957999,-0.03699761,0.0093566394,0.0015393721,0.00020155506,-0.0038484302,0.00050388766,nan,nan
0.54431641,-0.026714839,0.0084546707,0.0006900993,0.00020155506,-0.0017252483,0.00050388766,nan,nan
0.55905283,-0.0206228,0.0075835562,0.00028592819,0.00020155506,-0.00071482048,0.00050388766,nan,nan
