# source: Mangan2025_Catalysis.pdf p.15 ("Current density of H2O2 production"; pH 4, Cs+ ions)
# digitization_date: 2026-05-07
# digitizer: Claude (Opus 4.7) visual extraction from writeups/WeekOfFeb25/assets/mangan_slide15.png (2933x1650 PNG)
# axes: V_RHE (V vs RHE) on x; Peroxide Current Density (mA/cm^2) on y; cathodic = negative
# uncertainty (eyeballed): dV ~ +/- 0.01 V; dj ~ +/- 10% (relative) or +/- 0.02 mA/cm^2 (absolute floor near zero)
# data_range_with_signal: V_RHE in [-0.50, +0.50] V; data essentially flat at zero past +0.50 V (axis extends to +1.25 V)
# eyeballed_features: left_plateau ~ -0.17 mA/cm^2 at V_RHE ~ -0.32 V;
#                     peak ~ -0.40 mA/cm^2 at V_RHE ~ +0.10 V;
#                     shoulder visible in V_RHE in [+0.18, +0.25] V;
#                     sharp drop to zero around V_RHE ~ +0.42-0.45 V
# n_points: 37
# columns: V_RHE_V, j_h2o2_mA_cm2
V_RHE_V,j_h2o2_mA_cm2
-0.50,-0.180
-0.45,-0.180
-0.40,-0.182
-0.36,-0.180
-0.32,-0.170
-0.30,-0.183
-0.27,-0.210
-0.25,-0.240
-0.22,-0.270
-0.20,-0.290
-0.18,-0.310
-0.15,-0.320
-0.12,-0.320
-0.10,-0.318
-0.08,-0.300
-0.05,-0.310
0.00,-0.325
0.03,-0.335
0.05,-0.350
0.07,-0.375
0.10,-0.400
0.12,-0.395
0.13,-0.370
0.15,-0.335
0.17,-0.300
0.20,-0.260
0.22,-0.220
0.25,-0.180
0.27,-0.150
0.30,-0.110
0.32,-0.080
0.35,-0.050
0.38,-0.030
0.40,-0.020
0.42,-0.010
0.45,0.000
0.50,0.000
