# Slide-15 'Current density of H2O2 production' (Cs2SO4, pH 4, RRDE)
# v2 precision extraction from ORIGINAL VECTOR SVG (not pixel eyeball)
# source_svg: data/EChem Reactor Modeling-Seitz-Mangan/Yash-Trends/Results/experimental only.svg
# source_svg_sha256: 001841c9e436b748aab7b2f59d4b9e09f6186a98936ebe88202c603ea34f2b6e
# data_path: id=path136, stroke #bf00bf, absolute coords, no transforms
# extraction_date: 2026-06-09
# calibration: x ticks -0.50..1.25 step 0.25; y ticks 0.0..-0.6 step -0.1
# calibration_max_residual: x 2.23e-09 V, y 1.05e-09 mA/cm2
# provenance (Yash plotting.ipynb): j_H2O2 = J_ring_LSV_bl*0.11/(0.224*0.196);
#   j_ring<0.001 zeroed (exact-0 tail is THRESHOLDED, not measured 0);
#   V = iR-corrected disk potential vs RHE; 1 outlier deleted; first 1200
#   sorted points plotted; matplotlib path-simplification retains 754.
# sign convention: cathodic negative (as plotted)
# binned fit target: <=40 bins, per-bin median; sigma = max(1.4826*MAD, 0.005) [digitization/noise scatter, NOT experimental replicate uncertainty — WLS chi2 is a relative metric only]
# thresholded_zero=1: bin is in the j_ring<0.001 zeroed tail; treat as 'onset constraint', not an exact measured zero
V_RHE_V,j_h2o2_mA_cm2,sigma_mA_cm2,n_vertices,thresholded_zero
-0.31236,-0.16584,0.00559,27,0
-0.28253,-0.16663,0.00500,26,0
-0.25591,-0.17161,0.00500,23,0
-0.22630,-0.18680,0.00721,29,0
-0.19541,-0.21521,0.00811,25,0
-0.16758,-0.24162,0.00992,23,0
-0.13917,-0.26501,0.00850,27,0
-0.10844,-0.28831,0.00706,29,0
-0.07856,-0.31079,0.00697,26,0
-0.05070,-0.32315,0.00566,27,0
-0.02223,-0.33694,0.00834,28,0
0.00706,-0.34674,0.00500,28,0
0.03573,-0.35022,0.00729,28,0
0.06685,-0.35392,0.00693,28,0
0.09629,-0.35351,0.01099,30,0
0.12386,-0.35562,0.00734,25,0
0.15513,-0.34696,0.00672,26,0
0.18269,-0.32947,0.01167,29,0
0.21270,-0.31710,0.00855,30,0
0.24195,-0.31960,0.00829,24,0
0.27016,-0.32689,0.00835,27,0
0.29773,-0.24769,0.05201,26,0
0.33004,-0.10380,0.02319,31,0
0.35758,-0.05509,0.01404,32,0
0.38962,-0.02804,0.00598,27,0
0.41866,-0.01407,0.00500,27,0
0.44638,-0.00569,0.00500,25,0
0.46536,-0.00000,0.00500,6,1
0.50157,-0.00000,0.00500,6,1
0.57783,-0.00000,0.00500,2,1
0.58952,-0.00000,0.00500,3,0
0.64909,-0.00000,0.00500,2,1
0.69543,-0.00000,0.00500,2,1
