# Slide-15 'Current density of H2O2 production' (Cs2SO4, pH 4, RRDE)
# v2 precision extraction from ORIGINAL VECTOR SVG (not pixel eyeball)
# source_svg: data/EChem Reactor Modeling-Seitz-Mangan/Yash-Trends/Results/experimental only.svg
# source_svg_sha256: 001841c9e436b748aab7b2f59d4b9e09f6186a98936ebe88202c603ea34f2b6e
# data_path: id=path136, stroke #bf00bf, absolute coords, no transforms
# extraction_date: 2026-06-09
# calibration: x ticks -0.50..1.25 step 0.25; y ticks 0.0..-0.6 step -0.1
# calibration_max_residual: x 2.23e-09 V, y 1.05e-09 mA/cm2
# provenance (Yash plotting.ipynb): j_H2O2 = J_ring_LSV_bl*0.11/(0.224*0.196);
#   j_ring<0.001 zeroed (exact-0 tail is THRESHOLDED, not measured 0);
#   V = iR-corrected disk potential vs RHE; 1 outlier deleted; first 1200
#   sorted points plotted; matplotlib path-simplification retains 754.
# sign convention: cathodic negative (as plotted)
V_RHE_V,j_h2o2_mA_cm2
-0.32854,-0.17108
-0.32851,-0.16671
-0.32790,-0.16398
-0.32690,-0.17077
-0.32588,-0.16381
-0.32315,-0.17248
-0.32109,-0.16051
-0.32014,-0.16934
-0.31912,-0.16360
-0.31819,-0.16410
-0.31726,-0.16352
-0.31527,-0.17019
-0.31429,-0.16079
-0.31236,-0.16282
-0.31146,-0.17793
-0.31045,-0.16051
-0.30946,-0.15786
-0.30839,-0.16961
-0.30732,-0.15978
-0.30646,-0.16300
-0.30552,-0.16866
-0.30452,-0.16130
-0.30354,-0.17150
-0.30256,-0.16608
-0.30156,-0.16584
-0.30063,-0.17153
-0.29971,-0.16715
-0.29865,-0.16571
-0.29764,-0.16947
-0.29674,-0.16560
-0.29475,-0.16301
-0.29384,-0.16903
-0.29279,-0.16826
-0.29079,-0.16574
-0.28891,-0.17351
-0.28696,-0.16525
-0.28599,-0.16523
-0.28504,-0.16991
-0.28403,-0.16065
-0.28300,-0.16768
-0.28205,-0.16657
-0.28108,-0.16657
-0.28012,-0.17089
-0.27923,-0.16722
-0.27819,-0.16932
-0.27714,-0.16904
-0.27626,-0.16269
-0.27526,-0.16283
-0.27435,-0.16668
-0.27339,-0.16727
-0.27238,-0.16540
-0.27138,-0.17112
-0.27047,-0.16604
-0.26661,-0.17159
-0.26558,-0.17018
-0.26468,-0.16432
-0.26366,-0.16694
-0.26272,-0.17161
-0.26172,-0.16983
-0.26068,-0.16958
-0.25974,-0.17411
-0.25886,-0.16891
-0.25791,-0.16655
-0.25693,-0.16926
-0.25591,-0.17601
-0.25493,-0.17022
-0.25408,-0.17930
-0.25214,-0.16954
-0.25113,-0.17985
-0.25008,-0.17607
-0.24920,-0.17871
-0.24731,-0.17431
-0.24626,-0.17523
-0.24534,-0.17784
-0.24435,-0.17251
-0.24252,-0.17946
-0.24055,-0.17100
-0.23963,-0.18517
-0.23878,-0.17929
-0.23769,-0.17999
-0.23683,-0.18195
-0.23592,-0.18193
-0.23497,-0.17717
-0.23399,-0.18685
-0.23300,-0.17938
-0.23202,-0.18063
-0.23110,-0.18585
-0.23016,-0.18268
-0.22920,-0.18790
-0.22720,-0.17986
-0.22630,-0.18750
-0.22535,-0.18833
-0.22442,-0.18300
-0.22349,-0.18680
-0.22257,-0.18723
-0.22163,-0.18997
-0.22070,-0.18877
-0.21978,-0.19553
-0.21886,-0.19354
-0.21786,-0.19405
-0.21697,-0.18627
-0.21596,-0.19977
-0.21498,-0.19940
-0.21410,-0.19801
-0.21227,-0.20174
-0.20934,-0.19688
-0.20757,-0.20742
-0.20568,-0.19787
-0.20477,-0.21114
-0.20383,-0.20689
-0.20285,-0.21449
-0.20199,-0.20316
-0.20101,-0.21652
-0.19910,-0.20974
-0.19822,-0.21117
-0.19728,-0.21888
-0.19630,-0.20857
-0.19541,-0.20914
-0.19353,-0.21521
-0.19256,-0.21206
-0.19167,-0.21667
-0.19075,-0.21701
-0.18980,-0.21597
-0.18883,-0.22101
-0.18795,-0.21904
-0.18696,-0.21832
-0.18605,-0.22986
-0.18419,-0.22094
-0.18332,-0.22273
-0.18246,-0.22617
-0.18151,-0.22521
-0.18050,-0.23144
-0.17874,-0.22544
-0.17693,-0.23195
-0.17603,-0.23172
-0.17417,-0.23950
-0.17319,-0.23234
-0.17147,-0.23789
-0.17043,-0.23739
-0.16951,-0.24279
-0.16857,-0.24162
-0.16758,-0.23493
-0.16580,-0.24783
-0.16489,-0.24348
-0.16391,-0.24449
-0.16196,-0.24793
-0.16097,-0.24004
-0.15925,-0.25183
-0.15836,-0.25285
-0.15635,-0.24338
-0.15544,-0.25287
-0.15456,-0.24971
-0.15366,-0.25108
-0.15272,-0.25850
-0.15178,-0.25636
-0.15087,-0.25105
-0.14994,-0.25132
-0.14908,-0.26004
-0.14777,-0.24105
-0.14659,-0.26366
-0.14570,-0.25953
-0.14381,-0.26501
-0.14292,-0.26348
-0.14196,-0.26839
-0.14098,-0.26194
-0.14011,-0.27030
-0.13917,-0.25976
-0.13730,-0.27804
-0.13635,-0.26433
-0.13449,-0.26988
-0.13257,-0.26368
-0.13178,-0.27209
-0.13080,-0.27061
-0.12980,-0.27074
-0.12888,-0.27685
-0.12795,-0.27286
-0.12701,-0.28318
-0.12615,-0.27718
-0.12518,-0.27516
-0.12425,-0.27586
-0.12331,-0.28615
-0.12242,-0.27600
-0.12053,-0.28275
-0.11957,-0.27451
-0.11860,-0.27804
-0.11777,-0.29227
-0.11681,-0.28113
-0.11582,-0.28782
-0.11483,-0.27291
-0.11391,-0.27527
-0.11206,-0.28957
-0.11125,-0.28289
-0.11030,-0.28211
-0.10934,-0.29518
-0.10844,-0.29307
-0.10749,-0.28684
-0.10659,-0.29212
-0.10564,-0.28908
-0.10470,-0.29453
-0.10381,-0.29215
-0.10287,-0.28691
-0.10115,-0.29702
-0.10016,-0.29655
-0.09914,-0.28575
-0.09829,-0.29098
-0.09739,-0.28831
-0.09643,-0.29186
-0.09549,-0.29842
-0.09455,-0.29141
-0.09279,-0.30903
-0.09089,-0.28172
-0.08999,-0.29995
-0.08899,-0.30523
-0.08723,-0.29692
-0.08629,-0.30854
-0.08532,-0.30446
-0.08442,-0.30518
-0.08355,-0.31303
-0.08257,-0.30651
-0.08168,-0.30801
-0.08073,-0.31293
-0.07905,-0.30713
-0.07807,-0.31820
-0.07712,-0.30567
-0.07626,-0.31390
-0.07537,-0.31199
-0.07345,-0.32155
-0.07258,-0.31176
-0.07164,-0.31356
-0.07077,-0.31638
-0.06982,-0.31756
-0.06879,-0.31054
-0.06785,-0.32547
-0.06703,-0.31103
-0.06526,-0.32180
-0.06429,-0.32315
-0.06336,-0.31661
-0.06244,-0.33160
-0.06158,-0.31855
-0.06059,-0.31574
-0.05971,-0.32358
-0.05884,-0.32202
-0.05792,-0.32840
-0.05620,-0.32028
-0.05435,-0.32619
-0.05338,-0.31869
-0.05250,-0.32393
-0.05160,-0.33544
-0.05070,-0.31815
-0.04980,-0.32190
-0.04892,-0.32823
-0.04719,-0.33090
-0.04534,-0.32475
-0.04444,-0.31906
-0.04358,-0.31912
-0.04269,-0.32663
-0.04178,-0.32573
-0.04084,-0.32092
-0.03993,-0.31933
-0.03908,-0.32552
-0.03811,-0.33690
-0.03724,-0.32040
-0.03549,-0.33490
-0.03454,-0.33261
-0.03368,-0.31783
-0.03271,-0.33014
-0.03176,-0.32781
-0.03083,-0.31760
