epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.10270405e+00,9.70317900e-01,2.93148876e-02,6.73258146e-02,9.999901e-04,0.0
2,9.37403202e-01,8.75549018e-01,2.81494131e-02,6.48929290e-02,9.999606e-04,0.1
3,8.48672152e-01,8.04430366e-01,2.71985190e-02,6.27147870e-02,9.999113e-04,0.1
4,7.80195951e-01,7.48013079e-01,2.64336417e-02,6.05775156e-02,9.998423e-04,0.2
5,7.24555314e-01,7.02136099e-01,2.59558679e-02,5.85427094e-02,9.997535e-04,0.2
6,6.78587854e-01,6.63523257e-01,2.57117613e-02,5.66800189e-02,9.996451e-04,0.3
7,6.39621258e-01,6.28825009e-01,2.55223248e-02,5.49790282e-02,9.995170e-04,0.3
8,6.04614854e-01,5.97094119e-01,2.52756212e-02,5.34318671e-02,9.993691e-04,0.3
9,5.72696567e-01,5.68355680e-01,2.49478195e-02,5.20242615e-02,9.992016e-04,0.4
10,5.43983161e-01,5.42016208e-01,2.45489525e-02,5.07226455e-02,9.990144e-04,0.4
11,5.17835200e-01,5.17372727e-01,2.40954899e-02,4.94890635e-02,9.988074e-04,0.5
12,4.93386298e-01,4.94215220e-01,2.36115264e-02,4.82921435e-02,9.985809e-04,0.5
13,4.70411301e-01,4.72367942e-01,2.31247706e-02,4.71121804e-02,9.983346e-04,0.6
14,4.48775321e-01,4.51490641e-01,2.26575350e-02,4.59617424e-02,9.980687e-04,0.6
15,4.28164870e-01,4.31414574e-01,2.22288652e-02,4.48646418e-02,9.977832e-04,0.6
16,4.08440292e-01,4.12177145e-01,2.18481276e-02,4.38238637e-02,9.974780e-04,0.7
17,3.89636725e-01,3.93769532e-01,2.15066839e-02,4.28171650e-02,9.971532e-04,0.7
18,3.71691972e-01,3.76207262e-01,2.11890607e-02,4.18181151e-02,9.968088e-04,0.8
19,3.54521364e-01,3.59505743e-01,2.08802897e-02,4.08375405e-02,9.964449e-04,0.8
