epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.14117539e+00,8.85934711e-01,3.91951474e-02,6.64221545e-02,9.999901e-04,0.2
2,8.81557524e-01,7.01611698e-01,3.55854612e-02,5.97350820e-02,9.999606e-04,0.4
3,6.99961960e-01,5.91939151e-01,3.38928662e-02,5.48756238e-02,9.999113e-04,0.6
4,5.95953822e-01,5.13581038e-01,3.30895240e-02,5.04986710e-02,9.998423e-04,0.7
5,5.20954192e-01,4.61403728e-01,3.26597199e-02,4.70111525e-02,9.997535e-04,0.9
6,4.70840067e-01,4.23741132e-01,3.21590688e-02,4.47322854e-02,9.996451e-04,1.1
7,4.34085935e-01,3.92417014e-01,3.17372325e-02,4.31828008e-02,9.995170e-04,1.2
8,4.03006881e-01,3.67062807e-01,3.14264063e-02,4.19286610e-02,9.993691e-04,1.4
9,3.78365785e-01,3.44277382e-01,3.11490484e-02,4.05872825e-02,9.992016e-04,1.6
10,3.56741607e-01,3.22566450e-01,3.08607863e-02,3.91539440e-02,9.990144e-04,1.8
11,3.36556554e-01,3.03184777e-01,3.05640275e-02,3.78473731e-02,9.988074e-04,1.9
12,3.18909675e-01,2.85234541e-01,3.02690268e-02,3.66841963e-02,9.985809e-04,2.1
13,3.02522242e-01,2.69408971e-01,2.99713825e-02,3.58041843e-02,9.983346e-04,2.3
14,2.87820607e-01,2.55203903e-01,2.96762803e-02,3.50846163e-02,9.980687e-04,2.4
15,2.74473369e-01,2.41934136e-01,2.93997761e-02,3.43723449e-02,9.977832e-04,2.6
16,2.62120306e-01,2.29885399e-01,2.91042487e-02,3.37584373e-02,9.974780e-04,2.8
17,2.51184702e-01,2.18530953e-01,2.87367310e-02,3.32219744e-02,9.971532e-04,2.9
18,2.41051733e-01,2.07895264e-01,2.83153685e-02,3.26476579e-02,9.968088e-04,3.1
19,2.31628016e-01,1.98329180e-01,2.78992841e-02,3.19887333e-02,9.964449e-04,3.3
20,2.22889349e-01,1.89995423e-01,2.75139710e-02,3.13399135e-02,9.960613e-04,3.5
21,2.14989677e-01,1.82626918e-01,2.71407279e-02,3.07982118e-02,9.956582e-04,3.6
22,2.08196312e-01,1.75685361e-01,2.67710704e-02,3.04564442e-02,9.952355e-04,3.8
23,2.01777294e-01,1.69050500e-01,2.63999970e-02,3.00823950e-02,9.947933e-04,4.0
24,1.95520282e-01,1.62635118e-01,2.60079345e-02,2.95235196e-02,9.943315e-04,4.1
25,1.89697996e-01,1.57043070e-01,2.56484809e-02,2.90278345e-02,9.938503e-04,4.3
26,1.84640273e-01,1.51691303e-01,2.53334753e-02,2.86514946e-02,9.933496e-04,4.5
27,1.79832518e-01,1.46746874e-01,2.50320560e-02,2.82520144e-02,9.928295e-04,4.6
28,1.75380930e-01,1.42443433e-01,2.47388724e-02,2.78005349e-02,9.922899e-04,4.7
29,1.71386883e-01,1.38320148e-01,2.44775298e-02,2.74146245e-02,9.917309e-04,4.9
30,1.67458147e-01,1.34765774e-01,2.42649622e-02,2.72242922e-02,9.911525e-04,5.1
31,1.64006040e-01,1.31204188e-01,2.40146406e-02,2.68682246e-02,9.905547e-04,5.3
32,1.60721749e-01,1.28102139e-01,2.38087958e-02,2.66146022e-02,9.899376e-04,5.4
33,1.57680169e-01,1.25035107e-01,2.36145184e-02,2.63843196e-02,9.893012e-04,5.6
34,1.54931173e-01,1.23121239e-01,2.34443121e-02,2.62053060e-02,9.886454e-04,5.8
35,1.52951300e-01,1.20835409e-01,2.32363882e-02,2.58297105e-02,9.879704e-04,5.9
36,1.51165277e-01,1.18477702e-01,2.30225845e-02,2.58027831e-02,9.872762e-04,6.1
37,1.48522139e-01,1.14112876e-01,2.27700928e-02,2.52620273e-02,9.865627e-04,6.2
38,1.44630402e-01,1.11028507e-01,2.25787318e-02,2.48874938e-02,9.858301e-04,6.4
39,1.41610250e-01,1.09664075e-01,2.24034526e-02,2.48086740e-02,9.850782e-04,6.5
40,1.40365779e-01,1.07819967e-01,2.22135185e-02,2.45646839e-02,9.843073e-04,6.7
41,1.38846055e-01,1.04894318e-01,2.20173445e-02,2.42068613e-02,9.835172e-04,6.9
42,1.36044413e-01,1.02264307e-01,2.18036583e-02,2.38825368e-02,9.827081e-04,7.0
