epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.15004265e+00,1.22364676e+00,3.56024879e-02,6.74561896e-02,9.999901e-04,0.1
2,9.76343155e-01,1.14272022e+00,3.47541633e-02,6.46108425e-02,9.999606e-04,0.2
3,8.95943165e-01,1.07929420e+00,3.41689373e-02,6.22625983e-02,9.999113e-04,0.3
4,8.32880199e-01,1.02302063e+00,3.35822157e-02,6.01404657e-02,9.998423e-04,0.3
5,7.76948690e-01,9.74368691e-01,3.30831852e-02,5.80158876e-02,9.997535e-04,0.4
6,7.29000628e-01,9.34180975e-01,3.27062534e-02,5.61244714e-02,9.996451e-04,0.5
7,6.89114928e-01,8.98093760e-01,3.23152780e-02,5.46560784e-02,9.995170e-04,0.6
8,6.53256655e-01,8.64058912e-01,3.18945318e-02,5.35131957e-02,9.993691e-04,0.7
9,6.19717538e-01,8.34843636e-01,3.15194249e-02,5.25655500e-02,9.992016e-04,0.7
10,5.90827763e-01,8.09047520e-01,3.11799737e-02,5.16038888e-02,9.990144e-04,0.8
11,5.65110683e-01,7.85189331e-01,3.08489384e-02,5.05758554e-02,9.988074e-04,0.9
12,5.41394711e-01,7.62204826e-01,3.05151025e-02,4.94681864e-02,9.985809e-04,1.0
13,5.18974185e-01,7.39851058e-01,3.01776933e-02,4.83240323e-02,9.983346e-04,1.1
14,4.97455060e-01,7.19462037e-01,2.98578944e-02,4.72972714e-02,9.980687e-04,1.2
15,4.77900505e-01,7.00545490e-01,2.95727728e-02,4.63783425e-02,9.977832e-04,1.3
16,4.59765553e-01,6.82989836e-01,2.93225989e-02,4.55246045e-02,9.974780e-04,1.4
17,4.42639589e-01,6.67150974e-01,2.91042033e-02,4.47181409e-02,9.971532e-04,1.5
18,4.26725715e-01,6.51818097e-01,2.89005090e-02,4.38734878e-02,9.968088e-04,1.5
19,4.11413074e-01,6.36900961e-01,2.86944951e-02,4.30370692e-02,9.964449e-04,1.6
20,3.96723479e-01,6.22099459e-01,2.84744702e-02,4.22399373e-02,9.960613e-04,1.7
21,3.82282495e-01,6.07693076e-01,2.82453802e-02,4.14565391e-02,9.956582e-04,1.8
22,3.68429512e-01,5.93882382e-01,2.80173238e-02,4.06249395e-02,9.952355e-04,1.9
23,3.55289519e-01,5.80736578e-01,2.77910603e-02,3.97734850e-02,9.947933e-04,2.0
24,3.42685431e-01,5.68323076e-01,2.75680308e-02,3.90197263e-02,9.943315e-04,2.1
25,3.30733091e-01,5.56197107e-01,2.73522903e-02,3.83820629e-02,9.938503e-04,2.2
26,3.19158196e-01,5.44791400e-01,2.71395880e-02,3.78064937e-02,9.933496e-04,2.3
27,3.08330446e-01,5.33906877e-01,2.69127489e-02,3.71784053e-02,9.928295e-04,2.4
28,2.97903955e-01,5.23703158e-01,2.66670512e-02,3.65364749e-02,9.922899e-04,2.4
29,2.88096845e-01,5.14002621e-01,2.64241795e-02,3.59541756e-02,9.917309e-04,2.5
30,2.78873742e-01,5.04729092e-01,2.61842494e-02,3.54366782e-02,9.911525e-04,2.6
31,2.70101219e-01,4.95966464e-01,2.59231692e-02,3.49060117e-02,9.905547e-04,2.7
32,2.61708826e-01,4.87633377e-01,2.56245780e-02,3.43465714e-02,9.899376e-04,2.9
33,2.53665060e-01,4.80046600e-01,2.53536098e-02,3.38219162e-02,9.893012e-04,3.0
34,2.46244803e-01,4.72861946e-01,2.51309873e-02,3.33397472e-02,9.886454e-04,3.1
35,2.39191279e-01,4.66022402e-01,2.48954351e-02,3.28317456e-02,9.879704e-04,3.3
36,2.32437909e-01,4.59694892e-01,2.46782691e-02,3.23153907e-02,9.872762e-04,3.4
37,2.26115301e-01,4.53571796e-01,2.44984275e-02,3.18859789e-02,9.865627e-04,3.6
38,2.20081598e-01,4.47753400e-01,2.43007012e-02,3.15059553e-02,9.858301e-04,3.7
39,2.14374691e-01,4.42284495e-01,2.40825659e-02,3.11187486e-02,9.850782e-04,3.8
40,2.08986238e-01,4.36850309e-01,2.38704950e-02,3.07648758e-02,9.843073e-04,4.0
41,2.03881770e-01,4.31697577e-01,2.36803990e-02,3.04014163e-02,9.835172e-04,4.1
42,1.99039146e-01,4.26748991e-01,2.34883182e-02,2.99758788e-02,9.827081e-04,4.3
43,1.94409072e-01,4.21940923e-01,2.33242255e-02,2.96625976e-02,9.818800e-04,4.4
44,1.90000117e-01,4.17589784e-01,2.31852239e-02,2.93369613e-02,9.810328e-04,4.6
45,1.85801610e-01,4.13559198e-01,2.30491700e-02,2.89932096e-02,9.801667e-04,4.7
46,1.81794226e-01,4.09645945e-01,2.29123236e-02,2.87504224e-02,9.792816e-04,4.9
47,1.78030953e-01,4.05981302e-01,2.27359674e-02,2.84084401e-02,9.783777e-04,5.0
48,1.74505934e-01,4.02466863e-01,2.25873974e-02,2.82206300e-02,9.774548e-04,5.2
49,1.71351954e-01,3.99808407e-01,2.24185969e-02,2.78985958e-02,9.765132e-04,5.3
50,1.68889314e-01,3.97582024e-01,2.23391631e-02,2.78646667e-02,9.755527e-04,5.5
51,1.67049363e-01,3.95260364e-01,2.22053784e-02,2.74759688e-02,9.745735e-04,5.7
52,1.64720699e-01,3.89821678e-01,2.20936013e-02,2.71797889e-02,9.735756e-04,5.8
53,1.59740567e-01,3.85567397e-01,2.19459400e-02,2.68239130e-02,9.725590e-04,6.0
54,1.55859470e-01,3.84126663e-01,2.18011554e-02,2.66092644e-02,9.715238e-04,6.1
55,1.54678032e-01,3.81244302e-01,2.17042725e-02,2.65035857e-02,9.704699e-04,6.3
56,1.52483717e-01,3.77297550e-01,2.15345365e-02,2.60771937e-02,9.693976e-04,6.5
57,1.48574248e-01,3.74806374e-01,2.13816129e-02,2.58376423e-02,9.683067e-04,6.6
58,1.46151513e-01,3.73120576e-01,2.13170341e-02,2.58584587e-02,9.671973e-04,6.8
59,1.44986734e-01,3.70786816e-01,2.11494408e-02,2.54319983e-02,9.660695e-04,6.9
60,1.42310634e-01,3.67392510e-01,2.10291060e-02,2.51967991e-02,9.649234e-04,7.1
61,1.39259785e-01,3.65691930e-01,2.09297280e-02,2.50824365e-02,9.637589e-04,7.2
62,1.37847781e-01,3.64481747e-01,2.07774841e-02,2.47946036e-02,9.625761e-04,7.4
63,1.36366487e-01,3.61266911e-01,2.06871006e-02,2.46304972e-02,9.613750e-04,7.5
64,1.33738905e-01,3.59113395e-01,2.05964541e-02,2.43917376e-02,9.601558e-04,7.7
65,1.31652221e-01,3.57910573e-01,2.04936771e-02,2.42445848e-02,9.589184e-04,7.9
66,1.30481035e-01,3.55911702e-01,2.04221626e-02,2.40789357e-02,9.576630e-04,8.0
67,1.29045486e-01,3.54455441e-01,2.04050359e-02,2.39834568e-02,9.563894e-04,8.2
68,1.27618849e-01,3.53678972e-01,2.03363455e-02,2.38452849e-02,9.550979e-04,8.3
69,1.26798466e-01,3.52554351e-01,2.03501181e-02,2.39716998e-02,9.537885e-04,8.5
70,1.26123682e-01,3.49856555e-01,2.01108986e-02,2.33894588e-02,9.524611e-04,8.6
71,1.23008057e-01,3.46617460e-01,1.99093328e-02,2.32122378e-02,9.511159e-04,8.8
72,1.20285630e-01,3.46033126e-01,1.99271192e-02,2.32746563e-02,9.497529e-04,9.0
73,1.19891807e-01,3.45351964e-01,1.98802870e-02,2.29954364e-02,9.483722e-04,9.1
74,1.18844271e-01,3.42187375e-01,1.96522579e-02,2.28357183e-02,9.469738e-04,9.3
75,1.16303213e-01,3.40513319e-01,1.95836096e-02,2.26340262e-02,9.455578e-04,9.4
76,1.14703268e-01,3.40044975e-01,1.95941029e-02,2.24971376e-02,9.441242e-04,9.6
77,1.14138782e-01,3.38172972e-01,1.94611557e-02,2.24733437e-02,9.426730e-04,9.8
78,1.12570092e-01,3.36092770e-01,1.93050618e-02,2.21529846e-02,9.412045e-04,9.9
79,1.10513829e-01,3.35162520e-01,1.92863838e-02,2.20612250e-02,9.397185e-04,10.1
80,1.09747939e-01,3.34434807e-01,1.92543594e-02,2.20685383e-02,9.382152e-04,10.2
81,1.08950518e-01,3.32549065e-01,1.91086975e-02,2.17741248e-02,9.366946e-04,10.4
82,1.06931880e-01,3.31018537e-01,1.90129594e-02,2.16550713e-02,9.351568e-04,10.5
83,1.05484881e-01,3.30685765e-01,1.89889450e-02,2.16214656e-02,9.336018e-04,10.7
84,1.05076797e-01,3.29694897e-01,1.89290436e-02,2.14480211e-02,9.320297e-04,10.8
85,1.04058579e-01,3.27959299e-01,1.88039929e-02,2.13261847e-02,9.304406e-04,11.0
86,1.02334008e-01,3.26545358e-01,1.87276180e-02,2.12320629e-02,9.288346e-04,11.2
87,1.01087220e-01,3.26109648e-01,1.87171361e-02,2.10810895e-02,9.272116e-04,11.3
88,1.00516625e-01,3.25257570e-01,1.86768344e-02,2.11201895e-02,9.255717e-04,11.5
89,9.97416079e-02,3.23978037e-01,1.85568019e-02,2.08359531e-02,9.239151e-04,11.6
90,9.83435288e-02,3.22589695e-01,1.84720364e-02,2.07864074e-02,9.222418e-04,11.8
91,9.71113816e-02,3.21933091e-01,1.84140495e-02,2.06888176e-02,9.205518e-04,11.9
92,9.63861570e-02,3.21305186e-01,1.83983290e-02,2.05794548e-02,9.188453e-04,12.1
93,9.57677960e-02,3.20452362e-01,1.83278516e-02,2.05143893e-02,9.171222e-04,12.2
94,9.49709341e-02,3.19621861e-01,1.82475824e-02,2.03662453e-02,9.153827e-04,12.4
