epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.09236097e+00,8.88209105e-01,3.21032019e-02,6.62354520e-02,9.999901e-04,0.0
2,9.39930201e-01,8.07676554e-01,3.11229883e-02,6.38248404e-02,9.999606e-04,0.0
3,8.58917236e-01,7.48067319e-01,3.06449943e-02,6.19083852e-02,9.999113e-04,0.1
4,7.97328591e-01,6.99981868e-01,3.02197979e-02,6.00331591e-02,9.998423e-04,0.1
5,7.46984482e-01,6.59197450e-01,2.97826355e-02,5.81552948e-02,9.997535e-04,0.1
6,7.04647243e-01,6.23445451e-01,2.93756528e-02,5.63363485e-02,9.996451e-04,0.1
7,6.68049634e-01,5.91169000e-01,2.90018534e-02,5.46388832e-02,9.995170e-04,0.1
8,6.35624707e-01,5.61159074e-01,2.86313124e-02,5.30079547e-02,9.993691e-04,0.2
9,6.05866134e-01,5.33318043e-01,2.81957207e-02,5.14134195e-02,9.992016e-04,0.2
10,5.78180730e-01,5.07878721e-01,2.76686181e-02,4.98960691e-02,9.990144e-04,0.2
11,5.52650511e-01,4.84502822e-01,2.70965253e-02,4.84860777e-02,9.988074e-04,0.2
12,5.29025257e-01,4.62700844e-01,2.65362136e-02,4.71800185e-02,9.985809e-04,0.2
13,5.06941795e-01,4.42198962e-01,2.60299117e-02,4.59684574e-02,9.983346e-04,0.3
14,4.86157656e-01,4.22857195e-01,2.55950521e-02,4.48569461e-02,9.980687e-04,0.3
15,4.66453075e-01,4.04630333e-01,2.52268210e-02,4.38339447e-02,9.977832e-04,0.3
16,4.47794914e-01,3.87338817e-01,2.49140633e-02,4.28251235e-02,9.974780e-04,0.3
17,4.30129349e-01,3.70723486e-01,2.46320968e-02,4.17627979e-02,9.971532e-04,0.3
18,4.13268268e-01,3.54984879e-01,2.43422634e-02,4.06922049e-02,9.968088e-04,0.4
19,3.97358984e-01,3.40130180e-01,2.40225045e-02,3.96790513e-02,9.964449e-04,0.4
20,3.82339537e-01,3.25867981e-01,2.36954754e-02,3.87288005e-02,9.960613e-04,0.4
21,3.67966086e-01,3.12215865e-01,2.33897915e-02,3.78322771e-02,9.956582e-04,0.4
22,3.54277939e-01,2.99256891e-01,2.31087669e-02,3.69687487e-02,9.952355e-04,0.4
23,3.41296881e-01,2.87060767e-01,2.28397784e-02,3.61201271e-02,9.947933e-04,0.5
24,3.29035491e-01,2.75645912e-01,2.25611543e-02,3.52881554e-02,9.943315e-04,0.5
25,3.17476660e-01,2.64818937e-01,2.22824177e-02,3.44378254e-02,9.938503e-04,0.5
26,3.06474179e-01,2.54549086e-01,2.20212835e-02,3.35285747e-02,9.933496e-04,0.5
27,2.96046108e-01,2.44936943e-01,2.17777408e-02,3.26042815e-02,9.928295e-04,0.5
28,2.86228716e-01,2.35975862e-01,2.15625938e-02,3.17345184e-02,9.922899e-04,0.6
29,2.77001768e-01,2.27559134e-01,2.13840736e-02,3.09653958e-02,9.917309e-04,0.6
30,2.68295646e-01,2.19717309e-01,2.12214662e-02,3.02842367e-02,9.911525e-04,0.6
31,2.60153830e-01,2.12298304e-01,2.10641030e-02,2.96181091e-02,9.905547e-04,0.6
32,2.52434045e-01,2.05253690e-01,2.09176986e-02,2.89788285e-02,9.899376e-04,0.6
33,2.45154798e-01,1.98580027e-01,2.07793912e-02,2.83840252e-02,9.893012e-04,0.6
34,2.38263100e-01,1.92274928e-01,2.06410656e-02,2.78159557e-02,9.886454e-04,0.7
35,2.31734827e-01,1.86322108e-01,2.05321629e-02,2.72507290e-02,9.879704e-04,0.7
36,2.25609764e-01,1.80764347e-01,2.04210869e-02,2.67378748e-02,9.872762e-04,0.7
37,2.19845161e-01,1.75598800e-01,2.02871986e-02,2.62767594e-02,9.865627e-04,0.7
38,2.14413092e-01,1.70682162e-01,2.01592477e-02,2.58614098e-02,9.858301e-04,0.8
39,2.09328607e-01,1.66303307e-01,2.00114946e-02,2.54592574e-02,9.850782e-04,0.8
40,2.04713598e-01,1.63448855e-01,1.98830994e-02,2.53892165e-02,9.843073e-04,0.8
41,2.01514661e-01,1.63214564e-01,1.97533815e-02,2.53467260e-02,9.835172e-04,0.8
42,2.01254249e-01,1.58372596e-01,1.96632600e-02,2.50352547e-02,9.827081e-04,0.8
43,1.95939302e-01,1.50672927e-01,1.94443035e-02,2.40491552e-02,9.818800e-04,0.9
44,1.88068256e-01,1.50281802e-01,1.93708988e-02,2.40890591e-02,9.810328e-04,0.9
45,1.87547043e-01,1.45407692e-01,1.93233642e-02,2.36225967e-02,9.801667e-04,0.9
46,1.82526797e-01,1.41877443e-01,1.91520528e-02,2.33072407e-02,9.792816e-04,0.9
47,1.78661421e-01,1.40309587e-01,1.90803849e-02,2.30735322e-02,9.783777e-04,0.9
48,1.77014217e-01,1.35613695e-01,1.90010962e-02,2.26029066e-02,9.774548e-04,1.0
49,1.72189355e-01,1.34849265e-01,1.88387206e-02,2.27655016e-02,9.765132e-04,1.0
50,1.71038270e-01,1.31103888e-01,1.87562505e-02,2.21347548e-02,9.755527e-04,1.0
51,1.67198181e-01,1.29140884e-01,1.87130734e-02,2.21212129e-02,9.745735e-04,1.0
52,1.65204406e-01,1.27042159e-01,1.85596069e-02,2.19408996e-02,9.735756e-04,1.0
53,1.62788063e-01,1.24407031e-01,1.84907979e-02,2.15818595e-02,9.725590e-04,1.1
54,1.60012841e-01,1.22775480e-01,1.84395972e-02,2.14237451e-02,9.715238e-04,1.1
55,1.58387154e-01,1.20521307e-01,1.82792933e-02,2.12121248e-02,9.704699e-04,1.1
56,1.55814826e-01,1.18862510e-01,1.82082492e-02,2.10791739e-02,9.693976e-04,1.1
57,1.54034644e-01,1.16811015e-01,1.81717633e-02,2.07116748e-02,9.683067e-04,1.1
58,1.51908234e-01,1.15430936e-01,1.80477777e-02,2.07165797e-02,9.671973e-04,1.2
59,1.50284141e-01,1.13341548e-01,1.79794020e-02,2.04494460e-02,9.660695e-04,1.2
60,1.48184612e-01,1.12185210e-01,1.79071162e-02,2.02326914e-02,9.649234e-04,1.2
61,1.46873981e-01,1.10318758e-01,1.78103605e-02,2.01132309e-02,9.637589e-04,1.2
62,1.44858330e-01,1.08929113e-01,1.77492573e-02,1.99529411e-02,9.625761e-04,1.3
63,1.43399745e-01,1.07823052e-01,1.76697498e-02,1.97745237e-02,9.613750e-04,1.3
64,1.42104715e-01,1.05903693e-01,1.76052656e-02,1.96126748e-02,9.601558e-04,1.3
65,1.40172884e-01,1.05060466e-01,1.75234821e-02,1.95697726e-02,9.589184e-04,1.3
66,1.39132097e-01,1.03540815e-01,1.74606117e-02,1.93168590e-02,9.576630e-04,1.3
67,1.37558281e-01,1.02348723e-01,1.73955209e-02,1.92593838e-02,9.563894e-04,1.3
68,1.36252895e-01,1.01257183e-01,1.73292286e-02,1.91313333e-02,9.550979e-04,1.4
69,1.34952709e-01,1.00052327e-01,1.72920501e-02,1.89399034e-02,9.537885e-04,1.4
70,1.33734718e-01,9.91884097e-02,1.71896075e-02,1.89287341e-02,9.524611e-04,1.4
71,1.32630929e-01,9.77161452e-02,1.71564277e-02,1.86633721e-02,9.511159e-04,1.4
