epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.09735155e+00,9.58608091e-01,3.60177269e-02,6.74520590e-02,9.999901e-04,0.1
2,9.57402945e-01,8.75809968e-01,3.52068532e-02,6.40537167e-02,9.999606e-04,0.1
3,8.75062108e-01,8.11384559e-01,3.48779243e-02,6.12461629e-02,9.999113e-04,0.2
4,8.13562036e-01,7.59499192e-01,3.51422987e-02,5.90035624e-02,9.998423e-04,0.2
5,7.63958335e-01,7.18800008e-01,3.55835136e-02,5.72951472e-02,9.997535e-04,0.3
6,7.24910319e-01,6.83927298e-01,3.55789215e-02,5.57710779e-02,9.996451e-04,0.3
7,6.91098392e-01,6.52111053e-01,3.51695002e-02,5.42472929e-02,9.995170e-04,0.4
8,6.60241783e-01,6.23132467e-01,3.46312330e-02,5.27326681e-02,9.993691e-04,0.4
9,6.32229865e-01,5.96033514e-01,3.41178897e-02,5.12573965e-02,9.992016e-04,0.5
10,6.06014132e-01,5.69894671e-01,3.37011185e-02,4.99048164e-02,9.990144e-04,0.6
11,5.80723941e-01,5.45571923e-01,3.33829406e-02,4.88152096e-02,9.988074e-04,0.6
12,5.57267427e-01,5.23638904e-01,3.30766616e-02,4.79800160e-02,9.985809e-04,0.7
13,5.36193371e-01,5.03204942e-01,3.27256255e-02,4.72115775e-02,9.983346e-04,0.7
14,5.16504705e-01,4.83818740e-01,3.23841429e-02,4.63753779e-02,9.980687e-04,0.8
15,4.97671366e-01,4.65518504e-01,3.21113863e-02,4.54639406e-02,9.977832e-04,0.8
16,4.79770213e-01,4.47985440e-01,3.18701950e-02,4.45268995e-02,9.974780e-04,0.9
17,4.62705135e-01,4.30612653e-01,3.15884545e-02,4.35670856e-02,9.971532e-04,0.9
18,4.46078986e-01,4.13719177e-01,3.12667889e-02,4.26029169e-02,9.968088e-04,1.0
19,4.30072784e-01,3.98072451e-01,3.09600409e-02,4.16952695e-02,9.964449e-04,1.0
20,4.15214449e-01,3.83111447e-01,3.06966052e-02,4.08145781e-02,9.960613e-04,1.1
21,4.00927365e-01,3.69024694e-01,3.04642440e-02,4.00060247e-02,9.956582e-04,1.1
