v_rhe,K0_1e-18_pc,K0_1e-18_cd,K0_1e-18_sel,K0_1e-18_theta,K0_2.52e-18_pc,K0_2.52e-18_cd,K0_2.52e-18_sel,K0_2.52e-18_theta,K0_3e-18_pc,K0_3e-18_cd,K0_3e-18_sel,K0_3e-18_theta,K0_1e-17_pc,K0_1e-17_cd,K0_1e-17_sel,K0_1e-17_theta,K0_3e-17_pc,K0_3e-17_cd,K0_3e-17_sel,K0_3e-17_theta,K0_1e-16_pc,K0_1e-16_cd,K0_1e-16_sel,K0_1e-16_theta,K0_1e-15_pc,K0_1e-15_cd,K0_1e-15_sel,K0_1e-15_theta,K0_1e-14_pc,K0_1e-14_cd,K0_1e-14_sel,K0_1e-14_theta,K0_1e-12_pc,K0_1e-12_cd,K0_1e-12_sel,K0_1e-12_theta,K0_1e-10_pc,K0_1e-10_cd,K0_1e-10_sel,K0_1e-10_theta
-0.1000,-1.71108,-1.72131,99.8015,0.860422,-1.69909,-1.72463,99.504,0.860422,-1.69536,-1.72566,99.4112,0.860422,-1.64339,-1.74019,98.1107,0.860423,-1.51573,-1.77682,94.8496,0.860425,-1.20608,-1.87215,86.5451,0.860429,-0.112928,-2.31392,53.5731,0.860451,1.04592,-3.12237,19.8222,0.860491,2.52392,-5.10748,0.775471,0.860587,2.74655,-5.49385,0.00920604,0.860606
-0.0600,-1.16239,-1.16843,99.8276,0.830948,-1.15482,-1.16989,99.5688,0.830948,-1.15246,-1.17035,99.4879,0.830948,-1.11946,-1.1768,98.3487,0.830949,-1.03752,-1.19347,95.446,0.83095,-0.83572,-1.23839,87.844,0.830953,-0.128103,-1.46227,56.2947,0.830967,0.59107,-1.9134,22.5996,0.830995,1.76257,-3.60516,1.4688,0.831098,2.66367,-5.33027,0.0366565,0.831203
-0.0100,-0.781099,-0.78623,99.782,0.788918,-0.774165,-0.786936,99.4561,0.788918,-0.772011,-0.787156,99.3545,0.788918,-0.742372,-0.790268,97.9381,0.788918,-0.671881,-0.798074,94.436,0.788919,-0.512693,-0.818275,85.7819,0.788921,-0.0454631,-0.91393,53.6403,0.78893,0.348089,-1.10779,22.0408,0.788946,0.943464,-1.93978,1.79999,0.78901,1.83963,-3.68449,0.0946404,0.789142
+0.0400,-0.629038,-0.636359,99.615,0.743036,-0.618738,-0.63677,99.047,0.743036,-0.615581,-0.636897,98.8718,0.743036,-0.574022,-0.638627,96.5103,0.743037,-0.486227,-0.642675,91.169,0.743038,-0.322805,-0.652077,79.7615,0.743041,0.0346713,-0.691392,46.1422,0.743048,0.266229,-0.768608,18.58,0.743058,0.545612,-1.12026,1.71321,0.743092,0.995244,-1.99397,0.116384,0.743169
+0.0900,-0.573606,-0.587958,99.1796,0.695698,-0.553769,-0.588209,98.0094,0.695698,-0.547884,-0.588286,97.6571,0.695699,-0.477268,-0.589262,93.2362,0.695701,-0.356007,-0.591276,84.7085,0.695705,-0.181526,-0.595347,69.843,0.695712,0.102651,-0.610422,36.2298,0.695726,0.247704,-0.639152,13.9477,0.695738,0.379929,-0.776107,1.38614,0.695759,0.574138,-1.15018,0.110364,0.695797
+0.1400,-0.542134,-0.573629,98.1357,0.648942,-0.502279,-0.573781,95.6661,0.648946,-0.491209,-0.573825,94.9589,0.648947,-0.377052,-0.574341,87.0692,0.648959,-0.227264,-0.575252,74.7426,0.648976,-0.0595202,-0.576879,57.3586,0.648998,0.157681,-0.582401,26.5152,0.649035,0.25103,-0.592675,9.69858,0.64906,0.316659,-0.64296,0.99466,0.649087,0.394797,-0.790649,0.0889498,0.649108
+0.1900,-0.500334,-0.569215,95.7968,0.604033,-0.427841,-0.569307,90.969,0.604056,-0.409776,-0.569331,89.6957,0.604063,-0.255217,-0.569589,77.4546,0.604117,-0.100341,-0.569978,62.1351,0.604178,0.0418693,-0.570609,44.2872,0.604244,0.198982,-0.572614,18.457,0.604343,0.259287,-0.576254,6.45755,0.604405,0.294122,-0.594192,0.665014,0.604463,0.324277,-0.649173,0.0635631,0.604486
+0.2400,-0.428112,-0.567395,91.0882,0.56132,-0.319456,-0.567476,82.9471,0.561437,-0.295838,-0.567495,81.014,0.561463,-0.125965,-0.567664,64.9804,0.561668,0.0105586,-0.567869,48.5924,0.561859,0.11957,-0.568154,32.3598,0.562046,0.228056,-0.568941,12.4012,0.562308,0.266807,-0.570269,4.19533,0.562465,0.286466,-0.576655,0.429595,0.562606,0.298064,-0.596506,0.042281,0.562653
+0.2900,-0.319317,-0.565703,83.0164,0.520047,-0.190009,-0.565895,71.5625,0.520515,-0.165326,-0.565934,69.1174,0.520609,-0.00954844,-0.566218,51.2542,0.521267,0.0973479,-0.566473,35.8998,0.521815,0.175158,-0.56674,22.5836,0.522317,0.247582,-0.567238,8.12661,0.52299,0.272326,-0.567834,2.68499,0.523384,0.283935,-0.570209,0.273019,0.523737,0.288552,-0.577339,0.0271652,0.523849
+0.3400,-0.188959,-0.562238,71.5799,0.477721,-0.0639482,-0.562907,58.0623,0.479259,-0.0423548,-0.563032,55.4374,0.479548,0.0825597,-0.563852,38.151,0.481431,0.159768,-0.564495,25.2737,0.482894,0.212767,-0.565072,15.2105,0.484185,0.260133,-0.565879,5.23312,0.485878,0.275936,-0.566453,1.70145,0.486861,0.283075,-0.567615,0.172003,0.487735,0.285058,-0.570263,0.0171764,0.488013
+0.3900,-0.063603,-0.553002,58.157,0.428748,0.0397483,-0.555247,44.4317,0.433015,0.0564514,-0.555648,41.9726,0.433785,0.148054,-0.558148,27.0635,0.438643,0.201199,-0.559999,17.153,0.4423,0.236505,-0.561594,9.9904,0.445484,0.267515,-0.563669,3.33083,0.449641,0.27789,-0.564904,1.07105,0.452054,0.282655,-0.566225,0.107775,0.454209,0.283681,-0.567454,0.0107726,0.454897
+0.4400,0.034239,-0.527365,44.9673,0.363598,0.111477,-0.534286,32.5289,0.373284,0.123523,-0.535489,30.444,0.375019,0.187951,-0.542837,18.5953,0.385973,0.224438,-0.548147,11.3863,0.394284,0.248613,-0.552656,6.47025,0.401616,0.270292,-0.558423,2.1072,0.41137,0.278031,-0.561741,0.671712,0.41715,0.282108,-0.564787,0.067286,0.422398,0.282987,-0.566031,0.00672352,0.42409
+0.4900,0.0868974,-0.458422,34.2947,0.275615,0.143094,-0.477724,23.5779,0.291716,0.151891,-0.48106,21.8801,0.294689,0.199574,-0.501381,12.7283,0.314183,0.227627,-0.516046,7.55666,0.329911,0.247258,-0.528512,4.19817,0.344557,0.266757,-0.544499,1.33589,0.365318,0.275091,-0.55369,0.421543,0.378389,0.28079,-0.561933,0.0419331,0.39081,0.282327,-0.564689,0.00418311,0.394934
+0.5400,0.0733779,-0.294663,28.6671,0.181555,0.11743,-0.338248,18.4931,0.197882,0.124884,-0.346048,16.9742,0.201118,0.1688,-0.395103,9.25376,0.224151,0.198506,-0.432017,5.25974,0.245264,0.222185,-0.464322,2.82427,0.267269,0.250166,-0.506934,0.864325,0.303072,0.264935,-0.532007,0.267376,0.328941,0.277247,-0.554713,0.0261739,0.356393,0.281049,-0.562119,0.00259857,0.36621
+0.5900,0.010451,-0.062682,36.3579,0.123194,0.0326558,-0.100743,20.9865,0.129545,0.0376578,-0.109384,18.8109,0.131079,0.0764094,-0.17718,8.76448,0.144497,0.113221,-0.243014,4.44519,0.160435,0.149877,-0.310005,2.18021,0.180701,0.203126,-0.409959,0.601055,0.222599,0.23645,-0.474155,0.1762,0.261451,0.26759,-0.535312,0.0165023,0.313412,0.277816,-0.555645,0.00161643,0.335457
+0.6400,-0.000757732,-0.00260047,69.0747,0.111805,0.000164725,-0.00441736,47.1501,0.112043,0.000451006,-0.00498125,42.8875,0.112117,0.00437869,-0.0127186,18.8106,0.113145,0.0136526,-0.0309952,7.63379,0.115647,0.0345859,-0.0722875,2.83276,0.121727,0.100544,-0.202728,0.537942,0.145947,0.165927,-0.332511,0.131616,0.181913,0.241637,-0.483352,0.0107661,0.254678,0.269145,-0.538297,0.00101387,0.297919
+0.6900,-9.73313e-05,-0.000127046,91.5445,0.108914,-8.22694e-05,-0.000157133,81.1205,0.108918,-7.75144e-05,-0.000166632,78.3052,0.108919,-8.24563e-06,-0.000305003,52.0006,0.108937,0.000188896,-0.000698813,26.5585,0.108985,0.000870088,-0.00205956,9.8302,0.109155,0.00860478,-0.0175107,1.14003,0.111116,0.0468301,-0.0938799,0.155815,0.121941,0.176993,-0.354028,0.00783656,0.18236,0.245842,-0.491689,0.000652656,0.2469
+0.7400,-8.10278e-06,-8.57437e-06,98.1324,0.106285,-7.86383e-06,-9.05224e-06,95.4236,0.106285,-7.78837e-06,-9.20314e-06,94.599,0.106285,-6.68794e-06,-1.14038e-05,84.0116,0.106285,-3.54406e-06,-1.7691e-05,63.6569,0.106286,7.45723e-06,-3.96915e-05,34.4481,0.106289,0.000148588,-0.000321926,4.99748,0.106322,0.00152874,-0.00308197,0.528444,0.10665,0.0594239,-0.118863,0.00843333,0.122473,0.187001,-0.374005,0.000447485,0.1818
