evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,reason
1,0,0,0.0,0.14734953730440795,0.2702832230363155,0.0075563455438147735,0.0013296185814186566,0.001329618581418657,1,20,
1,0,1,0.002857142857142857,0.14961638383112608,0.27055304851914846,0.007312838432931195,0.001236861697642473,0.00137853757596763,1,20,
1,0,2,0.005714285714285714,0.15246015959913894,0.2713645979470387,0.007069132729414877,0.0011456724849727257,0.0014238693422753055,1,20,
1,0,3,0.008571428571428572,0.1558636709877073,0.272724165981882,0.006828187645141859,0.0010565131706267226,0.001465658567033888,1,20,
1,0,4,0.011428571428571429,0.15983781489205706,0.27464250140944546,0.006590058023177876,0.0009695646263215397,0.001503675432933493,1,20,
1,0,5,0.014285714285714285,0.16440159265478502,0.2771352126715209,0.006354434541038811,0.0008849593216039197,0.0015376193328878259,1,20,
1,0,6,0.017142857142857144,0.1695835565574006,0.2802233758756325,0.006120584809384863,0.0008027866413988178,0.001567087762454297,1,20,
1,0,7,0.02,0.17542400589402282,0.2839343917173403,0.005887251915762884,0.0007230968951854316,0.0015915321147469126,1,20,
1,0,8,0.022857142857142857,0.18197826036579626,0.28830316055390426,0.005652492200005591,0.0006459044623935168,0.0016101939870461484,1,20,
1,0,9,0.025714285714285714,0.1893052542067097,0.29337367824945837,0.005415118441370209,0.0005712800485176828,0.001622266054877508,1,20,
1,0,10,0.02857142857142857,0.19754021757834092,0.2992012045461811,0.005167478135637047,0.0004989862451075615,0.0016257426803184263,1,20,
1,0,11,0.03142857142857143,0.20680890881672395,0.3058552322043175,0.004905087088300844,0.0004290460523022831,0.0016187056045503573,1,20,
1,0,12,0.03428571428571429,0.21730010241030917,0.3134236054439978,0.004619863917733094,0.0003614102514847836,0.00159819005120626,1,20,
1,0,13,0.037142857142857144,0.22933223166314864,0.32201833557281123,0.004295356928977193,0.00029588158192309745,0.001559055343373362,1,20,
1,0,14,0.04,0.2433368324222112,0.3317840003290874,0.003911450755374453,0.00023246588074871087,0.0014943284185696569,1,20,
2,0,0,0.0,0.14734953730440795,0.2699136800478591,0.007510984543217602,0.001328657551666832,0.0013307432516863572,1,20,
2,0,1,0.002857142857142857,0.14961638383112608,0.27017669326351224,0.007267394105215964,0.001235831028562433,0.0013796264922110132,1,20,
2,0,2,0.005714285714285714,0.15246015959913894,0.27098163347345994,0.007023669884670805,0.001144584450823805,0.0014249076025312792,1,20,
2,0,3,0.008571428571428572,0.1558636709877073,0.2723348251858962,0.006782764880129242,0.0010553807214085775,0.0014666326253190208,1,20,
2,0,4,0.011428571428571429,0.15983781489205706,0.2742470555450285,0.006544737173394729,0.0009684007644310736,0.001504572346968708,1,20,
2,0,5,0.014285714285714285,0.16440159265478502,0.27673398196915666,0.006309282844537691,0.000883776999974713,0.0015384268537861757,1,20,
2,0,6,0.017142857142857144,0.1695835565574006,0.2798167432560025,0.006075677724863773,0.0008015986642884251,0.001567794372399696,1,20,
2,0,7,0.02,0.17542400589402282,0.28352282096864756,0.005842676910269231,0.0007219158204846711,0.0015921269775552927,1,20,
2,0,8,0.022857142857142857,0.18197826036579626,0.2878872209249295,0.005608353963358049,0.000644742504603073,0.001610666753422764,1,20,
2,0,9,0.025714285714285714,0.1893052542067097,0.2929540783191043,0.005371539369940593,0.0005701491664223846,0.0016226075072915758,1,20,
2,0,10,0.02857142857142857,0.19754021757834092,0.29877883966664626,0.005124629301168717,0.0004978974667612158,0.0016259406754384029,1,20,
2,0,11,0.03142857142857143,0.20680890881672395,0.30543125213767347,0.004863183301058579,0.00042800998632555934,0.0016187466770266397,1,20,
2,0,12,0.03428571428571429,0.21730010241030917,0.31299951266598947,0.004579188561641829,0.0003604368817367167,0.0015980564691413627,1,20,
2,0,13,0.037142857142857144,0.22933223166314864,0.32159613132491316,0.004256313590398879,0.00029497999453476526,0.001558717542354816,1,20,
2,0,14,0.04,0.2433368324222112,0.33136640725343836,0.003874603022484184,0.00023164473502198466,0.0014937394146582888,1,20,
3,1,0,0.0,0.14734953730440795,0.10258157104067726,0.0010020854016956047,-0.00109561684806312,-0.003814472161494039,1,22,
3,1,1,0.002857142857142857,0.14961638383112608,0.09466196799759564,0.0015099939098024654,-0.0012723627309778312,-0.005392171106144222,1,22,
3,1,2,0.005714285714285714,0.15246015959913894,0.08680307946873876,0.0021554260856248243,-0.00142771614054669,-0.007441588814858913,1,22,
3,1,3,0.008571428571428572,0.1558636709877073,0.07895679674173432,0.002957333653142888,-0.0015564092241242837,-0.01011660440898782,1,22,
3,1,4,0.011428571428571429,0.15983781489205706,0.07106360598550564,0.003940430083492044,-0.0016524190587011304,-0.013649007740635793,1,22,
3,1,5,0.014285714285714285,0.16440159265478502,0.06304317193400395,0.005136764725505509,-0.0017076673640957247,-0.01840549027172817,1,22,
3,1,6,0.017142857142857144,0.1695835565574006,0.05477545571527723,0.006590450009488247,-0.0017104509131668597,-0.025018178244295915,1,22,
3,1,7,0.02,0.17542400589402282,0.046056427463219106,0.008367985174524748,-0.0016418274175495477,-0.034729397528466883,1,22,
3,1,8,0.022857142857142857,0.18197826036579626,0.036466818619892975,0.010586789839485664,-0.0014651533771093419,-0.05059865247178083,1,22,
3,1,9,0.025714285714285714,0.1893052542067097,0.02476822514586782,0.0135362169660849,-0.001079161299870836,-0.08508216214569567,1,21,
3,1,10,0.02857142857142857,0.19754021757834092,-0.0029550196519423587,0.020099170076015044,-0.0003630320602125526,-0.34535651170109455,1,37,
3,1,11,0.03142857142857143,0.20680890881672395,-0.01490077138276893,0.024577591147078543,0.0010381682460015105,-0.4092900111956888,1,17,
3,1,12,0.03428571428571429,0.21730010241030917,-0.01886009728900672,0.027885819961012047,0.0016397294092616633,-0.5283950385831503,1,16,
3,1,13,0.037142857142857144,0.22933223166314864,-0.02161207619918186,0.03148652282424987,0.0020504135294782794,-0.6905456104348571,1,17,
3,1,14,0.04,0.2433368324222112,nan,1000000000.0,0.0,0.0,0,1,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4906
[0] SNESSolve_NEWTONLS() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/impls/ls/ls.c:253
[0] SNESSolve has not converged due to DIVERGED_LINE_SEARCH. Suggest running with -snes_linesearch_monitor"
4,1,0,0.0,0.14734953730440795,0.269913680045882,0.007510984542975283,0.0013286575516622257,0.001330743251691735,1,20,
4,1,1,0.002857142857142857,0.14961638383112608,0.27017669326150245,0.007267394104973665,0.001235831028557466,0.0013796264922162217,1,20,
4,1,2,0.005714285714285714,0.15246015959913894,0.27098163347141874,0.007023669884428879,0.0011445844508185439,0.0014249076025362791,1,20,
4,1,3,0.008571428571428572,0.1558636709877073,0.27233482518382457,0.006782764879887958,0.001055380721403001,0.0014666326253236015,1,20,
4,1,4,0.011428571428571429,0.15983781489205706,0.274247055542928,0.0065447371731544145,0.0009684007644253344,0.0015045723469729092,1,20,
4,1,5,0.014285714285714285,0.16440159265478502,0.27673398196702903,0.006309282844298689,0.0008837769999688069,0.0015384268537898679,1,20,
4,1,6,0.017142857142857144,0.1695835565574006,0.2798167432538496,0.006075677724626453,0.0008015986642825305,0.001567794372402963,1,20,
4,1,7,0.02,0.17542400589402282,0.2835228209664719,0.005842676910034046,0.0007219158204787874,0.0015921269775579922,1,20,
4,1,8,0.022857142857142857,0.18197826036579626,0.28788722092273406,0.00560835396312553,0.0006447425045972547,0.0016106667534248188,1,20,
4,1,9,0.025714285714285714,0.1893052542067097,0.2929540783168927,0.00537153936971136,0.0005701491664166666,0.0016226075072928875,1,20,
4,1,10,0.02857142857142857,0.19754021757834092,0.2987788396644232,0.005124629300943658,0.0004978974667557136,0.0016259406754390688,1,20,
4,1,11,0.03142857142857143,0.20680890881672395,0.3054312521354447,0.004863183300838772,0.0004280099863202987,0.0016187466770264415,1,20,
4,1,12,0.03428571428571429,0.21730010241030917,0.312999512663763,0.00457918856142876,0.0003604368817317671,0.0015980564691402785,1,20,
4,1,13,0.037142857142857144,0.22933223166314864,0.3215961313226991,0.004256313590194601,0.00029497999453018597,0.0015587175423527743,1,20,
4,1,14,0.04,0.2433368324222112,0.3313664072512512,0.0038746030222916515,0.00023164473501777327,0.0014937394146548224,1,20,
5,1,0,0.0,0.14734953730440795,0.2180046193526563,0.0024960703096218164,0.001051755743156777,0.0013413868990718206,1,21,
5,1,1,0.002857142857142857,0.14961638383112608,0.2171308684281529,0.002279102815200871,0.0009502215250232059,0.0013623140831421337,1,21,
5,1,2,0.005714285714285714,0.15246015959913894,0.21682074495930287,0.002071142473951543,0.0008528895172953417,0.0013754585116349267,1,21,
5,1,3,0.008571428571428572,0.1558636709877073,0.2170854559694667,0.0018740534781764412,0.0007603682854499223,0.0013811551495245028,1,21,
5,1,4,0.011428571428571429,0.15983781489205706,0.21794197313894767,0.001688046602789835,0.000672879938706829,0.001379357234431346,1,21,
5,1,5,0.014285714285714285,0.16440159265478502,0.21941381800047502,0.001513172468742446,0.0005905784310898857,0.0013700167328651084,1,21,
5,1,6,0.017142857142857144,0.1695835565574006,0.2215322488205938,0.001349333313927675,0.000513555371762948,0.0013530607975670273,1,21,
5,1,7,0.02,0.17542400589402282,0.22433798862775234,0.0011962888534379182,0.00044184473125775134,0.0013283570174911277,1,21,
5,1,8,0.022857142857142857,0.18197826036579626,0.22788371602534865,0.001053655429655577,0.00037542690541974004,0.0012956615630224965,1,21,
5,1,9,0.025714285714285714,0.1893052542067097,0.23223767518439345,0.0009215963855023375,0.00031435197677029587,0.001255017024692377,1,21,
5,1,10,0.02857142857142857,0.19754021757834092,0.23748899262533935,0.0007979523138775914,0.00025825252611183687,0.0012047385626888008,1,21,
5,1,11,0.03142857142857143,0.20680890881672395,0.2437557042923591,0.0006825328479595668,0.0002071057403608696,0.0011440200924765671,1,21,
5,1,12,0.03428571428571429,0.21730010241030917,0.25119728516827144,0.0005745094994631085,0.0001607815492808948,0.0010711277664886688,1,21,
5,1,13,0.037142857142857144,0.22933223166314864,0.26003506569881185,0.0004713320089110071,0.00011895206132273607,0.000981737420157768,1,21,
5,1,14,0.04,0.2433368324222112,0.2705873861679507,0.0003712963397249888,8.153797607206615e-05,0.0008704156553508391,1,21,
