evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.08730167320722651,0.01106427199468965,0.02298324442304902,0.02550779565117471,0,0,5.0,5.0,0
2,0,4.98893572800531,4.977016755576951,0.08665102726880003,0.011047763768390935,0.022990982775483036,0.02550761402532054,0,0,4.98893572800531,4.977016755576951,0
3,1,2.5268494714463983,1e-06,1000000000.155168,-0.009725214731400558,-2.175718110940194,2.17573984613849,1,0,2.5268494714463983,1e-06,0
4,1,4.988935727947194,4.977016755459471,0.08665102726545702,0.011047763768307246,0.022990982775520433,0.025507614025318,0,0,4.988935727947194,4.977016755459471,0
5,1,3.757892599696796,2.488508877729736,0.019556828906408842,0.007181283784474894,0.019109696689154108,0.020414488588858394,0,0,3.757892599696796,2.488508877729736,0
6,2,0.21807189938772087,1e-06,3000000000.1648874,-0.062149836037199424,-1.0091979653614966,1.0111098532846148,3,0,0.21807189938772087,1e-06,0
7,2,3.7578925996824446,2.488508877719647,0.019556828906112985,0.007181283784444365,0.019109696689064704,0.020414488588763963,0,0,3.7578925996824446,2.488508877719647,0
8,2,1.987982249535083,1.2442549388598236,0.0022326563277868692,-0.0019608653407331145,-0.010751080615608699,0.010928436635118745,0,0,1.987982249535083,1.2442549388598236,0
9,3,1.7960449123430133,1.8672243222205895,0.0008889338716566905,0.002340625034490082,0.004251304928396405,0.004853052559605064,0,0,1.7960449123430133,1.8672243222205895,0
10,4,1.24720297175321,1.8779998653003969,0.00018222133590278678,8.412890339232706e-05,0.0001745954034283772,0.00019380719100258712,0,0,1.24720297175321,1.8779998653003969,0
11,5,1.2309060444281061,1.8761556924932752,0.00018159695820370753,-2.7355996659003863e-05,-2.6912842473579698e-06,2.7488062210849053e-05,0,0,1.2309060444281061,1.8761556924932752,0
12,6,1.241045481418327,1.872322284324514,0.00018143007116969213,-1.339658256800642e-06,1.4016788968015291e-05,1.4080662527696959e-05,0,0,1.241045481418327,1.872322284324514,0
13,7,1.2454551712742057,1.8694848219124727,0.00018140767042790709,-4.3365950484440654e-07,-9.903197408396016e-07,1.0811076520118205e-06,0,0,1.2454551712742057,1.8694848219124727,0
14,8,1.24544177920785,1.8695438311422243,0.00018140764435892764,5.1818329266867865e-09,9.510089189480571e-09,1.0830198007052805e-08,0,0,1.24544177920785,1.8695438311422243,0
