evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.08579282036332195,0.010887486312849162,0.022841249072191924,0.02530335980438934,0,0,5.0,5.0,0
2,0,4.989112513687151,4.977158750927808,0.08515256843975369,0.010870577469945244,0.022848539676041384,0.02530267218808556,0,0,4.989112513687151,4.977158750927808,0
3,1,2.3921445070920915,1e-06,1000000000.1578668,-0.011066671328906744,-2.173153603269185,2.173181781309641,1,0,2.3921445070920915,1e-06,0
4,1,4.98911251362571,4.977158750810055,0.08515256843639535,0.010870577469861548,0.022848539676072397,0.025302672188077604,0,0,4.98911251362571,4.977158750810055,0
5,1,3.6906285103589007,2.4885798754050277,0.01829865223007928,0.006931193894915719,0.01866569613394394,0.01991104369373054,0,0,3.6906285103589007,2.4885798754050277,0
6,2,0.29285903159332577,1e-06,2000000000.1867359,-0.05649726850611933,-1.548547206442953,1.5495774881982916,2,0,0.29285903159332577,1e-06,0
7,2,3.69062851033908,2.488579875390511,0.01829865222967092,0.006931193894869774,0.01866569613381483,0.01991104369359351,0,0,3.69062851033908,2.488579875390511,0
8,2,1.9917437709662027,1.2442904376952553,0.0023875828897592837,-0.0023653091217639213,-0.01114506416486202,0.011393293750289735,0,0,1.9917437709662027,1.2442904376952553,0
9,3,1.994865283903798,1.8433041448404852,0.0012165736194517838,0.002344743944397796,0.004858524245525076,0.005394727241403883,0,0,1.994865283903798,1.8433041448404852,0
10,4,1.5752225679553054,1.7844984393295702,0.0004307748240715705,0.00046772638705945216,0.0007469352816831994,0.0008812946659176197,0,0,1.5752225679553054,1.7844984393295702,0
11,5,1.4272590380292023,1.7936258390405586,0.00040876766116645105,-0.000158974817505055,-0.000284013394156142,0.00032547903259788884,0,0,1.4272590380292023,1.7936258390405586,0
12,6,1.461141355747205,1.7933310446063024,0.00040629089940301443,9.167844360375559e-06,-6.062916149386064e-06,1.0991283930940747e-05,0,0,1.461141355747205,1.7933310446063024,0
13,7,1.456194963314679,1.7951993071277998,0.00040625276095038133,2.3393689019265657e-07,-9.850960185393559e-06,9.853737516435178e-06,0,0,1.456194963314679,1.7951993071277998,0
14,8,1.4531819169689828,1.7971414582240959,0.0004062444049228795,1.448300614349786e-06,3.849465334435508e-06,4.112901412694771e-06,0,0,1.4531819169689828,1.7971414582240959,0
15,9,1.4532998343244279,1.796903827575319,0.00040624402569377176,5.4957552557721086e-08,8.880023204378641e-08,1.0443090440173821e-07,0,0,1.4532998343244279,1.796903827575319,0
16,10,1.4532886440201611,1.7969040857012861,0.00040624402539291617,1.4842499506130514e-09,7.339782484763323e-10,1.6558145986586873e-09,0,0,1.4532886440201611,1.7969040857012861,0
